'an'cheng 案秤
'an'mo'qi 按摩器
'an'quan'mao 安全帽
'an'quan'sheng 安全绳
'ang'song'ka'fei'bei 昂松咖啡杯
'ba 耙
'ba'jiao'chui 八角锤
'ba'se'qi 拔塞器
'ba'wang'heng'qi 霸王衡器
'bai'fen'biao 百分表
'bai'li'bao'wen'bei 百利保温杯
'bai'shi'gong'ju 百世工具
'bai'ye'lun 百叶轮
'ban'shou 扳手
'ban'shou'tao'tong 扳手套筒
'ban'wang 板网
'bang'cheng 磅秤
'bao'an'qi'cai 保安器材
'bao'dao 刨刀
'bao'hu'mo 保护膜
'bao'jing'qi 报警器
'bao'li'de'dian'dong'gong'ju 宝利得电动工具
'bao'mu'ji 刨木机
'bao'wen'bei 保温杯
'bao'xian'gui 保险柜
'bao'xian'si 保险丝
'beng'chuang 蹦床
'bi'lu 壁炉
'bi'men'qi 闭门器
'bi'sa'guo 比萨锅
'bian'su'ji 变速机
'bian'ya'qi 变压器
'biao'pai 标牌
'biao'zhun'jian 标准件
'biao'zuo 表座
'bing'mo 冰模
'bo'li 玻璃
'bo'li'bei 玻璃杯
'bo'li'da'kong'zuan 玻璃打孔钻
'bo'li'da'kong'zuan 玻璃打空钻
'bo'li'dao 玻璃刀
'bo'li'gang'fang'hua'tuo'pan 玻璃钢防滑托盘
'bo'li'gang'zhi'pin 玻璃钢制品
'bo'li'ge'dao 玻璃割刀
'bu'dai'jia 布袋架
'bu'lun 布轮
'bu'xiu'gang'bei 不锈钢杯
'bu'xiu'gang'can'ju 不锈钢餐具
'bu'xiu'gang'can'zhuo'zhuan'pan 不锈钢餐桌转盘
'bu'xiu'gang'di'lou 不锈钢地漏
'bu'xiu'gang'guan 不锈钢管
'bu'xiu'gang'jiu'hu 不锈钢酒壶
'bu'xiu'gang'li'pin 不锈钢礼品
'bu'xiu'gang'qi'min 不锈钢器皿
'bu'xiu'gang'si 不锈钢丝
'bu'xiu'gang'suo 不锈钢锁
'bu'xiu'gang'wan 不锈钢丸
'bu'xiu'gang'wang'lan 不锈钢网篮
'bu'xiu'gang'zhuang'shi'ban 不锈钢装饰板
'bu'zhan'guo 不粘锅
'cai'guo'jian 采果剪
'can'ju 餐具
'cao'jian 草剪
'cao'pa 草耙
'cao'ping'deng 草坪灯
'cao'ping'ji 草坪机
'ce'liang'gong'ju 测量工具
'ce'wen'yi 测温仪
'cha'ju 茶具
'cha'tou 插头
'cha'xiao 插销
'cha'ye'guan 茶叶罐
'cha'zuo 插座
'chai'you'ji 柴油机
'chao'guo 炒锅
'che'dao 车刀
'che'deng 车灯
'che'ku'men 车库门
'che'lan 车篮
'che'suo 车锁
'che'zuo 车座
'cheng'ta 秤铊
'cheng'xing'dao 成型刀
'chi'lun 齿轮
'chong'chuang'pei'jian 冲床配件
'chong'dian'qi 充电器
'chong'dian'zhao'ming'deng 充电照明灯
'chong'ji'dian'zuan 冲击电钻
'chong'ji'zuan 冲击钻
'chong'ji'zuan'zuan'tou 冲击钻钻头
'chong'qi'qiang 充气枪
'chong'wu'yong'pin 宠物用品
'chou'ti'hua'gui 抽屉滑轨
'chu'fang'cheng 厨房秤
'chu'fang'jian 厨房剪
'chu'fang'she'shi 厨房设施
'chu'fang'yong'pin 厨房用品
'chu'ju 厨具
'chu'tou 锄头
'chuan'dong'dai 传动带
'chuan'dong'lian 传动链
'chuan'gan'qi 传感器
'chuang'hua'ji'zhuang'shi'pin 窗花及装饰品
'chuang'sha 窗纱
'chui'chen'qiang 吹尘枪
'chui'feng'ji 吹风机
'chui'ju 炊具
'chui'zuan 锤钻
'ci'zuo'zuan 磁座钻
'cu'xiao'li'pin 促销礼品
'cuo'dao 锉刀
'da'bao'ji 打包机
'da'biao'ji 打标机
'da'qi'tong 打气筒
'dan'gao'mo 蛋糕模
'dan'shuang'gang 单双杠
'dao'lu'deng 道路灯
'dao'pian 刀片
'dao'tou'ying'zhi'he'jin'cheng'xing'dao'ju 刀头硬质合金成型刀具
'deng'gou 灯钩
'deng'guan 灯管
'deng'ju 灯具
'deng'pao 灯泡
'di'lou 地漏
'dian'bao 电刨
'dian'bao'ji 电刨机
'dian'biao 电表
'dian'biao'xiang 电表箱
'dian'chong'jian 电冲剪
'dian'chui 电锤
'dian'dong'ban'shou 电动扳手
'dian'dong'che 电动车
'dian'dong'che'lun'tai 电动车轮胎
'dian'dong'gong'ju 电动工具
'dian'dong'gong'si'ji 电动攻丝机
'dian'dong'hua'ban'che 电动滑板车
'dian'dong'ji'ji'pei'jian 电动机及配件
'dian'dong'luo'si'dao 电动螺丝刀
'dian'dong'luo'si'pi 电动螺丝批
'dian'dong'men 电动门
'dian'dong'mo'tuo'che 电动摩托车
'dian'dong'tao'si'ji 电动套丝机
'dian'dong'zhu'li'zi'xing'che 电动助力自行车
'dian'dong'zi'xing'che 电动自行车
'dian'gong'qi'cai 电工器材
'dian'gong'yi'biao 电工仪表
'dian'han'qian 电焊钳
'dian'ji 电机
'dian'jian'dao 电剪刀
'dian'lan'pan 电缆盘
'dian'lan'qie'duan'qi 电缆切断器
'dian'lian'ju 电链锯
'dian'mo 电磨
'dian'ping 电瓶
'dian'qi'ji'dian'zi'ling'jian'bao'hu'mo 电器及电子零件保护膜
'dian'quan 垫圈
'dian're'guo 电热锅
'dian'tong 电筒
'dian'yuan'ju 电圆锯
'dian'zi'cheng 电子秤
'dian'zi'ji'jia'cheng 电子计价秤
'dian'zuan 电钻
'diao'chui 吊锤
'diao'jiu'qi 调酒器
'diao'ke'dao 雕刻刀
'diao'ke'gong'ju 雕刻工具
'diao'ke'ji 雕刻机
'diao'zhuang'suo'ju 吊装索具
'ding'shu'ji 钉书机
'dong'li'dian'ji 东立电机
'dong'li'jian 动力剪
'du'lun'che 独轮车
'duan'ya'ji 锻压机
'duan'zhu'jian 锻铸件
'duo'gong'neng'jian'shen'yi 多功能健身椅
'er'tong'cheng 儿童秤
'er'yang'hua'tan'han'ji 二氧化碳焊机
'fa'dian'ji 发电机
'fa'dian'ji'zu 发电机组
'fa'jia 发夹
'fa'ma 砝码
'fa'men 阀门
'fan'guang'qi'cai 反光器材
'fang'chou'di'lou 防臭地漏
'fang'da'jing 放大镜
'fang'dao'chuang 防盗窗
'fang'dao'men 防盗门
'fang'hua'tuo'pan 防滑托盘
'fang'jing'dian'dai 防静电袋
'fang'shen'yong'pin 防身用品
'fang'xiu'ji 防锈剂
'fang'yuan'mo'dao'bang 方园磨刀棒
'fei'biao 飞镖
'fei'jin'shu 废金属
'fei'lun'xie 飞轮鞋
'fen'mo'ye'jin 粉末冶金
