'ai'qian'e'ke 矮潜蛾科
'ai'qian'e'zong'ke 矮潜蛾总科
'an'ying'ke 岸蝇科
'ao'bai'yi'ke 澳白蚁科
'ao'e'ke 澳蛾科
'ao'feng'ke 螯蜂科
'ao'ji'ke 澳襀科
'ao'jie'ke'chong'ke 澳介壳虫科
'ao'juan'e'ke 澳卷蛾科
'ao'shi'ying'ke 澳石蝇科
'ao'xun'wen'ke 澳蕈蚊科
'ao'yan'ye'chan'ke 凹颜叶蝉科
'ao'ying'ke 澳蝇科
'ba'yu'e'ke 八羽蛾科
'bai'yi'chun'xiang'ke 白蚁椿象科
'bai'yi'ke 白蚁科
'ban'chi'mu 半翅目
'ban'die'ke 斑蝶科
'ban'e'ke 斑蛾科
'ban'e'zong'ke 斑蛾总科
'ban'fu'ying'ke 斑腹蝇科
'ban'jin'gui'ke 斑金龟科
'ban'mai'si'yi'ke 半脉丝蚁科
'ban'nie'chong'ke 斑啮虫科
'ban'qiao'jia'ke 半鞘甲科
'ban'ying'ke 斑蝇科
'bang'chong'xiu'ke 棒虫脩科
'bang'zhu'jie'chong'ke 棒竹节虫科
'bang'zu'mao'wen'ke 棒足毛蚊科
'bei'shi'e'ke 贝石蛾科
'bei'tiao'chong'ke 背条虫科
'bi'bai'yi'ke 鼻白蚁科
'bi'mu'ji'ma'ke 比目蓟马科
'bi'zhai'e'ke 避债蛾科
'bian'chong'ke 扁虫科
'bian'chong'zong'ke 扁虫总科
'bian'chun'ke 扁蝽科
'bian'chun'xiang'ke 扁椿象科
'bian'chun'xiang'zong'ke 扁椿象总科
'bian'cong'ke 扁蟌科
'bian'fu'chun'xiang'ke 蝙蝠椿象科
'bian'fu'e'ke 蝙蝠蛾科
'bian'fu'e'zong'ke 蝙蝠蛾总科
'bian'fu'ying'ke 蝙蝠蝇科
'bian'fu'you'ke 扁蜉蝣科
'bian'gu'hua'jia'ke 扁股花甲科
'bian'gu'xiao'feng'ke 扁股小蜂科
'bian'ji'ke 扁襀科
'bian'jia'ke 扁甲科
'bian'jiao'chun'ke 鞭角蝽科
'bian'jiao'chun'xiang'ke 鞭角椿象科
'bian'jiao'chun'xiang'zong'ke 鞭角椿象总科
'bian'jiao'wen'ke 扁角蚊科
'bian'kou'ying'ke 扁口蝇科
'bian'la'chan'ke 扁腊蝉科
'bian'ni'chong'ke 扁泥虫科
'bian'ni'jia'ke 扁泥甲科
'bian'qu'sou'ke 扁蠼螋科
'bian'shi'ying'ke 扁石蝇科
'bian'ye'chan'ke 扁叶蝉科
'bian'ye'feng'ke 扁叶蜂科
'bian'ying'ke 扁蝇科
'bian'yuan'jia'ke 扁圆甲科
'bian'zu'ying'ke 扁足蝇科
'biao'ben'chong'ke 标本虫科
'bie'jia 鳖甲
'bie'lian'ke 鳖蠊科
'bin'chun'ke 滨蝽科
'bin'tiao'chong'ke 滨跳虫科
'bin'ying'ke 滨蝇科
'bing'chi'xiao'feng'ke 柄翅小蜂科
'bing'fu'bing'chi'ying'xiao'feng'ke 柄腹柄翅缨小蜂科
'bing'fu'xi'feng'ke 柄腹细蜂科
'bing'yan'ying'ke 柄眼蝇科
'bo'ben'fen'jin'gui 波笨粪金龟
'bo'wan'ke 檗蚖科
'bo'wen'e'ke 波纹蛾科
'bu'du'chong'ke 捕蠹虫科
'bu'jia 步甲
'bu'jia'ke 步甲科
'bu'xing'chong'ke 步行虫科
'bu'ying'feng'ke 捕蝇蜂科
'bu'zhi'hua'zao'ke 捕蜘花蚤科
