'a'zi'fu'chuang'qi 阿姊扶床泣
'ai'ai'qing'yun'pi 霭霭晴云披
'ai'dai'yun'nong'yu'bi'song 叆叇云浓雨碧松
'ai'zai'wan'nian'hou 哀哉万年后
'an'de'jiu'zhou'xuan 安得久周旋
'an'de'yi'xi'kong'gan'ge 安得一洗空干戈
'an'de'zhi'wo'zi'lou'zhong 安得置我兹楼中
'an'li'yuan'sheng'qi 暗里猿声起
'an'shu'liu'ying'luan 暗树流萤乱
'an'shui'liu'si'du'kong'gu 暗水流澌度空谷
'ao'bei'qiu'shen'pian'yu'fu 鳌背秋深片玉浮
'ao'ying'wang'chuan'ye'wang'you'cheng'ci 敖英辋川谒王右丞祠
'ba'dao'yue'ma'men'qian'lu 拔刀跃马门前路
'ba'di'qiong'ya'gou'fan'gong 拔地穹崖构梵宫
'ba'dong'dong'xia'xiang'an'liu 巴东东下想安流
'ba'jiu'yi'mang'ran 把酒意茫然
'ba'ling'feng'yu'ye'lai'shen 灞陵风雨夜来深
'ba'shui'qu'wu'sheng 巴水去无声
'bai'ba'pu'ti'zi 百八菩提子
'bai'chi'song'shan'tie'di'qing 百尺松杉贴地青
'bai'er'shan'he'kong'shang'you 百二山河控上游
'bai'fa'neng'xiao'ji'xu'bei 白发能消几许悲
'bai'gu'gao'yu'tai'hang'xue 白骨高于太行雪
'bai'gu'ye'ban'yu 白骨夜半语
'bai'jin'gou'zhi'bu'yi'de 百金购之不一得
'bai'jin'zong'you'fei'di'chan 白金纵有非地产
'bai'li'jie'yao'hua 百里皆瑶华
'bai'li'ping'lin'zhang'shang'shan 百里平林掌上山
'bai'li'wu'yan'huo 百里无烟火
'bai'lu'di'hui'ji 白鹭低回疾
'bai'lu'qun'fan'ge'pu'feng 白鹭群翻隔浦风
'bai'lu'xia'yu'chu 白露下玉除
'bai'nian'feng'ri'ji'chong'yang 百年风日几重阳
'bai'ou'fei'jin'shui'lian'tian 白鸥飞尽水连天
'bai'ou'qiu'shui'fei'wei'qun 白鸥秋水飞为群
'bai'pin'feng'leng'yan'lai'shi 白蘋风冷雁来时
'bai'ri'feng'chen'chi'yi'qi 白日风尘驰驿骑
'bai'ri'lin'yuan'sui 白日临元岁
'bai'ri'ni'xi'shan 白日匿西山
'bai'ri'qing'yun'bi'hu'mian 白日青云闭户眠
'bai'she'rao'shen'yuan'shang'fei 百舌绕身原上飞
'bai'sui'qi'zhi'liao'yi'shen 百岁岂止疗一身
'bai'tou'chou'bi'fu'chang'yang 白头抽笔赋长杨
'bai'xia'you'shan'jie'rao'guo 白下有山皆绕郭
'bai'yue'heng'kong'leng'zhan'chang 白月横空冷战场
'bai'yun'hai'se'shu 白云海色曙
'bai'yun'heng'sai'duan 白云横塞断
'bai'yun'xiang'song'da'jiang'xi 白云相送大江西
'bai'zhan'you'sui'liu'wu'wei 百战犹随刘武威
'bai'zhe'qian'hui'xiang'dong'qu 百折千回向东去
'bai'zhou'xiao'ming'dao'ye'fen 白昼鸮鸣到夜分
'bai'zhou'zheng'kan'yue'yi'xian 白昼争看月一弦
'ban'ce'chuan'tou'shui'hua'mei 半侧船头水花没
'ban'chuang'qing'ri'zhao'can'sheng 半窗晴日照蚕生
'ban'gao'xin'shui'bai'ou'fei 半篙新水白鸥飞
'ban'jing'xie'chuang'nong'xiao'hong 半镜斜窗弄小红
'ban'xi'qing'ri'xian'shu'liu 半溪晴日衔疏柳
'ban'yan'shuang'qi'zun'qian'yu 半檐爽气尊前雨
'ban'ye'han'deng'shu'hang'lei 半夜寒灯数行泪
'ban'ye'qi'hu'jia 半夜起胡笳
'bao'de'pi'pa'ma'shang'dan 抱得琵琶马上弹
'bao'gou'he'ta'dian'qi'hou 宝构合沓殿其后
'bei'dou'qiao'ke'yuan 北斗峭可援
'bei'feng'hu'nan'lai 北风忽南来
'bei'she'dong'lin'wen'ku'sheng 北舍东邻闻哭声
'ben'shi'wu'yun'ge'xia'zhi'xian'qing 本是五云阁下之仙卿
'ben'tong'jiang'hai'ren 本同江海人
'beng'tao'yong'lang'shi'nan'jiu 崩涛涌浪势难久
'bi'di'tian'hua'ke'zi'piao 笔底天花可自飘
'bi'fa'yi'xi'jing'yu'guan 笔法依稀荆与关
'bi'han'sheng'bo'dang'su'qiu 碧汉生波荡素秋
'bi'jian'chuan'seng'fan 碧涧传僧梵
'bi'li'jie'tu'kuai 壁立皆土块
'bi'li'wu'sheng'he'han'zhuan 觱篥无声河汉转
'bi'men'chang'yu'zhu'wei'lin 闭门长与竹为邻
'bi'men'peng'hu'liang'san'jia 荜门蓬户两三家
'bi'men'shui'zu'shi'chu'cheng 闭门睡足诗初成
'bi'shi'can'shang'qi 避世惭商绮
'bi'shui'dan'shan'ying'zhang'li 碧水丹山映杖藜
'bi'tai'nian'jiu'an'bei'wen 碧苔年久暗碑文
'bi'yu'long'shou'zhe'qi'jiao 陛隅龙兽折其角
'bian'feng'zhi'di'lai 边风掷地来
'bian'geng'lei'chao'yi'po'ce 变更累朝意叵测
'bian'gong'ye'wen'shan'ci 边贡谒文山祠
'bian'gong'zhong'zeng'wu'guo'bin 边贡重赠吴国宾
'bian'hou'mu'shang'mi'fang'cao 卞侯墓上迷芳草
'bian'qian'chao'shi'yi'duo'nian 变迁朝市已多年
'bian'tong'ni'yun'lin'hua 卞同倪云林画
'bian'zhi'gui'zhou'xiang'xia'zhou 便指归州向峡州
'biao'li'shan'he'you'wang'ri 表里山河犹往日
'bie'hou'ji'nian'er'nv'da 别后几年儿女大
'bie'li'jiang'shang'hai'he'shang 别离江上还河上
'bin'bian'jiu'bai'tian'xin'bai 鬓边旧白添新白
'bin'hong'zuo'ye'jing 宾鸿昨夜惊
'bin'ying'man'xiao'xiao 鬓影漫萧萧
'bing'chuan'bi'jiao'cai'lian'duo 并船比较采莲多
'bing'dao'zuo'ye'xia'zhong'ming 并刀昨夜匣中鸣
'bing'xie'shuang'jian'luo'xing'yao 并携双剑落星摇
'bo'guang'shui'niao'jing'you'su 波光水鸟惊犹宿
'bu'can'bei'kuan'he 不惭被宽褐
'bu'dao'qing'quan'bai'shi'jian 不到清泉白石间
'bu'dao'xiang'feng'lei'geng'duo 不道相逢泪更多
'bu'fang'fei'chen'ru'jian'zhang 不放飞尘入建章
'bu'fang'yin'man'zhuo'tan'quan 不妨引满酌贪泉
'bu'gan'geng'yu'cheng'zheng'xiong 不敢更与城争雄
'bu'gu'su'er'jing 不顾俗耳惊
'bu'guan'wu'tu'mang'ben'qing 不管乌兔忙奔倾
'bu'jian'chang'ge'ren 不见唱歌人
'bu'jian'cui'ke'ye'da'men 不见催科夜打门
'bu'jue'hong'yan'zuo'diao'shou 不觉红颜坐凋瘦
'bu'ken'diao'she'xia'qi'shi'cheng 不肯掉舌下七十城
'bu'ken'zhe'yao'wei'wu'dou'mi 不肯折腰为五斗米
'bu'mei'ye'dang'hu 不寐夜当户
'bu'mu'yi'shi'ying 不慕猗氏盈
'bu'qian'nan'zhi'xiang'bei'chao 不遣南枝向北朝
'bu'qing'feng'ke'qiang'jia'guan 不情逢客强加冠
'bu'ran'du'po'du'ling'wu 不然独破杜陵屋
'bu'rong'zai'shi'zuo'jiao'kuai 不容在世作狡狯
'bu'ru'wu'yong'zhi'zhu'wang 不如无用蜘蛛网
'bu'ru'zuo'ye'yi'geng'chang 不如昨夜一更长
'bu'shang'wang'xiang'tai 不上望乡台
'bu'shi'nan'zhi'bu'fang'hua 不是南枝不放花
'bu'shi'shan'zhong'lu 不识山中路
'bu'ting'yuan'ti'yi'duan'chang 不听猿啼亦断肠
'bu'wen'long'hu'ku'zhan'dou 不问龙虎苦战斗
'bu'wu'jing'kong'gui 不晤竟空归
'bu'xi'qian'jin'mai 不惜千金买
'bu'xian'chu'lan'tai 不羡楚兰台
'bu'xian'chui'hua'ying 不羡垂华缨
'bu'xian'wang'hou'shi'wan'qian 不羡王侯食万钱
'bu'xie'ji'qi'gong 不屑计奇功
'bu'xin'wan'shan'kai 不信万山开
'bu'xu'yi'zhao'chui'chang'di 不须倚棹吹长笛
'bu'yi'na'na'fa'xing'xing 布衣衲衲发星星
'bu'yong'chang'jiang'xian'nan'bei 不用长江限南北
'bu'you'hui'ye'kong 不忧回也空
'bu'zhan'fang'zun'kai'kou'xiao 不展芳尊开口笑
'bu'zhi'feng'huang'shi'qin 不知凤凰是钦
'bu'zhi'feng'xin'zhi 不知风信至
'bu'zhi'fu'xu'qu 不知夫婿去
'bu'zhi'shan'qi'shen 不知山气深
'bu'zhi'shan'yue'sheng 不知山月生
'bu'zhi'tian'wai'yan 不知天外雁
'cai'cu'yi'xiang'pan 菜簇异乡盘
'cai'de'ting'ge'bian'lei'chui 才得听歌便泪垂
'cai'shi'jiang'shen'si'wei'yang 采石江深似渭阳
'cai'yun'piao'feng'que 彩云飘凤阙
'cai'zhao'lou'dong'fu'zhuan'xi 才照楼东复转西
'can'jiang'chi'shou'fen'san'xi 惭将赤手分三席
'can'jun'mao'luo'shui'tong'diao 参军帽落谁同调
'can'kui'xian'sheng'mu'xu'pan 惭愧先生苜蓿盘
'can'shan'sheng'shui'pian'zhi'gui 残山剩水片纸贵
'can'ye'ying'quan'liu 残叶映泉流
'can'yue'luan'ji'sheng 残月乱鸡声
'cang'bo'shen'chu'shi'wei'liang 沧波深处石为梁
'cang'bo'si'qian'zhong 沧波思千重
'cang'long'ban'gua'qin'chuan'yu 苍龙半挂秦川雨
'cang'ran'wan'shan'se 苍然万山色
'cang'ying'bu'sheng'han'jiang'zhi 苍蝇不省寒将至
'cang'ying'jue'zhi'sui 苍鹰攫雉碎
'cao'jing'mao'fei'dai'ruan'sha 草径茅扉带软沙
'cao'lu'bu'ci'mang'ju'shi 草露不辞芒屦湿
'cao'qi'hai'zi'qiao 曹棨海子桥
'cao'qi'wei'yang'huai'gu 曹棨维扬怀古
'cao'sheng'gong'que'he'xiao'xiao 草生宫阙何萧萧
'cao'shou'nu'fu'jun'bei'xing'yi'pu'ti'shu'zhu'liu'zeng 曹寿奴夫君北行以菩提数珠留赠
'cao'tang'qiu'yu'du'yin'fu 草堂秋雨读阴符
'cao'tang'zhu'jiu'zi'shui'ji 草堂筑就赀谁寄
'cao'xue'quan'qin'huai'qiu'yuan 曹学佺秦淮秋怨
'cao'xue'quan'xin'lin'pu 曹学佺新林浦
'ce'chuang'bu'neng'yan 恻怆不能言
'ce'chuang'gan'shuai'nian 恻怆感衰年
'ce'er'wen'ti'ji 侧耳闻啼饥
'ce'ma'xing'xing'chu'guo'yao 策马行行出郭遥
'cen'ci'chu'diao'zhuan'wu'yin 参差楚调转吴音
'cen'ci'lou'ge'hai'tian'kuan 参差楼阁海天宽
'ceng'lou'luo'ri'yi'cuo'tuo 层楼落日易蹉跎
'ceng'wei'yi'ye'qing'shan'ke 曾为一夜清山客
'ceng'xiang'cang'liu'zhuan'nu'jing 曾向沧流剸怒鲸
'cha'sheng'er'ti'nv'huan'shi 差胜儿啼女唤时
'cha'ti'chu'chu'kuang 茶提处处筐
'chai'men'shi'you'gu'ren'lai 柴门时有故人来
'chai'men'zhi'chi'ji'xi'bin 柴门咫尺即溪滨
'chan'juan'di'zi'ling 婵娟帝子灵
'chan'yuan'ji'shui'liu 潺湲济水流
'chang'an'chen'tu'san'qian'zhang 长安尘土三千丈
'chang'an'duo'di'sai'xiang'mo 长安夺地塞巷陌
'chang'an'duo'shao'gui'zhong'ren 长安多少闺中人
'chang'an'lv'shi'yan'liu'di 长安旅食淹留地
'chang'duan'jin'sha'wan'li'lou 肠断金沙万里楼
'chang'feng'chui'hai'se 长风吹海色
'chang'jiang'feng'yang'bu'fan'qing 长江风飏布帆轻
'chang'men'deng'xia'lei 长门灯下泪
'chang'men'shen'bi'mu'men'shen 长门深比墓门深
'chang'ming'yi'bu'ping 长鸣意不平
'chang'nian'qiao'ban'zhu'chuan'ke 长年敲板助船客
'chang'tian'xia'yuan'shui 长天下远水
'chang'wang'wan'dao'hai'zi'jie 怅望玩道还咨嗟
'chang'wang'wei'neng'gui 怅望未能归
'chang'xia'ci'jing'zuo 长夏此静坐
'chang'xiao'du'deng'lou 长啸独登楼
'chang'xin'duo'chun'cao 长信多春草
'chang'ye'han'sheng'cui'mu'di 长夜寒生翠幕低
'chao'hui'gu'jiu'cheng'nan'mo 朝回沽酒城南陌
'chao'ru'zhu'ren'men 朝入主人门
'chao'yin'wang'qi'ji 朝吟忘其饥
'che'ma'lao'lao'xie'bu'neng 车马劳劳谢不能
'chen'bu'jian'feng'huang 晨不见凤凰
'chen'cheng'liu'sha'he 陈诚流沙河
'chen'ji'wu'duo'ban'xi'yang 陈迹无多半夕阳
'chen'yi'pu'bu'quan 陈沂瀑布泉
'chen'zi'long'du'yi'shui 陈子龙渡易水
'chen'zi'long'jiao'he 陈子龙交河
'chen'zi'long'ku'zhang'tian'ru'xian'sheng'xuan'yi'shou 陈子龙哭张天如先生选一首
'chen'zi'long'qing'ming'xuan'yi'shou 陈子龙清明选一首
'chen'zi'long'xiao'che'hang 陈子龙小车行
'cheng'ben'li'ti'li'dian'yi'yun'dong'juan 程本立题李典仪云东卷
'cheng'bian'yang'liu'fei'bai'hua 城边杨柳飞白花
'cheng'cha'po'lang'fei'wu'shi 乘槎破浪非吾事
'cheng'kui'bing'he'jiong 城窥冰壑迥
'cheng'shang'shan'xing'rao'jian'kang 城上山形绕建康
'cheng'xiang'ying'ling'jiong'wei'xiao 丞相英灵迥未消
'cheng'zhong'guan'gai'ban'tong'you 城中冠盖半同游
'chi'chu'jiao'ye'wai 踟蹰郊野外
'chi'su'e'chuan'jue'ming'ci 尺素俄传绝命辞
'chi'yi'yi'qu'jing'qian'nian 鸱夷一去经千年
'chi'zhong'ou'fei'qu 池中鸥飞去
'chou'chu'kong'fu'qing 踌躇空复情
'chou'qing'you'ye'xing 愁轻游冶兴
'chou'sha'jiang'nan'yu'zi'shan 愁杀江南庾子山
'chou'shen'gan'yi'jia 仇深敢忆家
'chou'shen'ye'bu'mian 愁深夜不眠
'chou'yun'ya'di'shi'bu'fan 愁云压地湿不翻
'chou'zhong'ci'di'sheng 愁中次第生
'chu'bi'man'cao'gen 除彼蔓草根
'chu'chu'zhu'chun'sheng 处处逐春生
'chu'ge'sheng'si'xuan 楚歌声四喧
'chu'hai'jiao'zhu'you'dai'shui 出海鲛珠犹带水
'chu'kuang'sheng 楚狂生
'chu'men'bu'fu'zhi'nan'bei 出门不复知南北
'chu'men'mang'ran'he'suo'zhi 出门茫然何所之
'chu'ru'ri'yue'kai'ping'meng 出入日月开帡幪
'chu'shui'dian'chi'wan'li'you 楚水滇池万里游
'chu'shui'yan'shan'wan'li'chang 楚水燕山万里长
'chu'yun'gao'bu'luo 楚云高不落
'chuan'dao'yue'yang'ying'jian'wen 船到岳阳应渐稳
'chuan'tou'ban'mei'chuan'wei'gao 船头半没船尾高
'chuan'tu'miao'miao'zheng'yang'ling 川途渺渺正扬舲
'chuang'fei'zi'kai'wei'bu'shou 窗扉自开卫不守
'chuang'tou'you'zhuo'jiu 床头有浊酒
'chuang'xu'lou'sheng'yong 窗虚漏声永
'chuang'ye'wei'ba'yan 创业未八埏
'chuang'zhong'cai'lian'zhou 窗中采莲舟
'chui'lian'ru'huang'zhuan'xiang'qin 吹帘入幌转相亲
'chui'liu'bu'xi'li'qing'zhu 垂柳不系离情住
'chui'liu'yin'wo'men 垂柳荫我门
'chui'yang'chui'liu'guan'fang'nian 垂杨垂柳管芳年
'chun'dao'huang'niu'xia 春到黄牛峡
'chun'dao'ren'jian'ren'si'yu 春到人间人似玉
'chun'feng'hai'si'zuo'xiao'duo 春风还似昨宵多
'chun'feng'lai'guo'yu'er'xi 春风来过语儿溪
'chun'feng'song'ke'fan'chou'ke 春风送客翻愁客
'chun'feng'yi'jiu'chui'fang'du 春风依旧吹芳杜
'chun'feng'yi'ye'dao'heng'yang 春风一夜到衡阳
