'an'dong 暗动
'an'shi'ying 安世应
'ba'gua 八卦
'ba'zhuan'fa 八专法
'ba'zhuan'ke 八专课
'ba'zuo 八座
'bai'cai 败财
'bai'di 败地
'bai'hu 白虎
'bai'hu'chang'kuang 白虎猖狂
'bai'hu'chu'li 白虎出力
'bai'hu'gan'ge 白虎干格
'bai'la'jin 白腊金
'bai'la'jin 白蜡金
'bai'yi'jin 白蚁金
'ban'gong 半拱
'ban'he 半合
'bang'fu 帮扶
'bang'shen 帮身
'bei'fang'shui 北方水
'ben'qi 本气
'ben'zhu 本柱
'bi'jian 比肩
'bi'shang'tu 壁上土
'bi'yong 比用
'bi'yong'fa 比用法
'bi'yong'ke 比用课
'bi'zhu 比助
'bian'gua 变卦
'bie'ze'fa 别责法
'bie'ze'ke 别责课
'bing'chen 丙辰
'bing'chen'ding'si'sha'zhong'tu 丙辰丁巳沙中土
'bing'di 病地
'bing'ding'zhu'ji'wei 丙丁猪鸡位
'bing'huo 丙火
'bing'huo'ru'xu'mu 丙火入戌墓
'bing'nian 丙年
'bing'qi 丙奇
'bing'ren'dao'shang 兵刃刀伤
'bing'shen 丙申
'bing'shen'ding'you'shan'xia'huo 丙申丁酉山下火
'bing'wu 丙午
'bing'wu'bing'zai'shen 丙戊病在申
'bing'wu'chang'sheng'zai'yin 丙戊长生在寅
'bing'wu'di'wang'zai'wu 丙戊帝旺在午
'bing'wu'ding'wei'tian'he'shui 丙午丁未天河水
'bing'wu'guan'dai'zai'chen 丙戊冠带在辰
'bing'wu'jue'zai'hai 丙戊绝在亥
'bing'wu'lin'guan'zai'si 丙戊临官在巳
'bing'wu'lu'zai'si 丙戊禄在巳
'bing'wu'mu'yu'zai'mao 丙戊沐浴在卯
'bing'wu'mu'zai'xu 丙戊墓在戌
'bing'wu'ren'zai'wu 丙戊刃在午
'bing'wu'shen'gong'ding'ji'ji 丙戊申宫丁己鸡
'bing'wu'shuai'zai'wei 丙戊衰在未
