'a'bo 阿波
'a'bo'de'hai'zei 阿波的海贼
'an'li'li 安莉莉
'an'shun'yi 安顺仪
'bai'long 白龙
'bai'long'cun 白龙村
'bai'long'zhi'cun 白龙之村
'can'ku'de'ming'yun 残酷的命运
'chan'dou'de'jue'wu 颤抖的觉悟
'chen'xi'gong'zhu 晨曦公主
'chi'cheng'jin 赤城进
'chuan'zhang 船长
'dai'wang 待望
'ding'yu 丁宇
'du'shang'xing'ming'de'gong'zuo 赌上性命的工作
'fei'long'wang 绯龙王
'fei'long'wang'zhuan'shi 绯龙王转世
'feng'zhi'bu'zu 风之部族
'fu'xiao'de'gong'zhu 拂晓的公主
'gan'di'chun 甘迪淳
'gan'shou'ren 甘寿仁
'gang'ben'xin'yan 冈本信彦
'gao'hua'wang'guo 高华王国
'guan'jing'ya 关京牙
'guan'si'jin 关司晋
'han'di 邯狄
'hao'xiang'fu'xiao'de'tian'kong'yi'ban 好像拂晓的天空一般
'hong'fa 红发
'huang'long 黄龙
'huang'long'zhi'dun 黄龙之盾
'hui'dang'de'kong'ju 回荡的恐惧
'huo'hua 火花
'huo'zhi'bu'zu 火之部族
'huo'zhi'guo 火之国
'ji'xia 季夏
'jiang'chuan'yang'sheng 江川央生
'jie'ba 杰巴
'jin'wan'chun'yi 金丸淳一
'ju'chi'xin 菊池心
'long'zhi'li 龙之力
'long'zhi'yan 龙之眼
'long'zhi'zhan'shi 龙之战士
'lv'long 绿龙
'meng'yan'zhi'long 蒙眼之龙
'pao'xiao 咆哮
'po'sui'de'ji'ban 破碎的羁绊
'qian'shu'cao'de'kao'yan 千树草的考验
'qian'wang'xin'tian'di 前往新天地
'qian'ye'zhi'zhao 前野智昭
'qing'long 青龙
'qing'long'zhi'cun 青龙之村
'sen'tian'cheng'yi 森田成一
'shen'guan 神官
'shen'guan'yu'yan 神官预言
'shi'feng'de'zhu'ren 侍奉的主人
'shi'tian'zhang 石田彰
'shi'yue'zhi'chen 誓约之晨
'shou'yuan 守元
'shui'zhi'bu'zu 水之部族
'su'fang 苏方
'su'ha'ke 苏哈克
'su'mu'te'ke 苏姆特克
'tai'wu 邰悟
'tian'ming 天命
'tian'yong 天咏
'xi'an 席安
'xia'ye'hong 下野纮
'xian'ya 弦亚
'xiang'ze'zheng'hui 相泽正辉
'xiao'lin'yu'jie 小林裕介
'xuan'ze'de'men'fei 选择的门扉
'xun'long'lv'tu 寻龙旅途
'yao'wang'de'tian'kong 遥望的天空
'yi'er 伊尔
'yi'jun'de 伊军德
'yi'jun'ting 易君廷
'yi'ke'si 伊克斯
'ying'jing'xiao'hong 樱井孝宏
'yong'qi'de'lian'suo 勇气的连锁
'you'fang 由芳
'you'na 优娜
'you'na 尤娜
'you'na'gong'zhu 尤娜公主
'yu'fan 俞凡
'yuan'fen 缘分
'yue'zhi'guang 月之光
'zai'ye'wan'ke'hua'li'shi 在夜晚刻画历史
'ze'nuo 泽诺
'zhai'he 翟鹤
'zhai'teng'qian'he 斋藤千和
'zhan'zheng'you'xi 战争游戏
'zou'fang'bu'shun'yi 诹访部顺一
'zuo'zuo'mu'sheng'yan 佐佐木胜彦
