'bai'nei'zhang 白内障
'bai'nei'zhang'shu'hou'bo'li'ti'zong'he'zheng 白内障术后玻璃体综合征
'ban'hen'xing'dao'jie 瘢痕性倒睫
'ban'hen'xing'jian'wai'fan 瘢痕性睑外翻
'bao'lu'xing'jiao'mo'yan 暴露性角膜炎
'bi'lei'guan'bi'suo 鼻泪管闭锁
'bi'lei'guan'xia'zhai 鼻泪管狭窄
'bi'lei'guan'zu'se 鼻泪管阻塞
'bi'se'xing'shi'wang'mo'dong'mai'yan 闭塞性视网膜动脉炎
'bian'tai'fan'ying'xing'hong'mo'jie'zhuang'ti'yan 变态反应性虹膜睫状体炎
'bian'xing'jin'shi 变性近视
'bian'ying'xing'jie'mo'yan 变应性结膜炎
'bian'yuan'xing'jiao'mo'bian'xing 边缘性角膜变性
'bian'yuan'xing'jiao'mo'kui'yang 边缘性角膜溃疡
'biao'ceng'gong'mo'yan 表层巩膜炎
'bing'fa'xing'bai'nei'zhang 并发性白内障
'bo'li'ti'bian'xing 玻璃体变性
'bo'li'ti'chu'xie 玻璃体出血
'bo'li'ti'huang'ban'qian'la'zong'he'zheng 玻璃体黄斑牵拉综合征
'bo'li'ti'hun'zhuo 玻璃体混浊
'bo'li'ti'ji'huan 玻璃体疾患
'bo'li'ti'nang'zhong 玻璃体囊肿
'bo'li'ti'nei'jie'jing'chen'ji 玻璃体内结晶沉积
'bo'li'ti'nong'zhong 玻璃体脓肿
'bo'li'ti'shan 玻璃体疝
'bo'li'ti'te'zhi'ji'huan 玻璃体特指疾患
'bo'li'ti'tuo'chu 玻璃体脱出
'bo'li'ti'tuo'li 玻璃体脱离
'bo'li'ti'wei'suo 玻璃体萎缩
'bo'li'ti'ye'hua 玻璃体液化
'bo'li'ti'yi'wu 玻璃体异物
'bo'san'xing'mai'luo'mo'shi'wang'mo'yan 播散性脉络膜视网膜炎
'bu'ban'you'jie'mo'yan'qian'ceng'jiao'mo'yan 不伴有结膜炎浅层角膜炎
'bu'gui'ze'yan'yun'dong 不规则眼运动
'bu'lang'qiao'zong'he'zheng 布郎鞘综合征
'bu'lu'shi'gan'jun'xing'yan'se'su'mo'yan 布鲁氏杆菌性眼色素膜炎
'can'shi'xing'jiao'mo'kui'yang 蚕蚀性角膜溃疡
'chen'jiu'xing'bo'li'ti'yi'wu 陈旧性玻璃体异物
'chen'jiu'xing'gong'mo'yi'wu 陈旧性巩膜异物
'chen'jiu'xing'gong'mo'yi'wu'yi'liu 陈旧性巩膜异物遗留
'chen'jiu'xing'hong'mo'jie'zhuang'ti'yan 陈旧性虹膜睫状体炎
