'an'hui'hui'shang 安徽徽商
'an'hui'hui'shang'qi'huo'jing'ji'you'xian'gong'si 安徽徽商期货经纪有限公司
'an'hui'sheng'zheng'quan'qi'huo'ye'xie'hui 安徽省证券期货业协会
'an'liang'qi'huo 安粮期货
'an'liang'qi'huo'you'xian'gong'si 安粮期货有限公司
'an'xin 安信
'an'xin'qi'huo 安信期货
'an'xin'qi'huo'you'xian'ze'ren'gong'si 安信期货有限责任公司
'ba'xi'qi'huo'jiao'yi'suo 巴西期货交易所
'bai'dong'zhi'biao 摆动指标
'bai'tang 白糖
'bai'tang'qi'huo 白糖期货
'bai'tang'zhi'shu 白糖指数
'bai'tang'zhu'li 白糖主力
'bao'cang 爆仓
'bao'cheng 宝城
'bao'cheng'qi'huo 宝城期货
'bao'cheng'qi'huo'you'xian'ze'ren'gong'si 宝城期货有限责任公司
'bao'jia'dan'wei 报价单位
'bao'zheng'jin 保证金
'bao'zheng'jin'jian'kong'zhong'xin 保证金监控中心
'bei'da'huang'liang'you 北大荒粮油
'bei'fang 北方
'bei'fang'qi'huo 北方期货
'bei'fang'qi'huo'jing'ji'you'xian'ze'ren'gong'si 北方期货经纪有限责任公司
'bei'jing'guan'tong 北京冠通
'bei'jing'jin'peng 北京金鹏
'bei'jing'qi'huo'shang'hui 北京期货商会
'bei'jing'shou'chuang 北京首创
'bei'jing'shou'chuang'qi'huo'you'xian'ze'ren'gong'si 北京首创期货有限责任公司
'bei'jing'zhong'qi 北京中期
'bei'jing'zhong'qi'qi'huo'jing'ji'you'xian'gong'si 北京中期期货经纪有限公司
'bei'te 倍特
'bi'cang 逼仓
'bi'lv 比率
'bian'pan 变盘
'biao'di'wu 标的物
'biao'zhun'hua'he'yue 标准化合约
'bo'dong 波动
'bo'duan 波段
'bo'hai 渤海
'bo'hai'qi'huo 渤海期货
'bo'hai'qi'huo'you'xian'gong'si 渤海期货有限公司
'bo'hai'shang'pin'jiao'yi'suo 渤海商品交易所
'bo'lang 波浪
'bo'lang'li'lun 波浪理论
'bo'yi'da'shi 博易大师
'cai'da 财达
'cai'da'qi'huo 财达期货
'cai'da'qi'huo'you'xian'gong'si 财达期货有限公司
'cai'da'qi'huo'zhang'yong'li 财达期货张永利
'cai'fu'qi'huo 财富期货
'cai'fu'qi'huo'you'xian'gong'si 财富期货有限公司
'cai'fu'zhong'xin 财富中心
'cai'you 菜油
'cang'cha 仓差
'cang'chu'fei'yong 仓储费用
'cang'dan 仓单
'cao'zong'shi'chang 操纵市场
'cao'zong'shi'chang'xing'wei 操纵市场行为
'chang'jiang'qi'huo 长江期货
'chang'jiang'qi'huo'you'xian'gong'si 长江期货有限公司
'chang'nei'jiao'yi 场内交易
'chang'qi 长期
'chang'qi'gu'quan'tou'zi 长期股权投资
'chang'qi'jie'kuan 长期借款
'chang'wai'jiao'yi 场外交易
'chang'xian 长线
'chang'xian'chi'you 长线持有
'chang'yong'qi'huo'shu'yu 常用期货术语
'chao'dan 炒单
'cheng'du'bei'te 成都倍特
'cheng'du'bei'te'qi'huo'jing'ji'you'xian'gong'si 成都倍特期货经纪有限公司
'cheng'jiao'dan 成交单
'cheng'jiao'jia 成交价
'cheng'jiao'jia'ge 成交价格
'cheng'jiao'liang 成交量
'chi'cang 持仓
