'a'ye'wu'da'er 阿爷无大儿
'a'zi'wen'mei'lai 阿姊闻妹来
'bei'shi'mai'chang'bian 北市买长鞭
'bu'wen'ji'zhu'sheng 不闻机杼声
'bu'wen'ye'niang'huan'nv'sheng 不闻爷娘唤女声
'bu'zhi'mu'lan'shi'nv'lang 不知木兰是女郎
'ce'xun'shi'er'zhuan 策勋十二转
'chu'guo'xiang'fu'jiang 出郭相扶将
'chu'men'kan'huo'ban 出门看火伴
'cong'ci'ti'ye'zheng 从此替爷征
'dan'ci'huang'he'qu 旦辞黄河去
'dan'ci'ye'niang'qu 旦辞爷娘去
'dan'wen'huang'he'liu'shui'ming'jian'jian 但闻黄河流水鸣溅溅
'dan'wen'yan'shan'hu'qi'ming'jiu'jiu 但闻燕山胡骑鸣啾啾
'dang'chuang'li'yun'bin 当窗理云鬓
'dang'hu'li'hong'zhuang 当户理红妆
'dong'shi'mai'jun'ma 东市买骏马
'dui'jing'tie'hua'huang 对镜贴花黄
'guan'shan'du'ruo'fei 关山度若飞
'gui'lai'jian'tian'zi 归来见天子
'han'guang'zhao'tie'yi 寒光照铁衣
'huo'ban'jie'jing'mang 火伴皆惊忙
'ji'ji'fu'ji'ji 唧唧复唧唧
'jiang'jun'bai'zhan'si 将军百战死
'juan'juan'you'ye'ming 卷卷有爷名
'jun'shu'shi'er'juan 军书十二卷
'kai'wo'dong'ge'men 开我东阁门
'ke'han'da'dian'bing 可汗大点兵
'ke'han'wen'suo'yu 可汗问所欲
'mo'dao'huo'huo'xiang'zhu'yang 磨刀霍霍向猪羊
'mu'lan'bu'yong'shang'shu'lang 木兰不用尚书郎
'mu'lan'dang'hu'zhi 木兰当户织
'mu'lan'wu'zhang'xiong 木兰无长兄
'mu'su'huang'he'bian 暮宿黄河边
'mu'zhi'hei'shan'tou 暮至黑山头
'nan'shi'mai'pei'tou 南市买辔头
'nv'yi'wu'suo'si 女亦无所思
'nv'yi'wu'suo'yi 女亦无所忆
'shang'ci'bai'qian'qiang 赏赐百千强
'shuo'qi'chuan'jin'tuo 朔气传金柝
'song'er'huan'gu'xiang 送儿还故乡
'tian'zi'zuo'ming'tang 天子坐明堂
'tong'xing'shi'er'nian 同行十二年
'tuo'wo'zhan'shi'pao 脱我战时袍
'wan'li'fu'rong'ji 万里赴戎机
'wei'wen'nv'tan'xi 惟闻女叹息
'wen'nv'he'suo'si 问女何所思
'wen'nv'he'suo'yi 问女何所忆
'xi'shi'mai'an'jian 西市买鞍鞯
'xiao'di'wen'zi'lai 小弟闻姊来
'ye'niang'wen'nv'lai 爷娘闻女来
'yuan'chi'qian'li'zu 愿驰千里足
'yuan'wei'shi'an'ma 愿为市鞍马
'zhu'wo'jiu'shi'shang 著我旧时裳
'zhuang'shi'shi'nian'gui 壮士十年归
'zuo'wo'xi'ge'chuang 坐我西阁床
'zuo'ye'jian'jun'tie 昨夜见军帖
