'a'huan'jian'le 阿环见了
'a'zi'zui'chan'juan 阿姊最婵娟
'ai'jing'chuang'ming'ji 爱静窗明几
'ai'kong'jiang'xue'hua'ling'luan 暧空降雪花零乱
'ai'ta'feng'xue'nai'ta'han 爱他风雪耐他寒
'ai'xiao'yuan 爱小园
'an'ci'shou'xing'chan 按次守星躔
'an'dan'lv'chuang'chun'xiao 暗澹绿窗春晓
'an'li'xiang'jiao'che 暗里香交彻
'an'pai'xian'guan'qing'fang'yun 安排弦管倾芳酝
'an'xiang'san'guang'han'gong'dian 暗香散广寒宫殿
'an'xiang'yi'zhen'xin'liang'zhu 暗香移枕新凉住
'an'zhi'wu'wai 谙知物外
'ba'cong'qian'yi'bi'ju'duan 把从前一笔句断
'ba'jiao'ye'shang'qiu'feng'bi 芭蕉叶上秋风碧
'ba'jiu'dui'hua'yue 把酒对花月
'ba'ren'jian'ru'meng'shen'xing 把人间如梦深省
'ba'su'ru'gu'zhi 把俗儒故纸
'ba'wen'yu'xiao'yun'hai'lu 罢问玉霄云海路
'ba'zhu'dou'wu'zeng'ai 把住都无憎爱
'bai'ban'jing'guo 百般经过
'bai'chi'guang'lang'shu 百尺桄榔树
'bai'he'fei'lai 白鹤飞来
'bai'ju'hao'kai'chi 白菊好开迟
'bai'le'tian'xiang'luo'xiu'leng 拜了天香罗袖冷
'bai'lu'sui'xuan 白鹭随轩
'bai'ou'yu'xia 白鸥欲下
'bai'ri'ming'chao'yi'jiu'zai 白日明朝依旧在
'bai'ri'qing'tian 白日青天
'bai'ri'qu'ru'jian 白日去如箭
'bai'xu'xiu'qu 白须休觑
'bai'yu'lan'gan 白玉阑干
'ban'chuang'hua'ying 半床花影
'ban'leng'shui'shen'xiang 半冷水沈香
'bao'can'qing'lu'fei'wei 饱参清露霏微
'bao'chai'shuang'feng 宝钗双凤
'bao'da'qiu'guang 报答秋光
'bao'fan're'jian'cha 饱饭热煎茶
'bao'jiang'e 包绛萼
'bao'lai'mi'shui 饱来觅睡
'bao'xiang'huang'du'jian'tai'ping 饱向皇都见太平
'bao'zhuan'shao'can'xiang'lv 宝篆烧残香缕
'bao'zhuan'xiang'shen 宝篆香沈
'bei'ge'zui'wu 悲歌醉舞
'bei'gu'guo 悲故国
'bei'he'ren 被何人
'bei'ke'pian'ran 北客翩然
'bei'ke'xiang'feng'tan'lei'zuo 北客相逢弹泪坐
'bei'le'ji'ban'qing 悲乐几般情
'bei'liang'gu'guo 悲凉故国
'bei'lu'ri'chu'chang 北陆日初长
'bei'man'xi 杯漫洗
