'a'na'qu 阿那曲
'an'chen'qin'shang'you'cheng'luan'nv 暗尘侵上有乘鸾女
'ba'jiu'song'chun'chun'bu'yu 把酒送春春不语
'ban'kong'yan'yu 半空烟雨
'ban'qu'wu'qun'ge'shan 办取舞裙歌扇
'ban'zhu 拌著
'bao'shan'zhong'xun'ming'yue'ying 宝扇重寻明月影
'bao'ya'yan'xiao'xiang'wei'xie 宝鸭烟销香未歇
'bei'deng'chu'jie'xiu'qun'yao 背灯初解绣裙腰
'bi'ren'feng'lu'han 逼人风露寒
'bian'fang'man'chun'shan'zhen'xian 便放慢春衫针线
'bian'zuo'wu'qing 便做无情
'bing'qie'luo'yi'bo 病怯罗衣薄
'bo'qin'wu'nai'wu'geng'han 薄衾无奈五更寒
'bu'fang'yu'hua'fei'duo'di 不放玉花飞堕地
'bu'guan'yue'gong'han 不管月宫寒
'bu'jian'yao'cen'bi 不见遥岑碧
'bu'kan'hui'shou 不堪回首
'bu'ren'juan'lian'kan 不忍卷帘看
'bu'ru'chu'liu 不如初六
'bu'suan'zi 卜算子
'bu'zhi'he'chu'shi'she 不知何处施设
'ceng'ba'li'hua 曾把梨花
'chang'hen'xiao'feng'piao'bo 长恨晓风漂泊
'chang'jin'lv 唱金缕
'cheng'tou'hua'gu'qing'qiao 城头画鼓轻敲
'chi'chi'chun'ri'nong'qing'rou 迟迟春日弄轻柔
'chou'bing'xiang'reng 愁病相仍
'chou'hen'you'yi'ran 愁恨又依然
'chou'lai'tian'bu'guan 愁来天不管
'chou'men'yi'fan'xin 愁闷一番新
'chu'mu'ci'qing'wu'xian 触目此情无限
'chu'que 除却
'chui'che'xiao'chan'yu 吹彻小单于
'chui'jin'can'hua'wu'ren'jian 吹尽残花无人见
'chun'ban 春半
'chun'gong'yi'jue 春工已觉
'chun'xiang'yao'tao'tu'jiang'ying 春巷夭桃吐绛英
'chun'ye 春夜
'chun'yi'ban 春已半
'chun'yi'chu'shi'bo'luo'qing 春衣初试薄罗轻
'chun'yuan 春怨
'ci'qing'shui'jian 此情谁见
'cui'mei'er'cu 翠眉儿蹙
'da'sui'guang'ning'se 打碎光凝色
'dai'chu'he'geng'jin'ding'shou 待出和羹金鼎手
'dan'chang'wang'lan'zhou'rong'yu 但怅望兰舟容与
'dan'dang'li'hua'shen'yuan 澹荡梨花深院
'dan'ge'liang'yin 担阁梁吟
'dang'ci'ji 当此际
'dian'jiang'chun 点绛唇
'dian'po'xiang'mei'e 点破香梅萼
'die'lian'hua'song'chun 蝶恋花送春
'dong'feng'di'yi'zhi 东风第一枝
'dong'feng'yu'zhang'xin'nuan 东风欲障新暖
'dong'qing'wu'xue 冬晴无雪
'du'chang'du'chou'hai'du'wo 独倡独酬还独卧
'du'juan'jiao'luo'xi'lou'yue 杜鹃叫落西楼月
'du'xing'du'zuo 独行独坐
