'ai'guo'tong'yi'zhan'xian'zu'zhi 爱国统一战线组织
'ao'men'te'bie'xing'zheng'qu'tong'bao 澳门特别行政区同胞
'ao'ren'zhi'ao 澳人治澳
'ba'wo'shi'zhi'shen'ru'xue 把握实质深入学
'bai'ge'zheng'liu 百舸争流
'bai'shang'zhong'yao'yi'shi'ri'cheng 摆上重要议事日程
'bai'zai'tu'chu'wei'zhi 摆在突出位置
'ban'zhi'min'di'ban'feng'jian'she'hui 半殖民地半封建社会
'ban'zi'jian'she 班子建设
'ban'zi'tuan'jie 班子团结
'bao'chi'dang'tong'ren'min'qun'zhong 保持党同人民群众
'bao'chi'di'wei 保持低位
'bao'chi'he'fa'zhan 保持和发展
'bao'chi'kuan'song'wen'ding 保持宽松稳定
'bao'chi'ping'wen 保持平稳
'bao'chi'tai'hai'he'ping 保持台海和平
'bao'chi'wen'ding 保持稳定
'bao'chi'you'liang 保持优良
'bao'rong'xing 包容性
'bi'xu'hao'bu'dong'yao'di 必须毫不动摇地
'bi'xu'jiu'zheng 必须纠正
'bian'hua'zui'xin 变化最新
'biao'da'li'yi'xu'qiu 表达利益需求
'bu'ban'zi 部班子
'bu'duan'fa'zhan 不断发展
'bu'duan'gai'shan 不断改善
'bu'duan'gong'gu 不断巩固
'bu'duan'gui'fan 不断规范
'bu'duan'hui'xiang 不断回响
'bu'duan'ji'ju 不断集聚
'bu'duan'jia'da 不断加大
'bu'duan'jia'qiang 不断加强
'bu'duan'jian'ding 不断坚定
'bu'duan'jian'quan 不断健全
'bu'duan'kai'chuang 不断开创
'bu'duan'kuo'da 不断扩大
'bu'duan'ming'xi 不断明晰
'bu'duan'qing'xi 不断清晰
'bu'duan'shen'hua 不断深化
'bu'duan'shen'ru 不断深入
'bu'duan'ti'gao 不断提高
'bu'duan'ti'sheng 不断提升
'bu'duan'tu'xian 不断凸显
'bu'duan'tui'dong 不断推动
'bu'duan'wan'shan 不断完善
'bu'duan'yong'xian 不断涌现
'bu'duan'you'hua 不断优化
'bu'duan'zeng'jin 不断增进
'bu'duan'zeng'qiang 不断增强
'bu'duan'zhang'xian 不断彰显
'bu'duan'zhuang'da 不断壮大
'bu'fa'jia'kuai 步伐加快
'bu'neng'fang'qi 不能放弃
'bu'neng'xue'ruo 不能削弱
'cai'qu'duo'zhong'xing'shi 采取多种形式
'can'guan'he'diao'cha 参观和调查
'can'zheng'yi'zheng 参政议政
'chang'wu'wei'yuan'hui 常务委员会
'cheng'chu'zhi'ya 撑出枝丫
'cheng'guo'feng'shuo 成果丰硕
'cheng'guo'tu'chu 成果突出
'cheng'guo'zui'feng 成果最丰
'cheng'wei'yang'ban 成为样板
'cheng'xiao'ming'xian 成效明显
'cheng'xiao'tu'chu 成效突出
'cheng'xiao'xian'zhu 成效显著
'cheng'xiao'zui'you 成效最优
'chi'xu'fa'zhan 持续发展
'chi'xu'fan'rong 持续繁荣
'chi'xu'fang'da 持续放大
'chi'xu'gai'shan 持续改善
'chi'xu'jia'da 持续加大
'chi'xu'jia'qiang 持续加强
'chi'xu'shen'hua 持续深化
'chi'xu'shi'fang 持续释放
'chi'xu'ti'sheng 持续提升
'chi'xu'wan'shan 持续完善
'chi'xu'xia'jiang 持续下降
'chi'xu'xiang'hao 持续向好
'chi'xu'you'hua 持续优化
'chi'xu'zeng'qiang 持续增强
'chi'xu'zhuang'da 持续壮大
'chong'fen'lv'xing 充分履行
'chu'bu'gou'jian 初步构建
'chu'bu'xing'cheng 初步形成
'chu'jia'seng'ni 出家僧尼
'chu'ju'gui'mo 初具规模
'chu'li'wen'ti 处理问题
'chu'zhan'gao'jie 初战告捷
'chuang'xin'tui'jin 创新推进
'ci'ai'he'tong 慈爱和同
'ci'di'zhan'kai 次第展开
'cong'ruo'dao'qiang 从弱到强
'cong'xiao'dao'da 从小到大
'cong'you'dao'you 从有到优
'cong'zheng'ti'shang'li'jie'he'ba'wo 从整体上理解和把握
