'a'mu'zhong'tao'yun'hai'ji 阿母种桃云海际
'ai'ai'fu'yun'fei 蔼蔼浮云飞
'ai'ai'zhao'yun'sheng 霭霭朝云生
'ai'dian'hun 哀垫昏
'ai'ye'lv'hua'shui'jian'ke 艾叶绿花谁翦刻
'ai'zhi'yu'qi'sheng'you'si 爱之欲其生又死
'an'de'ru'niao'you'yu'chi 安得如鸟有羽翅
'an'de'yi'tian'jian 安得倚天剑
'an'gu'yi'feng'yu 暗谷疑风雨
'an'ru'bai'yun'xiang 暗入白云乡
'ao'bu'ke'hui 骜不可回
'ao'shuang'bao 傲霜雹
'ba'ling'yu'fu'zhao'ge'lian 巴陵渔父棹歌连
'ba'shan'shang'xia'chong'fu'zhong 巴山上峡重复重
'bai'bo'lian'shan'dao'peng'hu 白波连山倒蓬壶
'bai'chi'jin'ti'yi'yin'han 百尺金梯倚银汉
'bai'gu'ma'ti'xia 白骨马蹄下
'bai'guan'dai'lou'shuang'que'qian 百官待漏双阙前
'bai'liang'tong'que'sheng'huang'chen 柏梁铜雀生黄尘
'bai'ma'hao'ming'xiang'tian'bei 败马号鸣向天悲
'bai'man'po'dan 百蛮破胆
'bai'nian'san'wan'liu'qian'ri 百年三万六千日
'bai'pi'bai'qi'shou 百辟拜稽首
'bai'ri'dang'tian'xin 白日当天心
'bai'ri'jiu'chao'huo'wan'ji 白日啾嘲祸万机
'bai'zhi'ting'han'li'lu'si 白芷汀寒立鹭鸶
'bang'ren'jie'wen'xiao'he'shi 傍人借问笑何事
'bao'chai'ming'fu'deng'xia'qi 宝钗命妇灯下起
'bao'nie'hei'dui'yi 苞枿黑对矣
'bao'rong'li'fu'ren'ge 鲍溶李夫人歌
'bei'bei'hai 背北海
'bei'dou'qi'xing'heng'ye'ban 北斗七星横夜半
'bei'luo'ming'xing'dong'guang'cai 北落明星动光彩
'bei'mo'ting 杯莫停
'bei'xi'hai'yi'kua 背西海以夸
'bei'yi'zhuo 卑以斫
'ben'bang'yi'jin 本邦伊晋
'ben'da'lu 奔大麓
'ben'jing'pei 奔鲸沛
'ben'liu'dao'hai'bu'fu'hui 奔流到海不复回
'ben'yu'bo'ying'er 贲育搏婴儿
'bi'cong'cong 碧丛丛
'bi'fang'jin'dian'xiang'ling'long 璧房锦殿相玲珑
'bi'ji'shi'jing'tou 避楫时惊透
'bi'ren'yin'zi'ru'shen'qian 避人引子入深堑
