'a'weng'san'ri'bu'gong'mi 阿翁三日不供糜
'a'xiao'fa'yi'shuang 阿小乏一双
'ai'ai'qi'fang 蔼蔼其芳
'ai'long'hua'bo'xuan'yuan'kai 爱龙画擘玄渊开
'ai'nai'yi'sheng'xi'ting'zhi'xi'yu 欸乃一声兮亭之西隅
'an'de'chang'nian'zai'xiang'tu 安得长年在乡土
'an'de'tian'xia'zhi'li'lian'qie'xun 安得天下之吏廉且循
'an'sui'wu'lin'tong'guan'de'wu'jia'bao 俺虽无临潼关的无价宝
'an'zhi'bei'jun'tan'you'yu'tan'zuo 安知北军袒右与袒左
'ba'ge'yue 八歌曰
'ba'shi'yi'pian'pian'pian'ju'yi'li 八十一篇篇篇具易理
'ba'xian'zhuo'shang 八仙桌上
'ba'yi'ge'xin'dian'long'ye'cheng'you'zun 把一个新殿龙爷称又尊
'bai'fa'can'bing'mai'si'jiu 白发残兵卖私酒
'bai'kui'bai'jia'bai'jing'qi 白盔白甲白旌旗
'bai'men'liu 白门柳
'bai'nian'chou'hao'jie'xu'wu 百年丑好皆虚无
'bai'nian'shui'you'liang'tou'ban 百年谁有两头半
'bai'ran'shi'zhe'dong'nan'xing 白髯使者东南行
'bai'ran'shi'zhe'neng'qi'ma 白髯使者能骑马
'bai'ri'qi'long'sheng'shang'cang 白日骑龙升上苍
'bai'shi'nian'lai'wo'bang'hui 百十年来我邦隳
'bai'wan'xiong'shi'da'guo'qu 百万雄师打过去
'bai'yun'yao'wang'dan'yi'yi 白云遥望但依依
'bai'zhan'wei'pa'gao'lan'ao 百战未怕皋兰鏖
'ban'chuang'bo'dong 板床波动
'ban'he'tiao'geng'yu'xuan'qin 伴鹤调羹语玄勤
'ban'sui'nan'jin'kui'huo'qing 半岁难禁葵藿情
'ban'ye'mei'zhan'dong'hai'ri 半夜每瞻东海日
'ban'yu'hao'zhu'zuo'liang'shi 办与豪猪作粮食
'bao'zhen'yi'xing'mao'ruo'hai 葆真怡性貌若孩
'bei'feng'chui'qian'huai'nan'bo 北风吹浅淮南波
'bei'feng'ri'ri'chui'fu'yun 北风日日吹浮云
'bei'ge'gan'kai'xia'tai'qu 悲歌感慨下台去
'bei'shen'gui'zhi'yao 悲神龟之夭
'bei'wang'zhong'yuan'tian'geng'chang 北望中原天更长
'ben'ti'zhan'xu'jue'xian'chen 本体湛虚绝纤尘
'ben'zou'chuan'su'fen'cang'huang 奔走传诉纷仓皇
'beng'tao'lai'xia 崩涛来下
'bi'cao'nian'nian'zi'chun'se 碧草年年自春色
'bi'chi'ren'zhe'zhong'bei'chi 彼吃人者终被吃
'bi'chi'zhe'zi 彼驰者子
'bi'fa'you'fang'yuan'liu'pai 笔法有方圆流派
'bi'gong'yao'shi'chu'men'qu 臂弓腰矢出门去
'bi'jing'huang'xi'hu'hu 彼惊惶兮忽忽
'bi'nan'fang'zhi'ke'xi 彼南方之客兮
'bi'shang'cong'cong'zuo'yue'qu 壁上淙淙作乐曲
'bi'xian'ti'shi'yi'fang'fei 壁閒题诗亦髣髴
'bi'yan'fang'tong'zhao'yan'gu 碧眼方瞳照岩谷
'bian'ge'lv'pi'ying'xi'ren 变个驴皮影戏人
'biao'feng'ji'xi'sou'cong'lin 飙风激兮搜丛林
'bie'hai'pa 别害怕
'bie'jun'jin'ling'cheng 别君金陵城
'bing'can'tu'si'cheng'wu'se 冰蚕吐丝成五色
'bing'mo'ru'ci'chang'kuang 病魔如此猖狂
'bing'mo'zu'xia 病魔足下
'bo'da'lu'zhi'fu'yu 泊大陆之腹腴
'bo'fang'xin'xi'fei'fei 播芳馨兮菲菲
'bo'tao'si'shi'li 波涛四十里
'bo'yuan'yu'zhi'yun'xi 拨远宇之云兮
'bo'zi'bei'ren'qie'duan 脖子被人切断
'bu'an'jiu'li'ba'yang'zi'fan 不按旧例把样子翻
'bu'ceng'zhi'he'gu'tuan'tuan'zhuan 不曾知何故团团转
'bu'cheng'ge'ti'tong'zhen'shi'wai'chan 不成个体统真是歪缠
'bu'dao'ge'sheng'shou'ye'mei'shang'guo'qian 不道个生受也没赏过钱
'bu'du'feng'sha'ye'ke'you 不独风沙夜可忧
'bu'fan'neng'di'chang'kuang'feng 布帆能敌昌狂风
'bu'guang'shi'xu'chang'mu'deng'cheng'meng'jiang 不光是徐常沐邓称猛将
'bu'guo'zheng'ze'wang'nan'ban 不过正则枉难办
'bu'jian'chang'an'xu'dao'ning 不见长安许道宁
'bu'jian'zhe'ban'shang'diao 不见这般上吊
'bu'jian'zhi'chi'wo'nu'guo 不见咫尺倭奴国
'bu'jiao'ta'chang'bian'sheng'dan'bu'xia'tai 不教他唱遍生旦不下台
'bu'jue'shen'zai'wu'man'guan 不觉身在乌蛮馆
'bu'ke'fan 不可返
'bu'ke'pan 不可攀
'bu'li'bu'zhi'bu'xin'ren 不礼不智不信人
'bu'neng'cang'de'man'mian'xia 不能藏得满面霞
'bu'qi'yu'ni'zhi'di 不弃淤泥之地
'bu'ren'zhi'ren'yue'ke'sha 不仁之人曰可杀
'bu'ru'chang'xiang'kong'bi'zhu 不如长向空壁住
'bu'ru'pao'jia'qu'zuo'wan'chuan'shi 不如抛家去作挽船士
'bu'shi'wu'xin'ren 不是无心人
'bu'si'pei'zhong'lv'shi'nv 不似沛中吕氏女
'bu'si'qu'zhu'si'cheng'qu 不似驱猪似称屈
'bu'si'tui'xiu'xian'qie'you 不似退休闲且幽
'bu'wen'ming'ren'wen'gu'gua 不问明人问瞽卦
'bu'xiao'shuo'zhang'zi'wu'wang'shi'sheng'zhu 不消说长子武王是圣主
'bu'xiao'zhi'ren'yue'ke'sha 不孝之人曰可杀
'bu'yi'zhi'ren'yue'ke'sha 不义之人曰可杀
'bu'zhong'zhi'ren'yue'ke'sha 不忠之人曰可杀
'bu'zhuan'yan'ze'tian'dai'le'chong'tian'mao 不转眼则天戴了冲天帽
'cai'ran'chun'shan'bo'yang'lv 裁染春山波漾绿
'can'bai'lu'yu'xia'ying 餐白露与霞英
'can'long'yu'he'yi'rong'rong 骖龙驭鹤意融融
'can'wu'huai'xi'zu'wu'cheng 惨吾怀兮阻吾程
'can'yi'shi'dou 餐以十斗
'cang'gong'peng'quan'tai'ji'po 藏弓烹犬太急迫
'cang'lang'xi'zhuo'ying 沧浪兮濯缨
'cang'tai'yu'yu'long'shi'cu 苍苔郁郁笼石簇
'cao'an'jia'kong'xun'zhang'gao 草庵架空寻丈高
'cao'cao'dang'nian'xiang'han'shi 曹操当年相汉时
'cao'jian'pei'lou'an'zu'xiong 草间培塿安足雄
'cao'mei'shi'lang'qin'shou'zhai 草莓是郎亲手摘
'ceng'mo'zhi'ying 曾莫之迎
'cha'e'yun'xi'chu'bei'jie 诧遏云兮矗碑碣
'chai'lan'pu'xi'zhao'fu'qu 茝兰圃兮沼芙蕖
'chan'chan'ji'ci'wei'tan'chi 潺潺集此为潭池
'chang'an'mi'gui'bu'yi'chu 长安米贵不易处
'chang'feng'sha 长风沙
'chang'gui'xi'fu'sang 长跪兮扶桑
'chang'he'jing'li'kai'yan'huan 长河镜里开烟鬟
'chang'jian'bu'an'she 长箭不暗射
'chang'jiang'he'chu'shi'an'liu 长江何处是安流
'chang'jing'jia'lang'xian'tian'bai 长鲸驾浪掀天白
'chang'kong'ming'yue'xiao'ren'chi 长空明月笑人痴
'chang'lai'jiu'di'mi'jiu'ren 常来旧地觅旧人
'chang'sha'wu'ren'wu'jun'wang 长沙无人吴郡亡
'chang'sheng'qian'xi'liang'san'tiao 长绳牵系两三条
'chang'yan'dao'gou'chi'ji'li'bing'zai'hou 常言道狗吃蒺藜病在后
'chang'yan'dao'ming'de'zhi'ren'dang'you'hou 常言道明德之人当有后
'chao'chu'huang'chou'xian'lao'ye 朝出荒畴衔老叶
'chao'sui'gu'sheng'qi 朝随鼓声起
'chao'wei'yun'yu'mu'wei'lan 朝为云雨暮为岚
'chao'yu'shen'zhi'duan'xiao 嘲余身之短小
'che'lu'lu 车辘辘
'che'zhong'xiao'fu'ting'ming'bian 车中小妇听鸣鞭
'chen'ba'xian'yin'mou'ruo'zhu'cuan'le'wei 陈霸先阴谋弱主篡了位
'chen'qiao'bing'bian'dao'de'shi'chan'le'wei 陈桥兵变道的是禅了位
'chen'tu'nan'fen'zhen'mian'mu 尘土难分真面目
'chen'zi'long'xiao'che'hang 陈子龙小车行
'cheng'du'hua'fa'jiang'shui'chun 成都花发江水春
'cheng'he'chang 城何长
'cheng'shang'zhong'mai 城上种麦
'cheng'wo'qi'ji 骋我骐骥
'cheng'xia'zhong'sang 城下种桑
'cheng'xiang'wu'yue'ru'bu'mao 丞相五月入不毛
'cheng'zhong'ji'xi'lie'bai'qiu 呈众伎兮列百酋
'chi'bi'ao'bing'ba'bi'er'kang 赤壁鏖兵把鼻儿扛
'chi'jin'chi'jin'zheng'bian 齿斤齿斤争辩
'chi'mian'zhu'dan'sha 赤面注丹砂
'chi'tiao'tiao'de'lu'shan'xue'da'wa'wa 赤条条的禄山学打哇哇
'chi'you'da'miao'song'tian'ji 蚩尤大庙耸天极
'chou'duo'wu'ji'xun'pai'qian 愁多无计寻排遣
'chou'ming'yi'pi 臭名遗屁
