'a'shui'fu'shang'ma 阿谁扶上马
'ai'ai'bei'su'si 哀哀悲素丝
'ai'ai'chang'ming 哀哀长鸣
'ai'ai'ge'ku'han 哀哀歌苦寒
'ai'ai'lei'ru'yu 哀哀泪如雨
'ai'ci'chun'guang'fa 爱此春光发
'ai'ci'cong'ming'sou 爱此从冥搜
'ai'ci'han'quan'qing 爱此寒泉清
'ai'ci'hao'e'bin 爱此好鹅宾
'ai'ci'he'hua'xian 爱此荷花鲜
'ai'ci'ru'gan'tang 爱此如甘棠
'ai'ci'xi'shui'xian 爱此溪水闲
'ai'ci'zan'chi'chu 爱此暂踟蹰
'ai'ge'dai'ming'fa 哀歌逮明发
'ai'hong'suan'si'mu'sheng'ji 哀鸿酸嘶暮声急
'ai'jiu'bu'kui'tian 爱酒不愧天
'ai'jun'fu'rong'chan'juan'zhi'yan'se 爱君芙蓉婵娟之艳色
'ai'jun'shan'yue'xin'bu'yi 爱君山岳心不移
'ai'ke'duo'feng'ying 爱客多逢迎
'ai'ming'can'bu'zhou 哀鸣惭不周
'ai'ming'jing'jiao'lei'zhan'yi 哀鸣惊叫泪沾衣
'ai'ming'jiu'tian'wen 哀鸣九天闻
'ai'shen'xian 爱神仙
'ai'sheng'na'ke'wen 哀声那可闻
'ai'ting'song'feng'qie'gao'wo 爱听松风且高卧
'ai'yuan'qi'sao'ren 哀怨起骚人
'ai'zai'bei'fu 哀哉悲夫
'ai'zai'nan'zhong'chen 哀哉难重陈
'ai'zai'xin'ke'lian 哀哉信可怜
'ai'zhu'xiao'ming'yuan 爱竹啸名园
'ai'zi'ge'dong'lu 爱子隔东鲁
'ai'zi'lin'feng'chui'yu'di 爱子临风吹玉笛
'an'de'bu'jin'shang 安得不尽觞
'an'de'bu'si'yao 安得不死药
'an'de'chang'cui'cuo 安得长璀错
'an'de'huang'he'yu 安得黄鹤羽
'an'de'jiu'shi'jian 安得久世间
'an'de'ku'chou'si 安得苦愁思
'an'de'meng'shi'xi'shou'si'fang 安得猛士兮守四方
'an'de'nian'chun'gui 安得念春闺
'an'de'nong'yun'yue 安得弄云月
'an'de'pei'jun'zi 安得配君子
'an'de'qin'ji'le 安得秦吉了
'an'de'sheng'yu'mao 安得生羽毛
'an'de'wu'cai'hong 安得五彩虹
'an'de'xian'yu'bu 安得闲余步
'an'de'xiang'ru'cao 安得相如草
'an'de'yi'shan'she 安得羿善射
'an'de'yi'tian'jian 安得倚天剑
'an'de'ying'nong'pu 安得营农圃
'an'de'ying'zhong'zhi 安得郢中质
'an'de'zhan'ku'san 安得沾枯散
'an'die'chun'shan'se 岸叠春山色
'an'hui'sha'bu'jin 岸回沙不尽
'an'jia'tao'hua'jin'lang'sheng 岸夹桃花锦浪生
'an'jian'ci'shu'lao 安见此树老
'an'jian'kong'xiang'ju 按剑恐相拒
'an'jian'qing'ba'ji 按剑清八极
'an'jian'xin'fei'yang 按剑心飞扬
'an'ju'ou'jia'shang 安居偶佳赏
'an'ke'bu'jin'bei 安可不尽杯
'an'ke'shi'mei'sheng 安可识梅生
'an'ke'yu'cheng'gong 安可与成功
'an'ling'gai'fu'zi 安陵盖夫子
'an'lu'bai'zhao'shan'tao'hua'yan'ji'liu'shi'yu'wan 安陆白兆山桃花岩寄刘侍御绾
'an'ma'jie'bi'yi 鞍马皆辟易
'an'ma'ru'fei'long 鞍马如飞龙
'an'ma'ruo'fu'yun 鞍马若浮云
'an'ma'si'bian'kai 鞍马四边开
'an'ma'yue'qiao'nan 鞍马月桥南
'an'neng'cui'mei'zhe'yao'shi'quan'gui 安能摧眉折腰事权贵
'an'neng'lian'jin'que 安能恋金阙
'an'neng'wei'xuan'yuan 安能为轩辕
'an'qi'ru'peng'hai 安期入蓬海
'an'qu'jiu'chuan'yao 岸去酒船遥
'an'qu'mi'hou'pu 岸曲迷后浦
'an'shang'shui'jia'you'ye'lang 岸上谁家游冶郎
'an'shi'dong'shan'san'shi'chun 安石东山三十春
'an'shi'fan'ming'bo 安石泛溟渤
'an'shi'shen'you'wu 安识身有无
'an'shi'zai'dong'shan 安石在东山
'an'shi'zi'fang'xian 安识子房贤
'an'shi'zi'xia'ke 安识紫霞客
'an'sun'kai'xin'tuo 岸笋开新箨
'an'xi'mu'fu'duo'cai'xiong 安西幕府多才雄
'an'xu'gu'ren'shen 暗许故人深
'an'ying'song'se'han 岸映松色寒
'an'yu'shan'seng'bie 闇与山僧别
'an'zhi'mu'qun'ke 安知慕群客
'an'zhi'nan'shan'gui 安知南山桂
'an'zhi'shi'shang'ren 安知世上人
'an'zhi'tian'han'shang 安知天汉上
'an'zhou'ying'cheng'yu'nv'tang'zuo 安州应城玉女汤作
'ang'cang'chu'feng'chen 昂藏出风尘
'ang'cang'nan'shan'ce 昂藏南山侧
'ang'cang'ru'jun'men 昂藏入君门
'ang'zang'bu'neng'jiu'gui'zu 肮脏不能就珪组
'ang'zang'ci'gu'yuan 肮脏辞故园
'ang'zang'zai'feng'chen 肮脏在风尘
'ao'ao'kong'cheng'que 嗷嗷空城雀
'ao'ao'qi'qi 嗷嗷凄凄
'ao'bei'du'fang'peng 鳌背睹方蓬
'ao'bian'shan'hai'qing 鳌抃山海倾
'ao'er'ling'zi'shen 傲尔令自哂
'ao'ran'kua'qiu'shui 傲然夸秋水
'ao'ran'sui'du'wang 傲然遂独往
'ao'ran'xie'ji'chu'feng'chen 傲然携妓出风尘
'ao'xiang'hai'kun'qiu 翱翔还昆丘
'ao'xiang'ming'su'qiu 翱翔鸣素秋
'ao'xiang'zai'zhen'mu 翱翔在珍木
'ao'xiang'zi'yun'ni 翱翔紫云霓
'ao'you'lang'feng'ting 遨游阆风亭
'ao'you'qing'tian'zhong 遨游青天中
'ao'you'sheng'wan'luo 遨游盛宛洛
'ba'bi'jun'wei'shui 把臂君为谁
'ba'chuan'qu'ruo'fei 巴船去若飞
'ba'ci'yin'pan'yu'fei'qu 跋刺银盘欲飞去
'ba'gong'xie'shou'wu'yun'qu 八公携手五云去
'ba'guo'jin'suo'li 巴国尽所历
'ba'huang'chi'jing'biao 八荒驰惊飚
'ba'ji'zi'you'qi 八极恣游憩
'ba'ji'zong'yuan'duo 八极纵远舵
'ba'jian'ji'qian'zhu 拔剑击前柱
'ba'jian'si'gu'xin'mang'ran 拔剑四顾心茫然
