'bao'chi'shui'tu 保持水土
'bao'cun'lv 保存率
'bao'hu'lin'quan'suo'you'zhe'he'fa'quan'yi 保护林权所有者合法权益
'bao'hu'nong'tian 保护农田
'bao'hua'ban 刨花板
'bei'feng'sha'bao'tun'shi 被风沙暴吞食
'bei'mi'lin'huan'rao 被密林环绕
'cai'fa'huo'dong 采伐活动
'cai'fa'ji'di 采伐迹地
'cai'fa'li'yong'guan'li 采伐利用管理
'cai'fa'lin'mu 采伐林木
'cai'fa'shi'jian 采伐时间
'cai'fa'xian'e 采伐限额
'cai'fa'xu'ke'zheng 采伐许可证
'cai'fa'zheng 采伐证
'cao'yuan'bian'shao 草原变少
'ce'zhi 侧枝
'cha'yuan 茶园
'chan'cao'pi'shao'huo 铲草皮烧火
'chang'yuan'de'lv'hua'ji'hua 长远的绿化计划
'chen'tu'zhe'tian 尘土遮天
'cheng'huo'lv 成活率
'chu'cai'lv 出材率
'ci'sheng'lin 次生林
'da'dao'lv'hua'biao'zhun 达到绿化标准
'da'gui'mo'zhi'shu'yun'dong 大规模植树运动
'da'pian'sen'lin 大片森林
'dai'pi'cai'ji 带皮材积
'dao'mu 倒木
'deng'ji'zao'ce 登记造册
'deng'xiao'ping'fa'qi'de'zhi'shu'huo'dong 邓小平发起的植树活动
'di'jing 地径
'ding'xiang'pei'yu 定向培育
'er'lei'diao'cha 二类调查
'er'yuan'cai'ji'biao 二元材积表
'er'yuan'li'mu'cai'ji'biao 二元立木材积表
'fa'qu 伐区
'fa'zhan'lin'ye 发展林业
'fang'feng'gu'sha 防风固沙
'fang'feng'gu'sha'lin 防风固沙林
'fang'hu'lin 防护林
'fang'huo'qi 防火期
'fang'zhi'feng'sha 防止风沙
'fang'zhi'huo'gen'chu'bing'chong'hai 防止或根除病虫害
'fang'zhi'sha'hua 防止沙化
'fang'zhi'shui'tu'liu'shi 防止水土流失
'fei'bo'zao'lin 飞播造林
'fen'zhi 分枝
'feng'shan'yu'lin 封山育林
'fu'yu'you'miao 抚育幼苗
'gai'shan'huan'jing 改善环境
'gai'shan'qi'hou 改善气候
'gan'han'de'qi'hou 干旱的气候
'gan'lan'shu 橄榄树
'gan'xing 干形
'gao'chan'cao 高产草
'gao'chan'su'cheng'lin 高产速成林
'ge'li'dai 隔离带
'gen'jing 根茎
'gong'cheng'zao'lin 工程造林
'gong'ye'yuan'liao'lin 工业原料林
'guan'li'bu'shan 管理不善
'guan'mu'lin 灌木林
'guan'xing 冠形
'guo'fen'fang'mu 过分放牧
'guo'jia'lin'ye'ju 国家林业局
'guo'jia'lin'ye'ju'ju'zhang 国家林业局局长
'guo'jia'lv'hua'wei'yuan'hui 国家绿化委员会
'guo'jia'suo'you'de'zhong'dian'lin'qu 国家所有的重点林区
'guo'jia'zhong'dian'bao'hu'ye'sheng'dong'wu'ming'lu 国家重点保护野生动物名录
'guo'jia'zhong'dian'bao'hu'ye'sheng'zhi'wu'ming'lu 国家重点保护野生植物名录
'guo'liang'kan'fa 过量砍伐
'guo'wu'yuan'lin'ye'xing'zheng'zhu'guan'bu'men 国务院林业行政主管部门
'guo'ying'lin'chang 国营林场
'guo'you'lin'qu 国有林区
'guo'you'lin'ye'dan'wei 国有林业单位
'hai'fang'lin 海防林
'han'yang'shui'yuan 涵养水源
'hang'ju 行距
'he'liu'gan'he 河流干涸
'hu'lin 护林
'huan'jing'e'hua 环境恶化
'hui'lin'kai'huang 毁林开荒
'hun'jiao'lin 混交林
'huo'li'mu 活立木
'ji'ti'lin'chang 集体林场
'jia'qiang'sen'lin'guan'li 加强森林管理
'jia'su'sen'lin'cheng'zhang 加速森林成长
'jiang'di'tu'rang'bao'shang 降低土壤保墒
'jiao'he'ban 胶合板
'jin'fa'lin 禁伐林
'jing'hua'kong'qi 净化空气
'jing'ji'cai 经济材
'jing'ji'lin 经济林
'jing'ji'xiao'yi 经济效益
'kai'ken 开垦
'ke'chi'xu'fa'zhan 可持续发展
'ku'li'mu 枯立木
'kuo'ye'lin 阔叶林
'li'di'lei'xing 立地类型
'li'di'tiao'jian 立地条件
'li'fang'mi 立方米
'li'mu 立木
'li'mu'cai'ji 立木材积
'li'mu'cai'ji'biao 立木材积表
'liang'an'zhi'shu 两岸植树
'lin'chang 林场
'lin'di 林地
'lin'di'quan'shu 林地权属
'lin'di'shi'yong'quan 林地使用权
'lin'di'suo'you'quan 林地所有权
'lin'fen 林分
