'a 阿
'a'gao 阿缟
'a'si'tuo'na'chu'tu'jiao'xie'juan 阿斯托那出土绞缬绢
'ai'de'li'si'chou 爱德利斯绸
'ba'bai 拔白
'ba'bao'yun'wen'jin 八宝云纹锦
'ba'da'yun 八搭晕
'ba'da'yun 八答晕
'ba'hua'yun 八花晕
'ba'ji'xiang'jin 八吉祥锦
'ba'ji'xiang'shou'zi'zhi'jin'duan 八吉祥寿字织金缎
'ba'ran'yin'hua 拔染印花
'ba'suo'ling 八梭绫
'ba'xian'zhu'shou'tu'ke'si 八仙祝寿图缂丝
'ba'zong'bu 八緵布
'bai'de'shou'lie'wen'jin 白地狩猎纹锦
'bai'die 白叠
'bai'he'shan'chou 拜合衫绸
'bai'yun'mu 白云母
'ban'bu 斑布
'ban'jin'ban'shai'piao'bai'fa 半浸半晒漂白法
'bao'shi 暴室
'bao'xiang'hua'zhang'duan'fang'fu 宝相花漳缎方袱
'bao'zhao'da'hua'jin 宝照大花锦
'bao'zhao'zhong'hua'jin 宝照中花锦
'bei'chao'fang'ge'wen'mao'zhi'pin 北朝方格纹毛织品
'bei'chao'mian'bu 北朝棉布
'bei'hua'chou 蓓花绸
'bei'jin 贝锦
'bei'mian 被面
'bei'wen 杯纹
'bi'tan 壁毯
'bi'yi 壁衣
'bian'jin'xian 扁金线
'biao'hua'ling 裱画绫
'bing'can'jin 冰蚕锦
'bing'mei'wen'jia'jin'jin 冰梅纹加金锦
'bing'ran'ran'liao 冰染染料
'bing'wan 冰纨
'bo 帛
'bo'die 帛叠
'bo'die 帛氎
'bo'duo'zhi 博多织
'bo'li'bu 玻璃布
'bo'wen'kong'que'wen'jin 波纹孔雀纹锦
'bu 布
'bu'bo 布帛
'bu'yi'jin 布依锦
'cai'tiao'dong'wu'wen'jin 彩条动物纹锦
'cai'tiao'xie'wen'jing'jin 彩条斜纹经锦
'cai'zhan 彩毡
'cang'bei 藏被
'cao'ran 草染
'cha'se'di'hua'shu'dui'yang'jin 茶色地花树对羊锦
'chan 蝉
'chan'sha 蝉纱
'chan'zhi'fu'rong'hua'ling 缠枝芙蓉花绫
'chan'zhi'hua'hui'wen'zhi'jin'duan 缠枝花卉纹织金缎
'chan'zhi'hua'yin'hua'bu 缠枝花印花布
'chan'zhi'lian'wen'jin 缠枝莲纹锦
'chan'zhi'lian'zhuang'hua'rong'duan 缠枝莲妆花绒缎
'chan'zhi'mu'dan'wen'jin'jin 缠枝牡丹纹金锦
