'a'li'shan'long'dan 阿里山龙胆
'a'xiu'luo'cheng 阿修罗城
'ai'qian'niu 矮牵牛
'ai'ying 矮樱
'ai'zhi'man 爱之蔓
'an'zi'cui'shuo'bao'chun 暗紫脆蒴报春
'an'zu'hua 安祖花
'ba'bao 八宝
'ba'dou 巴豆
'ba'jiao'hui'xiang 八角茴香
'ba'jiao'jin'pan 八角金盘
'ba'wang'bian 霸王鞭
'bai'fo'jia 白佛甲
'bai'he 百合
'bai'he'yu 白鹤芋
'bai'hua'huo'xiang'ji 白花藿香蓟
'bai'hua'she'she'cao 白花蛇舌草
'bai'ji 白芨
'bai'jiang'cao 败酱草
'bai'lei'hu'wei'lan 白肋虎尾兰
'bai'ma'cheng 白马城
'bai'ma'yi'hua 白蚂蚁花
'bai'mai'gen 百脉根
'bai'mao'du'juan 白毛杜鹃
'bai'mu'da'lan'yan'cao 百慕达蓝眼草
'bai'pu'ti 白菩提
'bai'qu'cai 白屈菜
'bai'ri'cao 百日草
'bai'tan 白檀
'bai'tou'weng 白头翁
'bai'wang'wen'cao 白网纹草
'bai'wen'zhu'yu 白纹竹芋
'bai'xin'qiu'hua'bao'chun 白心秋花报春
'bai'xue'ji 白雪姬
'bai'ying 白英
'bai'yu'lan 白玉兰
'bai'zi'lian 百子莲
'ban'bian'lian 半边莲
'ban'chun'ma'xian'hao 斑唇马先蒿
'ban'dian'hu'er'cao 斑点虎耳草
'ban'dian'tuo'wu 斑点橐吾
'ban'li 板栗
'ban'ma'luo'mo 斑马萝摩
'ban'ye'chun'zhu'ju'tai 斑叶唇柱苣苔
'ban'ye'feng'li 斑叶凤梨
'ban'ye'ma'zui'mu 斑叶马醉木
'ban'zhi'lian 半支莲
'bang'chui'shu 棒棰树
'bang'ye'hu'wei'lan 棒叶虎尾兰
'bang'ye'hua 棒叶花
'bang'ye'luo'di'sheng'gen 棒叶落地生根
'bao'chun'hua 报春花
'bao'lian'hua 宝莲花
'bao'lv 宝绿
'bao'ye'xue'lian 苞叶雪莲
'bei'xi'xin 北细辛
'bi'tao 碧桃
'bi'tong'cao 笔筒草
'bian'dou 扁豆
'bian'xu 扁蓄
'bian'ye'mu 变叶木
'bin'xuan'hua 滨旋花
'bo'he 薄荷
'bo'luo 菠萝
'bo're 般若
'bo'si'ju 波斯菊
'bu'gu'zhi 补骨脂
'bu'wen'qiu 布纹球
'cai'bao'feng'li 彩苞凤梨
'cai'hong'zhu'yu 彩虹竹芋
'cai'se'ma'ti'lian 彩色马蹄莲
'cai'ye'cao 彩叶草
'cai'yun'qiu 彩云球
'cang'bo'luo'hua 藏波罗花
'cang'er'zi 苍耳子
'cang'shan'hu'er'cao 苍山虎耳草
'cang'xuan'shen 藏玄参
'cao'dian'ma'xian'hao 草甸马先蒿
'cao'mei'guo 草莓果
'cao'yu'mei 草玉梅
'ce'hua'diao'zhong'liu 侧花钓钟柳
'chang'ban'rui'xiang 长瓣瑞香
'chang'bian'hong'jing'tian 长鞭红景天
'chang'bing'yan'huang'qi 长柄岩黄芪
'chang'chun'hua 长春花
'chang'du'dian'di'mei 昌都点地梅
'chang'geng'liao 长梗蓼
'chang'lie'wu'tou 长裂乌头
'chang'qing'teng 常青藤
'chang'rui'wan'shou'zhu 长蕊万寿竹
'chang'shou'hua 长寿花
'chang'tong'shi'suan 长筒石蒜
'chang'wei'po'po'na 长尾婆婆纳
'chang'xing'tian'nan'xing 长行天南星
'chao'jue 巢蕨
'che'qian'cao 车前草
'chen'xiang 沉香
'cheng'chui'shu 秤锤树
'cheng'huang'bang'ye'hua 橙黄棒叶花
'chi'shi'ren'dong 齿时忍冬
'chi'ye'ren'dong 齿叶忍冬
'chou'cao 臭草
'chou'dang'shen 臭党参
'chou'jue'hua 丑角花
'chou'mu'dan 臭牡丹
'chu'ju 雏菊
'chu'shi'zi 楮实子
'chuan'dian'biao'lan 川滇杓兰
'chuan'dian'qiang'wei 川滇蔷薇
'chuan'lian'zi 川楝子
'chuan'xin'lian 穿心莲
'chuan'xin'ting'zi'biao 穿心莛子藨
'chuan'zang'sha'shen 川藏沙参
'chui'hong'ren'dong 垂红忍冬
'chui'pen'cao 垂盆草
'chui'shang 吹上
'chui'xuan'da'ji 垂悬大戟
'chun'feng'jin 春峰锦
'ci'peng'hua 刺蓬花
'cu'mao'rou'guo'cao 粗毛肉果草
'cu'mao'shu'teng 粗毛薯藤
'cui'ju 翠菊
'cui'que 翠雀
'cui'yun'cao 翠云草
'da'bai'he 大百合
'da'cao'kou 大草寇
'da'chan 大缠
'da'e'lan'zhong'hua 大萼蓝钟花
'da'he'jin 大和锦
'da'hua'cong 大花葱
'da'hua'fu'rong'kui 大花芙蓉葵
'da'hua'huang'mu'dan 大花黄牡丹
'da'hua'hui'lan 大花蕙兰
'da'hua'jian'qiu'luo 大花剪秋罗
'da'hua'lao'he'cao 大花老鹤草
'da'hua'lei'zhu'hua 大花肋柱花
'da'hua'man'long'dan 大花蔓龙胆
'da'hua'man'tuo'luo 大花曼陀罗
'da'hua'xi'jiao 大花犀角
'da'hua'yan'ling'cao 大花延龄草
'da'huo'cao 打火草
'da'ji'ge'jin 大戟阁锦
'da'li'hua 大理花
'da'li'ju 大丽菊
'da'liu'ban'lan 大瘤瓣兰
'da'lun'zhu 大轮柱
'da'po'wan'hua'hua 打破碗花花
'da'wang'dai'fen'ye 大王黛粉叶
'da'xiang'ya'can 大象牙参
'da'yan'tong 大岩桐
'da'ye'huang'yang 大叶黄杨
'da'ye'sui'mi'qiao 大叶碎米荞
'da'zao 大枣
'dai'dai'hua'zhi 代代花枳
'dai'ye'dou'lan 带叶兜兰
'dan'zhu'ye 淡竹叶
'dao'gua'jin'zhong 倒挂金钟
'deng'long'hua 灯笼花
'di'fu'zi 地肤子
'di'guan 帝冠
'di'jiao 地椒
'di'jin'cao 地锦草
'di'nian 地念
'di'shui'guan'yin 滴水观音
'di'yong'jin'lian 地涌金莲
'dian'zhuang'dian'di'mei 垫状点地梅
'diao'lan 吊兰
'ding'xiang 丁香
'dong'fang'ying'su 东方罂粟
'dong'gua'pi 冬瓜皮
'dong'ling'ba'xian'hua 东陵八仙花
'dou'ban'lv 豆瓣绿
'du'juan 杜鹃
'du'suan'lan 独蒜兰
'du'yi'wei 独一味
'duan'geng'chong'lou 短梗重楼
'duan'ye'hu'wei'lan 短叶虎尾兰
'duo'ci'lv'rong'hao 多刺绿融蒿
'duo'hua'bao'chun 多花报春
'duo'hua'kong'que'kui 多花孔雀葵
'duo'hua'ya'ju 多花亚菊
'duo'rui'jin'si'tao 多蕊金丝桃
'e'mao'yu'feng'lan 鹅毛玉凤兰
'e'mei'qiang'wei 峨嵋蔷薇
'e'zhang'chai 鹅掌柴
'e'zhang'jiu 鹅掌揪
'er'ye'du'suan'lan 二叶独蒜兰
'fa'cai'shu 发财树
'fan'bai'cao 翻白草
'fan'hong'hua 番红花
'fan'qu'jing'tian 反曲景天
'fan'xing'hua 繁星花
'fang'jing'qing'zi'ge 方茎青紫葛
'fei'cai 费菜
'fei'cui'jing'tian 翡翠景天
'fei'cui'zhu 翡翠珠
'fei'mu'dan 绯牡丹
'fei'zhou'ba'wang'shu 非洲霸王树
'fei'zhou'ba'wang'shu'zhui'hua 非洲霸王树缀化
'fei'zhou'feng'xian'hua 非洲凤仙花
'fei'zhou'zi'luo'lan 非洲紫罗兰
'fen'bei'ye'ding'xiang 粉背野丁香
'fen'teng 粉藤
'feng'che 风车
'feng'che'cao 风车草
'feng'wei'lan 凤尾兰
'fo'du'shu 佛肚树
'fo'jia'cao 佛甲草
'fu'guan'dang'shen 辐冠党参
'fu'lang'hua 扶郎花
'fu'pen'zi 覆盆子
'fu'yu'dian'ding'xiang 馥郁滇丁香
'gan'ju 柑橘
'gan'su'ji'dou 甘肃棘豆
'gan'su'jia'mi 甘肃荚迷
'gan'sui 甘遂
'gan'xi'shu'wei'cao 甘西鼠尾草
'gang'ban'gui 杠板归
'gao'shan'bai'zhu'shu 高山白珠树
'gao'wen'ying'zhao 高文鹰爪
'gong'deng'chang'shou'hua 宫灯长寿花
'gong'tong 珙桐
'gong'xing'xiu'xian'ju 拱形绣线菊
'gou'gu 构骨
'gou'ju 枸桔
'gou'wei'hong 狗尾红
'gu'dai'xi 古代稀
'gu'po'yu 姑婆芋
