'a'dou'de'jiang'shan'bai'song 阿斗的江山白送
'a'dou'shi'de'ren'wu'mei'neng'nai 阿斗式的人物没能耐
'a'er'chui'sheng'lan'yu'chong'shu 阿二吹笙滥竽充数
'a'er'dang'lang'zhong'zhong'yi'yi'sheng'mei'ren'gan'qing 阿二当郎中中医医生没人敢请
'a'er'man'jie'chuan'diao'er'lang'dang 阿二满街串吊儿郎当
'a'ge'chi'mian'xia'zhua 阿哥吃面瞎抓
'a'po'liu'hu'zi'fan'chang 阿婆留胡子反常
'a'qing'sao'dao'cha'di'shui'bu'lou'dian'di'bu'lou 阿庆嫂倒茶滴水不漏点滴不漏
'ai'bian'zi'bu'ai'gun'zi'chi'ruan'bu'chi'ying 挨鞭子不挨棍子吃软不吃硬
'ai'da'de'gou'qu'yao'ji'na'bie'ren'chu'qi 挨打的狗去咬鸡拿别人出气
'ai'da'de'wu'gui'suo'bo'zi'la 挨打的乌龟缩脖子啦
'ai'da'guan'si'cheng'ying'xiong'qiong'dou'qi 爱打官司逞英雄穷斗气
'ai'dao'de'ya'zi'luan'cuan 挨刀的鸭子乱窜
'ai'le'ba'zhang'pei'bu'shi'nu'yan'mei'gu 挨了巴掌赔不是奴颜媚骨
'ai'le'bang'de'gou'qi'ji'bai'huai 挨了棒的狗气急败坏
'ai'le'da'di'ya'zi'luan'cuan 挨了打的鸭子乱窜
'ai'le'dao'de'fei'zhu'bu'pa'kai'shui'tang 挨了刀的肥猪不怕开水烫
'ai'le'dao'de'pi'qiu'bie'le 挨了刀的皮球瘪了
'ai'le'shuang'de'gou'wei'ba'cao'nian'le 挨了霜的狗尾巴草蔫了
'ai'ti'zi'shang'gao'fang'da'bu'shang'yan'yan 矮梯子上高房搭不上言檐
'ai'zhe'huo'lu'chi'hai'jiao'la'jiao'li'wai'fa'shao 挨着火炉吃海椒辣椒里外发烧
'ai'zi'chuan'gao'gen'xie'gao'ye'you'xian 矮子穿高跟鞋高也有限
'ai'zi'da'lang'guang'han'bu'shang 矮子打狼光喊不上
'ai'zi'fang'feng'zheng'jie'jie'gao'jie'jie'shang'sheng 矮子放风筝节节高节节上升
'ai'zi'fang'pi'di'sheng'xia'qi 矮子放屁低声下气
'ai'zi'guan'guang'sui'sheng'fu'he 矮子观光随声附和
'ai'zi'guo'he'an'yan'xin 矮子过河安淹心
'ai'zi'pa'lou'ti'ba'bu'de'po'qie'pan'wang 矮子爬楼梯巴不得迫切盼望
'ai'zi'pa'po'bu'bu'gao'sheng'bu'bu'deng'gao 矮子爬坡步步高升步步登高
'ai'zi'qi'da'ma'shang'xia'liang'nan'shang'xia'wei'nan 矮子骑大马上下两难上下为难
'ai'zi'zuo'gao'deng'shang'xia'gou'bu'zhao'shang'xia'wei'nan 矮子坐高凳上下够不着上下为难
'an'ban'ding'men'guan'de'kuan 案板顶门管得宽
'an'ban'shang'de'gan'mian'zhang'guang'gun'yi'tiao 案板上的擀面杖光棍一条
'an'ban'shang'de'rou'ren'ren'zai'ge'sui'ren'zai'ge 案板上的肉任人宰割随人宰割
'an'ban'shang'de'yu'ai'dao'de'huo 案板上的鱼挨刀的货
'an'bie'ren'de'jiao'ma'mai'xie'sheng'ban'ying'tao 按别人的脚码买鞋生搬硬套
'an'di'li'ding'shao'tou'tou'mo'mo 暗地里盯梢偷偷摸摸
'an'di'li'shua'quan'xia'da'yi'zhen 暗地里耍拳瞎打一阵
'an'fang'zhua'yao'zhao'ban 按方抓药照办
'an'ji'tou'zhuo'mi'bai'fei'xin'ji 按鸡头啄米白费心机
'an'niu'tou'he'shui'ban'bu'dao'she'fa'ban 按牛头喝水办不到设法办
'an'shang'kan'ren'ni'shui'jian'si'bu'jiu 岸上看人溺水见死不救
'an'shi'li'chuan'zhen'nan'guo 暗室里穿针难过
'an'tang'li'de'mu'yu'ren'ren'qiao'da 庵堂里的木鱼任人敲打
'an'zhong'shi'ban'zi'nian'er'huai 暗中使绊子蔫儿坏
'ao'jin'le'deng'you'shao'xin'xin 熬尽了灯油烧心芯
'ao'zi'shang'lao'bing'fan'lai'fan'qu 鏊子上烙饼翻来翻去
'ao'zi'shang'lao'bing'hua'tang'le 鏊子上烙冰化汤了
'ba'bai'diao'qian'diao'jing'li'nan'mo'na'yi'diao 八百吊钱掉井里难摸哪一吊
'ba'bai'nian'qian'li'de'qi'gan'lao'guang'gun 八百年前立的旗杆老光棍
'ba'bai'tong'qian'chuan'yi'chuan'bu'cheng'diao'diao 八百铜钱穿一串不成调吊
'ba'bao'fan'shang'sa'hu'jiao'you'tian'yi'wei 八宝饭上撒胡椒又添一味
'ba'bei'zi'de'lao'chen'zhang'shuo'bu'qing 八辈子的老陈帐说不清
'ba'bi'ti'wang'lian'shang'wa'zi'zhao'nan'kan 把鼻涕往脸上袜自找难看
'ba'cao'yin'she'zi'tao'ku'chi'zi'wo'ku'chi 拔草引蛇自讨苦吃自我苦吃
'ba'chang'shang'de'lao'huang'zhong'bai'fa'bai'zhong 靶场上的老黄忠百发百中
'ba'cong'zhong'hai'jiao'yi'cha'bi'yi'cha'la 拔葱种海椒一茬比一茬辣
'ba'cun'jiao'chuan'qi'cun'xie'bie'bie'niu'niu 八寸脚穿七寸鞋别别扭扭
'ba'dou'de'xiao'chui'gang'zhuang'bu'xia'yi'dan 八斗的小垂缸装不下一石
'ba'ge'lao'han'hua'quan'san'ling'wu'shen'shen 八个老汉划拳三令五申伸
'ba'ge'qian'de'gao'yao'zhan'shang'le 八个钱的膏药沾上了
'ba'ge'qian'mai'wan'hun'tun'mei'you'mian 八个钱买碗馄饨没有面
'ba'ge'wai'bo'zuo'yi'zhuo'shui'ye'bu'zheng'yan'kan'shui 八个歪脖坐一桌谁也不正眼看谁
'ba'ge'zhuo'shi'zi'jian'ruan'de'qi 八哥啄柿子拣软的欺
'ba'gu'wen'de'ge'shi'qian'pian'yi'lv 八股文的格式千篇一律
