'bao'wei'chu 保卫处
'cai'wu'chu 财务处
'chan'pin'yi'shu'she'ji 产品艺术设计
'cheng'shi'gui'dao'jiao'tong'ji'dian'ji'shu 城市轨道交通机电技术
'cheng'shi'gui'dao'jiao'tong'tong'xin'xin'hao'ji'shu 城市轨道交通通信信号技术
'cheng'xiao 成效
'chu'tian'ji'neng'ming'shi 楚天技能名师
'chuan'bo'dian'qi'gong'cheng'ji'shu 船舶电气工程技术
'chuan'bo'dian'zi'dian'qi'ji'shu 船舶电子电气技术
'chuan'bo'dong'li'gong'cheng'ji'shu 船舶动力工程技术
'chuan'bo'gong'cheng'ji'shu 船舶工程技术
'chuan'bo'xi'zhuang'gong'cheng'ji'shu 船舶舾装工程技术
'chuan'bo'yu'hai'yang'gong'cheng'xue'yuan 船舶与海洋工程学院
'chuang'xin'fa'zhan'xing'dong'ji'hua 创新发展行动计划
'dang'wei'ban'gong'shi 党委办公室
'dang'wei'tong'zhan'bu 党委统战部
'dang'wei'wu'zhuang'bu 党委武装部
'dang'wei'xuan'chuan'bu 党委宣传部
'dang'wei'xue'sheng'gong'zuo'bu 党委学生工作部
'dang'wei'zu'zhi'bu 党委组织部
'di'er'yi'er'ji'gong'xue'xiao 第二一二技工学校
'dian'qi'yu'dian'zi'gong'cheng'xue'yuan 电气与电子工程学院
'dian'qi'zi'dong'hua'ji'shu 电气自动化技术
'dian'qi'zi'dong'hua'zhong'xin 电气自动化中心
'dian'zi'shang'wu'ji'shu 电子商务技术
'dian'zi'xin'xi'gong'cheng'ji'shu 电子信息工程技术
'fu'wu'jun'gong 服务军工
'gong'cheng'zao'jia 工程造价
'gong'gong'ke'bu 公共课部
'gong'hui'ban'gong'shi 工会办公室
'gong're'tong'feng'yu'kong'tiao'gong'cheng'ji'shu 供热通风与空调工程技术
'gong'ye'ji'qi'ren'ji'shu 工业机器人技术
'gong'ye'zhong'xin'fu'shu'gong'chang 工业中心附属工厂
'guang'dian'zhi'zao'yu'ying'yong'ji'shu 光电制造与应用技术
'guo'ji'wen'hua'jiao'liu'xue'yuan 国际文化交流学院
'guo'jia'shi'fan'xing'gao'zhi'yuan'xiao 国家示范性高职院校
'guo'you'zi'chan'guan'li'chu 国有资产管理处
'hai'yang'gong'cheng'ji'shu 海洋工程技术
'han'jie'ji'shu'yu'zi'dong'hua 焊接技术与自动化
'hang'hai'ji'shu 航海技术
'hou'de'du'xing'zhi'yong'chuang'xin 厚德笃行致用创新
'hou'qin'fu'wu'ji'tuan 后勤服务集团
'hou'qin'ji'jian'guan'li'chu 后勤基建管理处
'hu'bei'gong'xue'yuan 湖北工学院
'hu'bei'ji'xie'gong'ye'zhuan'ke'xue'xiao 湖北机械工业专科学校
'hu'bei'ming'shi'gong'zuo'shi 湖北名师工作室
'hu'bei'sheng'shou'pi'wen'ming'xiao'yuan 湖北省首批文明校园
'hu'bei'sheng'yi'fa'zhi'xiao'shi'fan'xiao 湖北省依法治校示范校
'hu'bei'sheng'zui'jia'wen'ming'dan'wei 湖北省最佳文明单位
'huan'jing'yi'shu'she'ji 环境艺术设计
'ji'dian'yi'ti'hua'ji'shu 机电一体化技术
