'a'bu'ji'zhi 阿部记之
'a'bu'wei'luo 阿布维洛
'a'fei 阿绯
'a'san'jing 阿散井
'a'san'jing'lian'ci 阿散井恋次
'an'wei'da'fu 岸尾大辅
'an'yuan'yang'gui 安元洋贵
'ao'si'ka'huang'jin'di'la'luo'sha 奥斯卡皇金迪拉洛沙
'ba'fan'dui 八番队
'ba'qian'liu 八千流
'ba'shi'qian 八十千
'bai'cao'mei 白草莓
'bai'da 白打
'bai'dao 白刀
'bai'di'jian 白帝剑
'bai'li 白梨
'bai'lian 白莲
'bai'lu 白露
'bai'lu'wei'shuang 白露为霜
'bai'ren 白刃
'bai'tao 白桃
'bai'yi 白一
'bai'yi'hu 白一护
'bai'yi'lu 白一露
'bai'zai 白哉
'bai'zhou 白粥
'ban'mu'yi'jiao 斑目一角
'ban'xu 半虚
'ben'jiang'qian'he 本匠千鹤
'ben'tian'gui'zi 本田贵子
'beng'dian 崩点
'bing'lun'wan 冰轮丸
'bing'xue'xi'zhan'po'dao 冰雪系斩魄刀
'bo'cun'zuo'zhen 狛村左阵
'bu'liang'shang'ren 不良商人
'can'wu'bai'ren 叄舞白刃
'cang'huo'zhui 苍火坠
'cao'lu'ba'qian'liu 草鹿八千流
'cao'mei 草莓
'cao'mei'jun 草莓君
'cha'du 茶渡
'cha'du'tai'hu 茶渡泰虎
'cha'zhu 侘助
'chai'tian 柴田
'chai'tian'yong'yi 柴田勇一
'chang'dao'xiong'yi 长岛雄一
'chang'deng'gao'shi 长嶝高士
'cheng'ling'bi 瀞灵壁
'cheng'ling'ting'de'yin'mou'zhi'qiu 瀞灵廷的阴谋之秋
'cheng'tian'jian 成田剑
'cheng'yi 成一
'chi'huo'pao 赤火炮
'chi'huo'pao'bai'lei 赤火炮白雷
'chou'wu'yu 紬屋雨
'chu'gen'xian'sheng 雏根先生
'chu'sen'tao 雏森桃
'chu'wu 初舞
'chu'wu'yue'bai 初舞月白
'chuan'dian 穿点
'chuan'jie'men 穿界门
'chuan'ling'bu 传令部
'chuan'shang'you'zi 川上友子
'chun'gui 椿鬼
'chun'qiu 春秋
'chun'shui 春水
'ci'wu 次舞
