'ai'li'suo'ji 爱力所及
'ai'ya 哎呀
'an'de'ci'fu'jian 安得辞浮贱
'an'de'nan'zheng'chi'jie'bao 安得南征驰捷报
'an'de'yi'tian'chou'bao'jian 安得倚天抽宝剑
'ao'shuang'xue 傲霜雪
'ba'jiu'lei'tao'tao 把酒酹滔滔
'ba'lian'song 八连颂
'ba'ru'cai'wei'san'jie 把汝裁为三截
'bai'ge'lian'pian'fen'wu'qian 白鸽连翩奋舞前
'bai'ge'zheng'liu 百舸争流
'bai'lang'tao'tian 白浪滔天
'bai'nian'mo'guai'wu'pian'xian 百年魔怪舞翩跹
'bai'wan'xiong'shi'guo'da'jiang 百万雄师过大江
'bai'yun'shan'tou'yun'yu'li 白云山头云欲立
'bai'yun'shan'xia'hu'sheng'ji 白云山下呼声急
'ban'zhu'yi'zhi'qian'di'lei 斑竹一枝千滴泪
'bao'an'ren'wu'yi'shi'xin 保安人物一时新
'bao'dao'di'jun'xiao'dun 报道敌军宵遁
'bao'zhi'he'shi 报之何时
'bei'fu'qing'tian'chao'xia'kan 背负青天朝下看
'bei'guo'feng'guang 北国风光
'bei'li'xian'yi 备历险夷
'bei'shan'jin'chou'yuan 北山尽仇怨
'bei'tan'you'yu'ai 悲叹有余哀
'ben'teng'ji 奔腾急
'bi'bing'kun'you 必秉悃忧
'bi'bu'yi'que 必补遗缺
'bi'shang'hong'qi'piao'luo'zhao 壁上红旗飘落照
'bian'di'ai'hong'man'cheng'xue 遍地哀鸿满城血
'bian'di'ying'xiong'xia'xi'yan 遍地英雄下夕烟
'bian'you'jing'sheng'bai'gu'dui 便有精生白骨堆
'bie'meng'yi'xi'zhou'shi'chuan 别梦依稀咒逝川
'bing'shi'lan'shou 病时揽手
'bu'ai'hong'zhuang'ai'wu'zhuang 不爱红装爱武装
'bu'cun'qi'xin 不存欺心
'bu'dao'chang'cheng'fei'hao'han 不到长城非好汉
'bu'fen'pin'fu 不分贫富
'bu'guan'feng'chui'lang'da 不管风吹浪打
'bu'guo'shi'ji'qian'han're 不过是几千寒热
'bu'jian'qian'nian'qiu'yue'lang 不见前年秋月朗
'bu'ke'gu'ming'xue'ba'wang 不可沽名学霸王
'bu'lun'jun'min 不论军民
'bu'pa'dao 不怕刀
'bu'pa'di 不怕帝
'bu'pa'gui 不怕鬼
'bu'pa'ji 不怕戟
'bu'pa'mei 不怕魅
'bu'pa'po 不怕迫
'bu'pa'ya 不怕压
'bu'pa'zei 不怕贼
'bu'ran'yi'chen 不染一尘
'bu'ren'zu'shu 不忍卒书
'bu'shi'yi'ren'neng'ling'dao 不是一人能领导
'bu'si 不似
'bu'suan'zi 卜算子
'bu'wu'ru'si 不武如斯
'bu'xu'fang'pi 不须放屁
'bu'yao'zhe'duo'xue 不要这多雪
'bu'yao'zhe'gao 不要这高
'bu'zhou'shan'xia'hong'qi'luan 不周山下红旗乱
'bu'zuo'kuang'yan 不作诳言
'cai'cai'yu'gu'jing 采采余孤景
'cai'sang'zi 采桑子
'cai'yin'chang'sha'shui 才饮长沙水
'can'dan'kan'ming'jing 惨淡看铭旌
'can'tian'wan'mu 参天万木
'can'yang'ru'xue 残阳如血
'cang'hai'heng'liu'an'zu'lv 沧海横流安足虑
'cang'shan'ru'hai 苍山如海
'cen'lei'qin'shuang'ti 涔泪侵双题
'ceng'ji'fou 曾记否
'ceng'lin'jin'ran 层林尽染
'chang'dao'ren'ge'dong'di'shi 长岛人歌动地诗
'chang'kong'yan'jiao'shuang'chen'yue 长空雁叫霜晨月
'chang'liao'kuo 怅寥廓
'chang'ye'nan'ming'chi'xian'tian 长夜难明赤县天
'chang'zheng'bu'shi'nan'kan'ri 长征不是难堪日
'che'zi'fei'ru'yue 车子飞如跃
'chen'chen'yi'xian'chuan'nan'bei 沉沉一线穿南北
'cheng'di'yi 称第一
'cheng'ji'si'han 成吉思汗
'cheng'wei'cao'qi'qi 城隈草萋萋
'chi'cheng'huang'lv'qing'lan'zi 赤橙黄绿青蓝紫
'chong'meng'ju'jian'zhi'dong'zhi 艟艨巨舰直东指
'chong'ming'dui'ma'yi'dai'shui 崇明对马衣带水
'chong'qing'you'guan'jie'mo'li 重庆有官皆墨吏
'chong'shang'jing'gang'shan 重上井冈山
'chong'yang 重阳
'chou'chang'zhong'he'ji 惆怅中何寄
'chou'sha'fang'nian'you 愁杀芳年友
'chuan'bian'qi'li 传遍戚里
'chun'feng'yang'liu'wan'qian'tiao 春风杨柳万千条
'chun'guang 春光
'chun'hui'chao'ai 春晖朝霭
'chun'jiang'hao'dang'zan'pai'huai 春江浩荡暂徘徊
'chun'lai'wo'bu'xian'kai'kou 春来我不先开口
'ci'bian'zhi'zuo 此编之作
'ci'po'qing'tian'e'wei'can 刺破青天锷未残
'ci'shi'jia'dian 此时家奠
'ci'wu'ci'zhi 此物此志
'ci'xin'bu'yue 此心不越
'ci'xing'he'qu 此行何去
'ci'ze'er'bei 次则儿辈
'cong'ci'tian'ya'gu'lv 从此天涯孤旅
'cong'lai'ji 从来急
'cong'ming'rui'zhi 聪明睿智
'cong'tou'yue 从头越
'cui'zhe'zuo'mo 摧折作磨
'da'bai'di 大柏地
'da'di'wei'wei'nuan'qi'chui 大地微微暖气吹
'da'du'qiao'heng'tie'suo'han 大渡桥横铁索寒
'da'he'shang'xia 大河上下
'da'jun'zong'heng'chi'ben 大军纵横驰奔
'da'li'shu'yi 答李淑一
'da'xiao'qin'shu 大小亲疏
'da'you'ren 答友人
'da'you'yi 大有益
'da'yu'luo'you'yan 大雨落幽燕
'dai'ai'lian'nv'shi'dao'yan'jian'shi'zhu'jue 戴爱莲女士导演兼饰主角
'dai'dao'shan'hua'lan'man'shi 待到山花烂漫时
'dai'xu'wen'tu 待徐温吐
'dan'bei'bu'jian'wu'zhou'tong 但悲不见五洲同
'dan'dong'qian'cun'bi 弹洞前村壁
'dan'hen'bian'di 弹痕遍地
'dan'hu'er'bei 但呼儿辈
'dan'ji'de'ban'ban'dian'dian 但记得斑斑点点
'dang'di'shui'jia'zi 荡涤谁家子
'dang'jing'shi'jie'shu 当惊世界殊
'dang'nian'ao'zhan'ji 当年鏖战急
'dao'chu'ying'ge'yan'wu 到处莺歌燕舞
'dao'hai'fan'jiang'juan'ju'lan 倒海翻江卷巨澜
'dao'shao'shan 到韶山
'dao'zhi'zhi'fa 到之之法
'dao'zhi'zhuang'zu'qiao'liu'yu'hou 盗跖庄足乔流誉后
'dao'zhong'liu'ji'shui 到中流击水
'deng'lu'shan 登庐山
