'an'quan'fang'fan'xi'tong 安全防范系统
'bai'huo'shang'dian 百货商店
'ban'di'xia'shi 半地下室
'ban'gong'jian'zhu 办公建筑
'ban'gong'shi 办公室
'bao'hu'jian'zhu 保护建筑
'bao'xiang 包厢
'bei'can'jian 备餐间
'bi'chu 壁橱
'bi'gui 壁柜
'bi'nan'ceng 避难层
'bian'xing'feng 变形缝
'biao'gao 标高
'biao'zhun'ceng 标准层
'bie'shu 别墅
'bin'yi'guan 殡仪馆
'bing'xu'leng 冰蓄冷
'bo'wu'guan 博物馆
'bo'yin'shi 播音室
'cai'guang 采光
'cai'guang'xi'shu 采光系数
'cai'guang'xi'shu'biao'zhun'zhi 采光系数标准值
'cai'liao'xu're'xi'shu 材料蓄热系数
'cai'nuan 采暖
'cai'nuan'du'ri'shu 采暖度日数
'cai'nuan'hao'mei'liang'zhi'biao 采暖耗煤量指标
'cai'nuan'nian'hao'dian'liang 采暖年耗电量
'cai'shi'chang 菜市场
'can'guan 餐馆
'can'ting 餐厅
'can'zhao'jian'zhu 参照建筑
'ceng'gao 层高
'chang'di'she'ji 场地设计
'chang'tu'qi'che'ke'yun'zhan 长途汽车客运站
'chao'shi'shi'chang 超市市场
'che'ku 车库
'chen'jian'shi 晨检室
'cheng'shi'lun'du'zhan 城市轮渡站
'cheng'zhong'qiang 承重墙
'chi'an 池岸
'chi'bi 池壁
'chi'zuo 池座
'chu'bu'she'ji 初步设计
'chu'bu'she'ji'gai'suan 初步设计概算
'chu'cang'shi 储藏室
'chu'fang 厨房
'chuang'di'mian'ji'bi 窗地面积比
'chuang'jing 窗井
'chuang'qiang'mian'ji'bi 窗墙面积比
'chuang'tai 窗台
'da'kong'jian'zhi'neng'xing'zhu'dong'pen'shui'mie'huo'xi'tong 大空间智能型主动喷水灭火系统
'dan'yuan'shi'zhu'zhai 单元式住宅
'dang'an'guan 档案馆
'dao'guan 道观
'dao'nian'ting 悼念厅
'di'ceng'zhu'zhai 低层住宅
'di'tie'zhan 地铁站
'di'xia'shi 地下室
'di'xia'shi'fang'shui 地下室防水
'di'xing'tu 地形图
'dian'shi'tai 电视台
'dian'ti 电梯
'dian'ti'ji'fang 电梯机房
'dian'ti'jing 电梯井
'dian'ti'ting 电梯厅
'dian'xin'ju 电信局
'dian'xing'qi'xiang'nian 典型气象年
'dian'ying'yuan 电影院
'ding'gai 顶盖
'ding'peng 顶棚
'duo'ceng'zhu'zhai 多层住宅
'duo'gong'neng'ting 多功能厅
'er'tong'fu'li'yuan 儿童福利院
'fa'yuan 法院
'fan'shui 泛水
'fang'an'she'ji 方案设计
'fang'yan'xi'tong 防烟系统
'fang'ying'shi 放映室
'fei'cheng'zhong'qiang 非承重墙
'feng'ji'pan'guan'jia're'xin'feng'xi'tong 风机盘管加热新风系统
'feng'yu'cao'chang 风雨操场
'fo'jiao'si'yuan 佛教寺院
'gai'nian'she'ji 概念设计
'gang'kou'ke'yun'zhan 港口客运站
'gao'ceng'zhu'zhai 高层住宅
'gao'deng'yuan'xiao 高等院校
'ge'li'shi 隔离室
'gei'shui'xi'tong 给水系统
'geng'yi'shi 更衣室
'gong'an'ju 公安局
'gong'cheng'jian'she'biao'zhun 工程建设标准
'gong'gong'jian'zhu 公共建筑
'gong'gong'jiao'tong'shu'niu 公共交通枢纽
'gong'ye'jian'zhu 工业建筑
'gong'yong'jie'di'xi'tong 共用接地系统
'gong'yu'shi'ban'gong'lou 公寓式办公楼
'gou'zhu'wu 构筑物
'gu'hui'ji'cun'chu 骨灰寄存处
'guan'dao'jing 管道井
'guan'dao'zhi'yin'shui 管道直饮水
'guan'xi'shi 盥洗室
'guan'xian'zong'he'tu 管线综合图
'guan'zhong'ting 观众厅
'guang'bo'dian'shi'ta 广播电视塔
'guang'bo'dian'tai 广播电台
'guang'mu'fan'she 光幕反射
'gui'hua'she'ji'tiao'jian 规划设计条件
'guo'jie'lou 过街楼
'guo'liang 过梁
'hang'kong'gang 航空港
'hang'zhan'lou 航站楼
'hong'xi'shi'wu'mian'yu'shui'pai'shui'xi'tong 虹吸式屋面雨水排水系统
'hou'che'shi 候车室
'hou'chuan'shi 候船室
'hou'ji'shi 候机室
'hou'ti'ting 候梯厅
'hou'zhen'shi 候诊室
'hu'li'dan'yuan 护理单元
'hua'zhuang'shi 化妆室
'huan'qi'ci'shu 换气次数
'hui'lang 回廊
'hui'zhan'zhong'xin 会展中心
'hun'xiang'sheng 混响声
'hun'xiang'shi'jian 混响时间
'huo'dong'ge'ban 活动隔板
'huo'hua'jian 火化间
'huo'zai'bao'jing'xi'tong 火灾报警系统
