'a'fan'ti'de'gu'shi 阿凡提的故事
'a'gu'deng'ba'de'gu'shi 阿古登巴的故事
'a'su'ba'di 阿苏巴底
'ai'qing'gu'shi 爱情故事
'ai'qing'shen'hua 爱情神话
'ai'qing'xu'shi'shi 爱情叙事诗
'an'hui'da'gu 安徽大鼓
'ba'bu'lin'bei'he'yu'min'jian'wen'xue 巴布林贝赫与民间文学
'ba'duan'jing 八段景
'ba'la'gen'cang'de'gu'shi 巴拉根仓的故事
'bai'tou'ge 白头格
'bai'xi 百戏
'bai'zu'tiao 白族调
'ban'yun'hao'zi 搬运号子
'bao'gong'de'chuan'shuo 包公的传说
'bao'juan 宝卷
'bi'mu'ge 比目格
'bi'nong'nai 比侬耐
'bian'wen 变文
'bing'di'ge 并蒂格
'bo'ya 卜牙
'bu'lang'tiao 布朗调
'bu'yi'tan'chang 布依弹唱
'bu'yu'hao'zi 捕鱼号子
'cai'cha'qu 采茶曲
'cai'cha'xi 采茶戏
'cai'mi 猜谜
'cai'ren 才人
'cai'shi'hao'zi 采石号子
'cai'tiao 猜调
'cai'xie 菜谢
'can'jun'xi 参军戏
'cao'e'ge 曹娥格
'cha'si'jiu'lou 茶肆酒楼
'cha'yang'hao'zi 插秧号子
'chan'da 缠达
'chan'ling 缠令
'chang'de'si'xian 常德丝弦
'chang'gong'he'di'zhu'de'gu'shi 长工和地主的故事
'chang'ha 唱哈
'chang'sha'tan'ci 长沙弹词
'chang'zhuan 唱赚
'chao'feng'xiao'hua 嘲讽笑话
'chao'zhou'ying'xi 潮州影戏
'che'shui'hao'zi 车水号子
'cheng'yu'mi 成语谜
'chong'mi'hao'zi 舂米号子
'chuan'cha'fu'yan 穿插敷衍
'chuan'hao'zi 穿号子
'chuan'jiang'chuan'fu'hao'zi 川江船夫号子
'chuang'shi'shi'shi 创世史诗
'ci'hua 词话
'da'ao 达奥
'da'ge 大歌
'da'ge 打歌
'da'gu 大鼓
'da'hang'hao'zi 打夯号子
'da'lan'tiao 打篮调
'dai'nv'xu'gu'shi 呆女婿故事
'dan'chu'tou 单出头
'dan'ju 丹剧
'dan'xian 单弦
'dang'hu'chuan 荡湖船
'dao'de'yu'yan 道德寓言
'dao'hua'shan'ge 刀花山歌
'dao'qing 道情
'dao'qing'diao 道情调
'dao'qing'xi 道情戏
'deng'mi 灯谜
'deng'xi 灯戏
'di'fang'feng'wu'chuan'shuo 地方风物传说
'di'li'yan 地理谚
'di'ming'mi 地名谜
'di'wang'jiang'xiang'chuan'shuo 帝王将相传说
'ding'dang'tiao 叮当调
'ding'ding'qiang 丁丁腔
'ding'xian'yang'ge 定县秧歌
'dong'bei'da'gu 东北大鼓
'dong'bu'la'tan'chang 冬不拉弹唱
'dong'wu'gu'shi 动物故事
'dong'wu'yu'yan 动物寓言
'du'jiao'xi 独脚戏
'dui'ge 对歌
'dui'hua 对花
'en'shi'deng'xi 恩施灯戏
'er'ge 儿歌
'er'lang'dan'shan'zhuo'ri'de'chuan'shuo 二郎担山捉日的传说
'er'ren'tai 二人台
'er'ren'zhuan 二人转
'fa'ming'shen'hua 发明神话
'fan'feng'jian'li'jiao'gu'shi 反封建礼教故事
'fan'jiang'shan'de'gu'shi 反江山的故事
'fang'feng'zheng 放风筝
'fang'la'qi'yi'chuan'shuo 方腊起义传说
'fei'ge 飞歌
'feng'ci'ge'yao 讽刺歌谣
'feng'ci'yu'yan 讽刺寓言
'feng'huang'tiao 凤凰调
'feng'yang'hua'gu 凤阳花鼓
'feng'yu'yun'lei'shen'hua 风雨云雷神话
'ga'bai'fu 嘎百福
'gan'ma'tiao 赶马调
'gan'wu'ju 赶五句
'gan'zhan'ge 擀毡歌
'gao'shan'ju 高山剧
'gao'tang'ge 高棠歌
'ge'ming'ling'xiu'chuan'shuo 革命领袖传说
'ge'yan 格言
'gong'cheng'hao'zi 工程号子
'gong'jiang'gu'shi 工匠故事
'gong'yi'chuan'shuo 工艺传说
'gu'dai'yu'yan 古代寓言
'gu'ge 古歌
'gu'qi 谷气
'gu'zi'ci 鼓子词
'guai'hai'zi'xing'gu'shi 怪孩子型故事
'guan'zhong'dao'qing 关中道情
'guang'xi'cai'cha'xi 广西采茶戏
'guang'xi'ling'ling'luo 广西零零落
'gui'jie'yan 规戒谚
'gui'zhou'hua'deng'xi 贵州花灯戏
'gun'mu'hao'zi 滚木号子
'guo'shan'liu 过山溜
'ha'ha'qiang 哈哈腔
'ha'ne'ha'ba 哈呢哈巴
'hai'cai'qiang 海菜腔
'hai'nan'zhang'tou'kui'lei'xi 海南杖头傀儡戏
'hai'zi'xi 嗨子戏
'han'cheng'yang'ge 韩城秧歌
'hao'lai'bao 好来宝
