'an'huo 暗火
'an'qi 氨气
'an'quan'fa 安全阀
'an'yang'hua'wu 氨氧化物
'bai'yan 白烟
'ban'chi'shi'huan're'qi 板翅式换热器
'bao'jing'jian'ce'qi 报警检测气
'bao'yang'wei'xiu 保养维修
'bao'zha 爆炸
'bao'zha'shang'xian 爆炸上限
'bao'zha'xia'xian 爆炸下限
'bian'dian'suo 变电所
'bian'song'qi 变送器
'bian'ya'qi'shi 变压器室
'biao'mian'guo'lv 表面过滤
'biao'zhun'da'qi'ya 标准大气压
'biao'zhun'da'qi'zhuang'kuang 标准大气状况
'bing'er'xi 丙二烯
'bing'que 丙炔
'bing'tong 丙酮
'bing'wan 丙烷
'bing'xi 丙烯
'bu'ke'ni'fan'ying 不可逆反应
'bu'neng'hu'xi 不能呼吸
'bu'yi'hu'xi'de'qi'ti 不宜呼吸的气体
'can'yu'fei'qi 残余废气
'cao'che 槽车
'ceng'liu 层流
'cha'liu 叉流
'chao'ya'zi'dong'lian'suo'ting'ji 超压自动连锁停机
'chong'tian'gong'chang 充填工厂
'chong'tian'jian 充填间
'chong'zhuang'he'ge'zheng 充装合格证
'chong'zhuang'hou'de'jian'cha'yu'chu'li 充装后的检查与处理
'chong'zhuang'ji'lu 充装记录
'chong'zhuang'qian'de'jian'cha'yu'chu'li 充装前的检查与处理
'chong'zhuang'shi'jian 充装时间
'chong'zhuang'wen'du 充装温度
'chong'zhuang'ya'li 充装压力
'chou'wei 臭味
'chou'wu'ye'dan 抽污液氮
'chou'zhen'kong 抽真空
'chu'chen'guo'lv 除尘过滤
'chu'chen'xiao'lv 除尘效率
'chuan'gan'qi 传感器
'chuan're'xue 传热学
'chuan'tou'mo'de'su'du 穿透膜的速度
'chun'du'di 纯度低
'chun'qing 纯氢
'chun'qing'huan'chong'guan 纯氢缓冲罐
'ci'ji'ji 刺激剂
'ci'ji'xing'du'qi 刺激性毒气
'ci'ji'xing'yan'qi 刺激性烟气
'da'huo'zai'bao'fa 大火灾爆发
'da'kong'jing'chuan'liu'ban 大孔径穿流板
'da'lian'jing'ji'ji'shu'kai'fa'qu'tie'shan'xi'lu'hao 大连经济技术开发区铁山西路号
'da'mian'ji'zhao'huo 大面积着火
'da'qi'ya'li 大气压力
'da'yang'ri'suan'qi'ti'you'xian'gong'si 大阳日酸气体有限公司
'dan'qi 氮气
'dan'qi'de'leng'ning'ya'li 氮气的冷凝压力
'dan'qi'guan'dao 氮气管道
'dan'shui'yu'leng 氮水预冷
'dan'shui'yu'leng'qi 氮水预冷器
