'ba'shang'shui'wei 坝上水位
'ba'xia'shui'wei 坝下水位
'bao'xun 报讯
'bao'yu'hong'shui'yu'bao 暴雨洪水预报
'bao'zheng'shui'wei 保证水位
'bi'ce 比测
'bi'jiang'guan'ce 比降观测
'bi'jiang'shui'chi'duan'mian 比降水尺断面
'biao'zhi'gan 标志杆
'bu'fen'mian'ji 部分面积
'bu'fen'ping'jun'liu'su 部分平均流速
'ce'de'shui'shen 测得水深
'ce'dian'liu'su 测点流速
'ce'liu'duan'mian 测流断面
'ce'sao'lei'da 侧扫雷达
'ce'shen 测深
'ce'shen'chui'xian 测深垂线
'ce'shen'gan 测深杆
'ce'su'chui'xian 测速垂线
'ce'yan'duan'mian 测验断面
'ce'yan'ping'tai 测验平台
'ce'zhan'kao'zheng 测站考证
'ce'zhan'yan'ge 测站沿革
'chan'liu 产流
'chao'shen'chan'liu 超渗产流
'cheng'yu'kou 承雨口
'chu'bing 初冰
'chu'bing'ri'qi 初冰日期
'chu'ku'shui'liang 出库水量
'chui'xian'ping'jun'liu'su 垂线平均流速
'chun'xun 春汛
'da'duan'mian 大断面
'da'duan'mian'ce'liang 大断面测量
'dan'duan'sha 单断沙
'dan'duan'sha'guan'xi 单断沙关系
'dan'yang'han'sha'liang 单样含沙量
'dan'yi'xian 单一线
'dan'yi'xian'fa 单一线法
'deng'yu'liang'xian'fa 等雨量线法
'dian'yu'liang 点雨量
'ding'xian 定线
'dong'jie'ji'mian 冻结基面
'duan'mian'biao'zhi 断面标志
'duan'mian'ce'yan'he'duan 断面测验河段
'duan'mian'mian'ji 断面面积
'duan'mian'ping'jun'liu'su 断面平均流速
'duan'mian'ping'jun'shui'shen 断面平均水深
'duan'mian'suo 断面索
'duan'mian'zhuang 断面桩
'fan'dou'shi'yu'liang'ji 翻斗式雨量计
'fang'hong 防洪
'fang'hong'biao'zhun 防洪标准
'fang'xun 防汛
'fen'bu'qu'xian 分布曲线
'feng'dong 封冻
'feng'dong'ri'qi 封冻日期
'fu'biao'ce'liu'duan'mian 浮标测流断面
'fu'biao'lan'dao 浮标缆道
'fu'biao'liu'su 浮标流速
'fu'zi'shi'shui'wei'ji 浮子式水位计
'guo'shui'duan'mian 过水断面
'he'di'gao'cheng 河底高程
'he'li'xing'jian'cha 合理性检查
'heng'duan'mian 横断面
'hong'feng 洪峰
'hong'feng'liu'liang 洪峰流量
'hong'shui'guo'cheng 洪水过程
'hong'shui'yao'su'zhai'lu 洪水要素摘录
'hong'shui'yu'bao 洪水预报
'hong'shui'yu'jing 洪水预警
'hong'shui'zong'liang 洪水总量
'hui'liu 汇流
'ji'ben'shui'chi'duan'mian 基本水尺断面
'ji'ben'shui'zhun'dian 基本水准点
'ji'mian 基面
'ji'xian 基线
'ji'xue'shen'du 积雪深度
'jia'quan'ping'jun'fa 加权平均法
'jian'cha 检查
'jiang'shui'li'shi 降水历时
'jiang'shui'liang 降水量
'jiang'shui'liang'guan'ce 降水量观测
'jiang'shui'liang'zhai'lu 降水量摘录
'jiang'shui'ri'shu 降水日数
'jiang'yu'qiang'du 降雨强度
'jiao'ce 校测
'jiao'he'shui'zhun'dian 校核水准点
'jie'dong 解冻
'jie'dong'ri'qi 解冻日期
'jing'jie'shui'wei 警戒水位
'jing'liu'mo'shu 径流模数
'jing'liu'xi'shu 径流系数
'jing'liu'zong'liang 径流总量
'jue'dui'ji'mian 绝对基面
'ke'li'ji'pei 颗粒级配
'la'pian'suo 拉偏索
'lian'shi'xu'fa 连时序法
'lin'shi'ce'liu'duan'mian 临时测流断面
'lin'shi'qu'xian'fa 临时曲线法
'lin'shi'shui'zhun'dian 临时水准点
'liu'liang'guo'cheng'xian 流量过程线
'liu'su'ce'liang 流速测量
'liu'su'yi 流速仪
'liu'su'yi'ce'liu'duan'mian 流速仪测流断面
'liu'yu'chan'liu'yu'bao 流域产流预报
'liu'yu'hui'liu'yu'bao 流域汇流预报
'mian'yu'liang 面雨量
'ni'sha'ce'yan 泥沙测验
'ping'jun'shui'wei 平均水位
'ping'jun'zhi 平均值
'qi'dian'ju 起点距
'qi'zhong'suo 起重索
'qian'yu 铅鱼
'qiu'xun 秋汛
'ru'ku'shui'liang 入库水量
'shang'qing 墒情
'sheng'tao 绳套
'sheng'tao'qu'xian 绳套曲线
'sheng'xue'duo'pu'le'pou'mian'liu'su'yi 声学多普勒剖面流速仪
'shou'chi'dian'bo'liu'su'yi 手持电波流速仪
'shu'sha'lv 输沙率
'shui'chi 水尺
'shui'chi'ling'dian 水尺零点
'shui'chi'ling'dian'ce'liang 水尺零点测量
'shui'dao'duan'mian 水道断面
'shui'ku'xu'shui'liang 水库蓄水量
'shui'mian'kuan 水面宽
'shui'mian'liu'su 水面流速
'shui'mian'qi'fu'du 水面起伏度
'shui'qing 水情
'shui'shen 水深
'shui'wei'bian'fu 水位变幅
'shui'wei'guan'ce 水位观测
'shui'wei'guan'ce'ping'tai 水位观测平台
'shui'wei'liu'liang'guan'xi 水位流量关系
'shui'wen'ce'qiao 水文测桥
'shui'wen'ce'yan 水文测验
'shui'wen'jiao'che 水文绞车
'shui'wen'kan'ce 水文勘测
'shui'wen'lan'dao 水文缆道
'shui'wen'qing'bao 水文情报
'shui'wen'te'zheng'zhi 水文特征值
'shui'wen'yu'bao 水文预报
'shui'wen'zi'liao'cha'bu 水文资料插补
'shui'wen'zi'liao'gai'zheng 水文资料改正
'shui'wen'zi'liao'zheng'bian 水文资料整编
'shui'zhun'ce'liang 水准测量
'shui'zhun'dian 水准点
'suan'shu'ping'jun'fa 算数平均法
'tai'shen'duo'bian'xing'fa 泰深多边形法
'tu'rang'han'shui'lv 土壤含水率
'wei'tuo'guan'ce 委托观测
'wei'tuo'guan'ce'yuan 委托观测员
'xiang'dui'shui'shen 相对水深
'xiang'ying'shui'wei 相应水位
'xuan'bei'shi'liu'su'yi 旋杯式流速仪
'xuan'chui'shui'chi 悬垂水尺
'xuan'jiang'shi'liu'su'yi 旋浆式流速仪
'xuan'suo 悬索
'xuan'suo'pian'jiao'gai'zheng 悬索偏角改正
'xuan'yi'zhi'shu'sha'lv 悬移质输沙率
'xue'shui'dang'liang 雪水当量
'xun'ce 巡测
'xun'huan'suo 循环索
'xun'qi 汛期
'yao'ce 遥测
'yao'ce'shui'wei'ji 遥测水位计
'you'xiao'shui'shen 有效水深
'yu'liang 雨量
'yu'liang'tong 雨量筒
'zhang'luo'lv 涨落率
'zheng'fa 蒸发
'zheng'fa'liang 蒸发量
