'ai'duo'la 爱朵拉
'ai'duo'la'hei'ti 爱朵拉黑提
'ai'yuan'gan 爱媛柑
'ao'cheng 澳橙
'ao'gan 澳柑
'ba'ba'gan 耙耙柑
'ba'jiao 芭蕉
'ba'le 芭乐
'ba'liu'wang 八六王
'ba'liu'wang'mi'gua 八六王蜜瓜
'bai'la 白蜡
'bai'li 白梨
'bai'rou'huo'long'guo 白肉火龙果
'bai'rou'you 白肉柚
'bai'tang'ying 白糖罂
'bai'xing 白杏
'bai'you'tao 白油桃
'ban'you'sha 半油沙
'ban'you'sha'shan'zhu 半油沙山竹
'bi'qi 荸荠
'bing'lang 槟榔
'bing'tang'cheng 冰糖橙
'bo'luo'mi 菠萝蜜
'bu'lin 布林
'bu'lu'ke'si 布鲁克斯
'bu'zhi'huo'gan 不知火柑
'chang'zao 长枣
'chou'gan 丑柑
'chou'ju 丑桔
'chou'ping'guo 丑苹果
'chu'cheng 禇橙
'chu'liang 储良
'chu'liang'long'yan 储良龙眼
'chuan'qie 串茄
'chun'xue'tao 春雪桃
'ci'jiao'gua 刺角瓜
'ci'lang'shi 次郎柿
'cu'li 醋栗
'cu'su 醋粟
'cui'guan 翠冠
'cui'guan'li 翠冠梨
'cui'li 脆李
'cui'mi 脆蜜
'cui'mi'zao 脆蜜枣
'cui'pi'jin'ju 脆皮金桔
'cui'shi 脆柿
'cui'xiang 翠香
'cui'xiang'mi'hou'tao 翠香猕猴桃
'cui'yu 翠玉
'cui'yu'li 翠玉梨
'da'li 大荔
'da'li'dong'zao 大荔冬枣
'da'mu'shi'jia 大目释迦
'dai'you 傣柚
'dan'shuo 丹烁
'dan'shuo'ping'guo 丹烁苹果
'dang'shan'li 砀山梨
'deng'long'guo 灯笼果
'diao'shi 吊柿
'dong'zao 冬枣
'e'li 鳄梨
'fan'li'zhi 番荔枝
'fan'shi'liu 番石榴
'feng'li'shi'jia 凤梨释迦
'feng'shui'li 丰水梨
'fu'li'si'ke 弗里斯科
'fu'pen'zi 覆盆子
'fu'shi 富士
'fu'you'shi 富有柿
'ga'li'guo 咖喱果
'ga'shi'gua 伽师瓜
'gan'ju 柑桔
'gan'ju 柑橘
'gan'lan 橄榄
'gan'yao 干尧
'gan'yao'liu'lian 干尧榴莲
'gao'shan'lan'mei 高山蓝莓
'ge'lun'hong 格伦红
'gong'chuan'ju 宫川桔
'gong'gan 贡柑
'gong'li 贡梨
'gu'niang'guo 姑娘果
'guan'yin'lv 观音绿
'gui'wei 桂味
'gui'yuan 桂圆
'guo'dong'cheng 果冻橙
'guo'dong'gan 果冻柑
'hai'ba'ji 海巴戟
'hai'tang'guo 海棠果
'hai'wo'de 海沃德
'hai'ye'zi 海椰子
'hei'bu'lin 黑布林
'hei'jia'lun 黑加仑
'hei'jin'mi'gua 黑金蜜瓜
'hei'li 黑李
'hei'mei 黑莓
'hei'rou'shi 黑肉柿
