'cao'ni'ma'de'xing'bu'xing'a 草你妈的行不行啊
'gen'ni'kou'zi'jian'zhi'shi'wu'ru'le'wo 跟你扣字简直是侮辱了我
'hai'bu'gun'dan'ma'hai'ji'xu'zai'wo'zhe'diu'lian'ma 还不滚蛋吗还继续在我这丢脸吗
'ni'bu'jue'de'tai'mei'sha'shang'li'le'ma 你不觉得太没杀伤力了吗
'ni'hai'neng'zen'me'yang 你还能怎么样
'ni'kan'kan'ni'na'wo'nang'fei'xing'xiang 你看看你那窝囊废形象
'ni'nan'yi'di'dang'wo'ping'ping'dan'dan'de'yu'yan 你难以抵挡我平平淡淡的语言
'ni'ren'wei'ni'neng'cheng'ba'zhe'jian'pan'jie'ma 你认为你能称霸这键盘界吗
'ni'wei'shen'me'yao'zai'wo'mian'qian'hong'hong'huo'huo'de 你为什么要在我面前红红火火的
'ni'yi'wu'yi'shi'de'gao'su'wo'xing'bu 你一五一十的告诉我行不
'ni'you'shen'me'neng'nai'gen'wo'kang'heng'a 你有什么能耐跟我抗衡啊
'pen'gou'ci 喷狗词
'shen'me'shen'me'shen'me'ni'zhe'me'la'ji 什么什么什么你这么垃圾
'shi'wei'ju'wo'le'ma'ni'hai'bu'kuai'gun'dan'ma 是畏惧我了吗你还不快滚蛋吗
'wo'bu'xiang'zai'he'can'fei'ren'mo'ji'le'ni'dong'ma 我不想再和残废人墨迹了你懂吗
'wo'jian'zhi'bu'xie'yu'ni'fei'hua 我简直不屑与你废话
'wo'kan'ni'shi'chi'ren'shuo'meng'yi'xiang'tian'kai'le'ba 我看你是痴人说梦异想天开了吧
'yin'wei'ni'zao'jiu'bei'ren'zou'de'ma'mu'le'shi'bu 因为你早就被人揍的麻木了是不
'zen'me'zen'me'zen'me'ni'zhe'me'zi'yi'wei'shi 怎么怎么怎么你这么自以为是
