'ben'chi 奔驰
'chang'cheng 长城
'che'ding 车顶
'che'men 车门
'da'deng 大灯
'da'deng'shi'tiao 大灯饰条
'fa'dong'ji'xia'hu'ban 发动机下护板
'hou'fang'zhuang'liang 后防撞梁
'hou'ye'zi'ban 后叶子板
'hou'you'men 后右门
'hou'zuo'men 后左门
'ji'gai 机盖
'qi'ya 起亚
'qian'ce'wei 前侧围
'qian'fang'zhuang'liang 前防撞梁
'qian'fang'zhuang'liang'wai'pi 前防撞梁外皮
'qian'fang'zhuang'liang'zong'cheng 前防撞梁总成
'qian'gang 前杠
'qian'gang'an'zhuang'heng'liang 前杠安装横梁
'qian'gang'gu'jia 前杠骨架
'qian'gang'xia'hu'ban 前杠下护板
'qian'ye'zi'ban 前叶子板
'qian'you'ce'wei 前右侧围
'qian'you'men 前右门
'qian'zuo'ce'wei 前左侧围
'qian'zuo'men 前左门
'shui'xiang'xia'hu'ban 水箱下护板
'wai'pi 外皮
'xian'dai 现代
'xuan'li 炫丽
'ye'zi'ban 叶子板
'ye'zi'ban'nei'chen 叶子板内衬
'zheng'ce'wei 整侧围
'zhong'wang 中网
