'ban'yuan'jian 半园键
'bei'xing'dao'dang'dian'quan 杯型倒档垫圈
'bei'xing'dao'dang'dian'quan 杯形倒档垫圈
'bian'su'xiang'qiao'ti 变速箱壳体
'bian'su'xiang'zhi'dian 变速箱纸垫
'bo'cha 拨叉
'bo'cha'jia 拨叉架
'bo'cha'zhou 拨叉轴
'bo'cha'zhou'lian'suo'xiao 拨叉轴联锁销
'bo'tou 拨头
'cao'zong'chuang'kou 操纵窗口
'cao'zong'zhuang'zhi'qiao'ti 操纵装置壳体
'cao'zong'zhuang'zhi'zong'cheng 操纵装置总成
'cha'zhou 叉轴
'chi'lun'ge'tao 齿轮隔套
'ci'tie 磁铁
'dan'guan'ka'gu 单管卡箍
'dang'tong'bu'qi'zong'cheng 档同步器总成
'dao'dang'kai'guan 倒档开关
'dao'dang'kai'guan'qi'dong'xiao 倒档开关起动销
'dao'dang'suo'tan'huang 倒档锁弹簧
'dao'dang'suo'zhi'tui'quan 倒档锁止推圈
'dao'dang'zhi'tui'dian'quan 倒档止推垫圈
'dao'dang'zhong'jian'zhou 倒档中间轴
'dao'dang'zhong'jian'zhou'chi'lun 倒档中间轴齿轮
'dao'dang'zhong'jian'zhou'dian'quan 倒档中间轴垫圈
'di'dao'dang'bo'cha'zhou 低倒档拨叉轴
'di'qu'li'chuang'kou'chen'dian 底取力窗口衬垫
'dian'pian 垫片
'ding'wei'huan 定位环
'du'wan'guan'jie'tou 度弯管接头
'er'ji'chuan'dong 二级传动
'er'san'dang'chi'lun'dang'ban 二三档齿轮挡板
'er'zhou 二轴
'er'zhou'chao'su'dang'chi'lun 二轴超速档齿轮
'er'zhou'dao'dang'chi'lun 二轴倒档齿轮
'er'zhou'dao'tao 二轴导套
'er'zhou'di'dang'chi'lun 二轴低档齿轮
'er'zhou'er'dang'chi 二轴二档齿
'er'zhou'hua'jian'dian'pian 二轴花键垫片
'er'zhou'hua'tao 二轴滑套
'er'zhou'liu'dang'chi'lun 二轴六档齿轮
'er'zhou'liu'jiao'jian 二轴六角键
'er'zhou'san'dang'chi'lun 二轴三档齿轮
'er'zhou'si'dang'chi'lun 二轴四档齿轮
'er'zhou'wu'dang'chi'lun 二轴五档齿轮
'er'zhou'yi'dang'chi'lun 二轴一档齿轮
'fa'lan'pan 法兰盘
'fang'chen'zhao 防尘罩
'fang'tou'zhui'xing'luo'sai 方头锥形螺塞
'fen'li'bo'cha 分离拨叉
'fen'li'bo'cha'zhou 分离拨叉轴
'fen'li'bo'cha'zhou'han'jie'zong'cheng 分离拨叉轴焊接总成
'fen'li'cha'dai'xiao'zong'cheng 分离叉带销总成
'fen'li'zhou'cheng 分离轴承
'fen'li'zhou'cheng'zuo 分离轴承座
'fen'li'zhuang'zhi'zong'cheng 分离装置总成
'fu'le'wei'xiu'gong'ju 富勒维修工具
'fu'xiang'bo'cha'luo'ding 付箱拨叉螺钉
'fu'xiang'jian'su'chi'dian'pian 副箱减速齿垫片
'fu'xiang'jian'su'chi'lun 副箱减速齿轮
'fu'xiang'zhong'jian'zhou'chuan'dong'chi'lun 副箱中间轴传动齿轮
'fu'xiang'zhong'jian'zhou'han'jie'zong'cheng 副箱中间轴焊接总成
'fu'xiang'zhou'cheng'ding'wei'pan 副箱轴承定位盘
'fu'xiang'zhu'zhou 副箱主轴
'fu'xiang'zhu'zhou'chi'lun'dian'pian 副箱主轴齿轮垫片
'fu'xiang'zhu'zhou'chi'lun'ya'ban 副箱主轴齿轮压板
'fu'xiang'zhu'zhou'dian'quan 副箱主轴垫圈
