'an'jian'bu'men 安监部门
'an'jian'bu'men'he'fu'you'an'jian'zhi'ze'de'you'guan'bu'men 安监部门和负有安监职责的有关部门
'an'jian'bu'men'he'fu'you'an'jian'zhi'ze'de'you'guan'bu'men'jie'dao'shi'gu'bao'gao'hou 安监部门和负有安监职责的有关部门接到事故报告后
'an'jian'bu'men'he'fu'you'an'jian'zhi'ze'de'you'guan'bu'men'ying'dang'jian'li'zhi'ban'zhi'du 安监部门和负有安监职责的有关部门应当建立值班制度
'an'jian'bu'men'he'fu'you'an'jian'zhi'ze'de'you'guan'bu'men'zhu'ji'shang'bao'shi'gu'qing'kuang 安监部门和负有安监职责的有关部门逐级上报事故情况
'an'jian'zhi'ze 安监职责
'an'pai'zhuan'men'ren'yuan 安排专门人员
'an'quan'biao'zhi 安全标志
'an'quan'cao'zuo'gui'cheng 安全操作规程
'an'quan'cao'zuo'ji'neng 安全操作技能
'an'quan'cuo'shi'de'luo'shi 安全措施的落实
'an'quan'fang'hu'cuo'shi 安全防护措施
'an'quan'ji'shu'te'xing 安全技术特性
'an'quan'jian'ce 安全检测
'an'quan'jian'cha'yu'xie'tiao 安全检查与协调
'an'quan'jian'yan 安全检验
'an'quan'jing'shi'biao'zhi 安全警示标志
'an'quan'ju'li 安全距离
'an'quan'ping'jia 安全评价
'an'quan'ping'jia'ren'zheng'jian'ce'jian'yan'de'gong'zuo'ji'gou 安全评价认证检测检验的工作机构
'an'quan'ren'zheng 安全认证
'an'quan'she'bei 安全设备
'an'quan'she'bei'de'an'zhuang'shi'yong'jian'ce'gai'zao'he'bao'fei'bu'fu'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'de 安全设备的安装使用检测改造和报废不符合国家标准或者行业标准的
'an'quan'she'bei'de'she'ji'zhi'zao'an'zhuang'shi'yong'jian'ce'wei'xiu'gai'zao'he'bao'fei'ying'dang'fu'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun 安全设备的设计制造安装使用检测维修改造和报废应当符合国家标准或者行业标准
'an'quan'she'bei'qi'cai 安全设备器材
'an'quan'she'shi 安全设施
'an'quan'she'shi'she'ji 安全设施设计
'an'quan'she'shi'she'ji'shi'gong 安全设施设计施工
'an'quan'she'shi'wei'jing'yan'shou'he'ge'de 安全设施未经验收合格的
'an'quan'sheng'chan'bao'zhang 安全生产保障
'an'quan'sheng'chan'de'jian'du'guan'li 安全生产的监督管理
'an'quan'sheng'chan'fa 安全生产法
'an'quan'sheng'chan'guan'li 安全生产管理
