'ai'mi 艾米
'an'de'li'ya 安德莉亚
'ao'di'si 奥狄斯
'bei'chen 北辰
'bing'long'wang 冰龙王
'bo'sai'dong 波塞冬
'cao'zhi'zhu'er 草之珠儿
'chi'ji 赤姬
'di'mo 迪莫
'gua'gua 呱呱
'ha'pu'luo'si 哈普洛斯
'hong'se'shan'dian 红色闪电
'huo'hua 火花
'huo'zhi'chi'yun 火之炽云
'jin'hun'shou'ge'zhe 禁魂收割者
'jin'pi 金皮
'jiu'tian'nv'wang 九天女王
'lian'yu'xiu'luo'huang 炼狱修罗皇
'liu'ying'die'hou 流萤蝶后
'long'zhi'fei'er 龙之飞儿
'mei'hua'lu 梅花鹿
'meng'zhi'rong'qiu 萌之绒球
'mi'zhi'shen'shi 迷之神使
'miao'miao 喵喵
'mie'que'zhan'long'wang 灭却战龙王
'mie'shi'zhi'wei 灭世之尾
'pu'gong'ying 蒲公英
'shi'zhi'pa'kou 石之帕蔻
'shui'lan'lan 水蓝蓝
'shui'qiu'qiu 水球球
'tu'zhi'zeng'du'du 土之增嘟嘟
'xuan'yin'niu'mo'wang 炫音牛魔王
'ya'ji'ji 鸭吉吉
'yi'li'sha'bai 伊丽莎白
