'cun'niang 存娘
'dong'dian 动点
'ge'zi 鸽子
'hua'xia'feng'yun'luo'shui'tian'yi 华夏风韵洛水天依
'kan'wo'lao'po 看我老婆
'luo'tian'yi 洛天依
'mo'qing'xian 墨清弦
'nan'bei'sai'gao 南北赛高
'ni'de'hao'you'beng'di'yi'shang'xian 你的好友蹦迪依上线
'ni'de'hao'you'kuai'zi'yan'shang'xian 你的好友筷子言上线
'ni'de'hao'you'la'zhu'ling'shang'xian 你的好友蜡烛绫上线
'quan'yu'tian'xia 权御天下
'shuang'xue'qian'nian 霜雪千年
'wu'gui 乌龟
'xin'tiao'tong'bu'de'shi'guang 心跳同步的时光
'yan'chu'yi'ren'ge'ge'qi'wan'ren'hong 言出一人歌歌起万人红
'yan'he 言和
'ye'wu 夜舞
'yue'zheng'ling 乐正绫
'yue'zheng'long'ya 乐正龙牙
'yue'zheng'si'bai'qu'ling'qi'wan'nian'hong 乐正司百曲绫起万年红
'zheng'yu'mo'ke 徵羽摩柯
'zhui'guang'shi'zhe 追光使者
