'ba'chong'ying 八重樱
'bai'bi'xian'zi 百碧仙子
'bai'wang'shi'zi 白王狮子
'bai'yun'shan'gao'shan'mu'dan'yuan 白云山高山牡丹园
'bao'lan'guan 宝蓝冠
'bao'shi'lan 宝石兰
'bing'ling'zhao'hong'shi 冰凌罩红石
'cai'die'fei'wu 彩蝶飞舞
'chang'jing'fu'rong 长颈芙蓉
'chi'long'huan'cai 赤龙换彩
'chun'hua'qiu'yue'qu 春花秋月区
'da'zong'zi 大棕紫
'dan'lu'yan 丹炉焰
'dao'jin 岛锦
'di'cheng'chun'yu'mu 帝城春欲暮
'di'guan 帝冠
'dong'hai'lang'hua 东海浪花
'dou'kou'nian'hua 豆蔻年华
'dou'lv 豆绿
'er'qiao 二乔
'fei'yan'hong'zhuang 飞燕红妆
'fen'lan'tuo'gui 粉兰托桂
'gao'shan'mu'dan 高山牡丹
'gao'shan'mu'dan'yuan 高山牡丹园
'ge'jin'zi 葛巾紫
'gong'dao'mu'dan'shi 共道牡丹时
'guan'qun'fang 冠群芳
'guan'shi'mo'yu 冠世墨玉
'gui'fei'cha'cui 贵妃插翠
'gui'fei'shang'yue 贵妃赏月
'guo'ji'mu'dan'jing'pin'qu 国际牡丹精品区
'guo'ji'mu'dan'yuan 国际牡丹园
'guo'se'mu'dan'yuan 国色牡丹园
'hai'huang 海黄
'han'mu'dan 寒牡丹
'he'hua'xing 荷花型
'hei'hai'dao 黑海道
'hei'tao'huang'hou 黑桃皇后
'hong'chen'zi'mo 红尘紫陌
'hong'lou'chun'meng 红楼春梦
'hu'chuan'han 户川寒
'hu'hong 胡红
'hua'kai'shi'jie'dong'jing'cheng 花开时节动京城
'huang'guan'tai'ge'xing 皇冠台阁型
'huang'guan'xing 皇冠型
'huo'lian'jin'dan 火炼金丹
'ji'guan'dong'gao'shan'mu'dan'yuan 鸡冠洞高山牡丹园
'jiao'rong'san'bian 娇容三变
'jiao'zi'hong 姣子红
'jin'di 金帝
'jin'ge 金阁
'jin'gu'chun'qing 金谷春晴
'jin'huan'xing 金环型
'jin'si'guan'ding 金丝贯顶
'jin'xiu'jiu'du 锦绣九都
'jin'yu'liang'yuan 金玉良缘
'jiu'zui'yang'fei 酒醉杨妃
'ju'hua'tai'ge'xing 菊花台阁型
'ju'hua'xing 菊花型
'lan'tian'yu 蓝田玉
'ling'hua'xiao'cui 凌花晓翠
'liu'shi'ge 刘师阁
'lou'zi'tai'ge'xing 楼子台阁型
'luo'shen 洛神
'luo'yang'chun 洛阳春
'luo'yang'di'mai'hua'zui'yi 洛阳地脉花最宜
'luo'yang'guo'jia'mu'dan'yuan 洛阳国家牡丹园
'luo'yang'hong 洛阳红
'luo'yang'mu'dan'jia'tian'xia 洛阳牡丹甲天下
'luo'yang'mu'dan'tu 洛阳牡丹图
'luo'yang'yu'jin'xiang'hua'yuan 洛阳郁金香花园
'mei'yan 美艳
'mo'hai'jin'xie 墨海金屑
'mo'sa'jin 墨撒金
'mu'dan'jing'pin'qu 牡丹精品区
'mu'dan'you'wei'tian'xia'qi 牡丹尤为天下奇
'po'mo'zi 泼墨紫
'qian'ceng'tai'ge'xing 千层台阁型
'qiang'wei'tai'ge'xing 蔷薇台阁型
'qiang'wei'xing 蔷薇型
'qie'lan'dan'sha 茄蓝丹砂
'qing'jun'zhi'kan'luo'yang'cheng 请君只看洛阳城
'qing'long'wo'mo'chi 青龙卧墨池
'ruo'wen'gu'jin'xing'fei'shi 若问古今兴废事
'shan'hu'tai 珊瑚台
'shen'zhou'mu'dan'yuan 神州牡丹园
'sheng'dan'lu 盛丹炉
'shi'jin'mu'dan'yuan 什锦牡丹园
'shi'yu'yun 时雨云
'shou'an'hong 首案红
'si'he'lian 似荷莲
'sui'tang'cheng'yi'zhi'zhi'wu'yuan 隋唐城遗址植物园
'tai'ge'xing 台阁型
'tuo'gui'xing 托桂型
'wang'cheng'gong'yuan 王城公园
'wang'hong 王红
'wei'you'mu'dan'zhen'guo'se 唯有牡丹真国色
'wei'zi 魏紫
'wu'xing'hong 五星红
'xi'yuan'gong'yuan'mu'dan'yuan 西苑公园牡丹园
'xia'shuang'dong'mei'qu 夏爽冬梅区
'xiang'sui'mai'hua'qu 相随买花去
'xin'qi'fu'shen 新七福神
'xiu'qiu'tai'ge'xing 绣球台阁型
'xuan'xuan'che'ma'du 喧喧车马度
'yan'zhi'dian'yu 胭脂点玉
'yao'huang 姚黄
'ye'guang'bai 夜光白
'yin'fen'jin'lin 银粉金鳞
'yu'ban'bai 玉版白
'yu'mian'tao'hua 玉面桃花
'yu'pao'huang 御袍黄
'zhao'fen 赵粉
'zhao'he'meng 昭和梦
'zhong'guo'guo'hua'yuan 中国国花园
'zhu'sha'lei 朱砂垒
'zhuang'yuan'hong 状元红
'zi'hong'cheng'yan 紫红呈艳
'zi'lou'dian'cui 紫楼点翠
'zi'xia'guan 紫霞贯
