'bi'he'cha 闭合差
'bi'li'chi 比例尺
'bian'chang'zhong'wu'cha 边长中误差
'bian'tu 编图
'ce'hui'biao'zhun 测绘标准
'ce'hui'xue 测绘学
'ce'hui'yi'qi 测绘仪器
'ce'jiao'zhong'wu'cha 测角中误差
'ce'ju'yi 测距仪
'ce'liang'biao'zhi 测量标志
'ce'liang'chan'biao 测量觇标
'ce'liang'gui'fan 测量规范
'ce'liang'ping'cha 测量平差
'chang'cha 常差
'cu'cha 粗差
'da'di'ce'liang'xue 大地测量学
'da'di'ce'liang'yi'qi 大地测量仪器
'da'di'kong'zhi'shu'ju'ku 大地控制数据库
'da'di'yuan'dian 大地原点
'deng'gao'ju 等高距
'deng'gao'xian 等高线
'di'ji'xin'xi'xi'tong 地籍信息系统
'di'li'xin'xi'xi'tong 地理信息系统
'di'li'zuo'biao'can'kao'xi 地理坐标参考系
'di'li'zuo'biao'wang 地理坐标网
'di'ming 地名
'di'ming'shu'ju'ku 地名数据库
'di'ming'xue 地名学
'di'qiu'tuo'qiu 地球椭球
'di'qiu'xing'zhuang 地球形状
'di'qiu'yi 地球仪
'di'tu 地图
'di'tu'bian'zhi 地图编制
'di'tu'fu'zhi 地图复制
'di'tu'gui'fan 地图规范
'di'tu'ji 地图集
'di'tu'li'yong 地图利用
'di'tu'liang'suan 地图量算
'di'tu'sheng'chan 地图生产
'di'tu'shu'ju'ku 地图数据库
'di'tu'shu'ju'ku'guan'li'xi'tong 地图数据库管理系统
'di'tu'tou'ying 地图投影
'di'tu'xue 地图学
'di'tu'yin'shua 地图印刷
'di'tu'zhi'tu'xue 地图制图学
'di'xin'zuo'biao'xi 地心坐标系
'di'xing'shu'ju'ku 地形数据库
'di'xing'tu 地形图
'di'xing'tu'tu'shi 地形图图式
'dian'wei'zhong'wu'cha 点位中误差
'ding'wei'xi'tong 定位系统
'duo'yu'guan'ce 多余观测
'fang'li'wang 方里网
'fang'wei'jiao'zhong'wu'cha 方位角中误差
'fei'di'xing'she'ying'ce'liang 非地形摄影测量
'gao'cheng'ji'zhun 高程基准
'gao'cheng'xi'tong 高程系统
'gao'cheng'zhong'wu'cha 高程中误差
'gong'cheng'ce'liang'xue 工程测量学
'guan'xing'ce'liang'xi'tong 惯性测量系统
'guo'ji'ce'hui'lian'he'hui 国际测绘联合会
'guo'ji'ce'liang'shi'lian'he'hui 国际测量师联合会
'guo'ji'da'di'ce'liang'xue'xie'hui 国际大地测量学协会
'guo'ji'da'di'ce'liang'xue'yu'di'qiu'wu'li'xue 国际大地测量学与地球物理学
'guo'ji'di'tu'xue'xie'hui 国际地图学协会
'guo'ji'hai'dao'ce'liang'zu'zhi 国际海道测量组织
'guo'ji'she'ying'ce'liang'yu'yao'gan'xue'hui 国际摄影测量与遥感学会
'guo'tu'ji'chu'xin'xi'xi'tong 国土基础信息系统
'hai'ba 海拔
'hai'jun'dao'hang'wei'xing'xi'tong 海军导航卫星系统
'hai'yang'ce'hui 海洋测绘
'hang'kong'hang'tian'she'ying 航空航天摄影
'hang'kong'she'ying'ce'liang 航空摄影测量
'hang'kong'yao'gan 航空遥感
'hang'tian'she'ying'ce'liang 航天摄影测量
'hang'tian'yao'gan 航天遥感
'huang'hai'ping'jun'hai 黄海平均海
'ji'ben'bi'li'chi 基本比例尺
'ji'zhu'di'tu'zhi'tu 机助地图制图
'jie'xi'she'ying'ce'liang 解析摄影测量
'jie'yi 解译
'jing 精
'jing'du'gu'ji 精度估计
'jing'wei'wang 经纬网
'jue'dui'wu'cha 绝对误差
'li'ti'ce'tu'yi 立体测图仪
'lin'dai'fang'li'wang 邻带方里网
'mo'ni'she'ying'ce'liang 模拟摄影测量
'ou'ran'wu'cha 偶然误差
'pan'du 判读
'pan'shi 判释
'ping'jun'hai 平均海
'ping'mian'tu 平面图
'pu'tong'di'tu 普通地图
'quan'shu'zi'hua'zi'ce'tu'xi'tong 全数字化自测图系统
'she'ying'ce'liang'yi'qi 摄影测量仪器
'she'ying'ce'liang'yu'yao'gan'xue 摄影测量与遥感学
'shu'zhi'di'xing 数值地型
'shu'zi'di'tu'mo'xing 数字地图模型
'shu'zi'she'ying'ce'liang 数字摄影测量
'shu'zi'she'ying'ce'liang'gong'zuo'zhan 数字摄影测量工作站
'shui'xia'she'ying'ce'liang 水下摄影测量
'shui'zhun'yuan'dian 水准原点
'tai'kong'she'ying'ce'liang 太空摄影测量
'tu'di'xin'xi'xi'tong 土地信息系统
'tu'xiang 图像
'tu'xing 图形
'tu'xing'shu'chu'she'bei 图形输出设备
'tu'xing'shu'ru'she'bei 图形输入设备
'tu'xing'xian'shi 图形显示
'wu'cha'tuo'yuan 误差椭圆
'xi'tong'wu'cha 系统误差
'xian'cha 限差
'xiang'dui'wu'cha 相对误差
'yao'gan'mo'shi'shi'bie 遥感模式识别
'yao'gan'tu'xiang'chu'li 遥感图象处理
'yao'gan'zhi'tu 遥感制图
'ying'xiang 影像
'zhi'tu'zhuan'jia'xi'tong 制图专家系统
'zhong'guo'ce'hui'xue'hui 中国测绘学会
'zhong'hua'ren'min'gong'he'guo'ce'hui'fa 中华人民共和国测绘法
'zhong'li'chang 重力场
'zhong'li'ji'zhun'wang 重力基准网
'zhong'li'shu'ju'ku 重力数据库
'zhong'li'yi 重力仪
'zhong'wu'cha 中误差
'zhuan'ti'di'tu 专题地图
'zhun'que'du 准确度
'zi'dong'hua'zhi'tu 自动化制图
'zi'dong'hui'tu 自动绘图
'zuo'biao'ge'wang 坐标格网
'zuo'biao'zhong'wu'cha 坐标中误差
