'a'la'si'jia'xia'xue 阿拉斯加狭鳕
'an'wen'dong'fang'tun 暗纹东方鲀
'bai'ban'xing'sha 白斑星鲨
'bai'bian'ju'lin'yu 白边锯鳞鱼
'bai'chang 白鲳
'bai'she'wei'jia'shen 白舌尾甲鲹
'bai'shi'yin'han'yu 白氏银汉鱼
'ban'bing'tian'zhu'diao 斑柄天竺鲷
'ban'dian'ji'long'chang 斑点鸡笼鲳
'ban'hua'she'ta 半滑舌蹋
'ban'ji 斑鰶
'bao'dao'yu 宝刀鱼
'bao'shi'shi'ban'yu 宝石石斑鱼
'bi'mu'yu 比目鱼
'bian'hu'die'yu 鞭蝴蝶鱼
'bian'tou'ha'na'sha 扁头哈那鲨
'bo'jia'yu 玻甲鱼
'cha'wen'hu'die'yu 叉纹蝴蝶鱼
'chang'he'chun'shen 长颌鰆鯵
'chang'he'chun'shen 长颌鰆鲹
'chang'qi'jin'qiang'yu 长鳍金枪鱼
'chang'she'zi 长蛇鯔
'chang'she'zi 长蛇鲻
'chang'tiao'she'zi 长条蛇鲻
'chang'wei'da'yan'diao 长尾大眼鲷
'chang'wen'si'shen 长吻丝鲹
'chi'dian'shi'ban'yu 赤点石斑鱼
'chi'hong 赤魟
'chong'wen'dong'fang'tun 虫纹东方鲀
'ci'chang 刺鲳
'da'ban'shi'lu 大斑石鲈
'da'huang'yu 大黄鱼
'da'jia'shen 大甲鯵
'da'long'xian'yu 大泷线鱼
'da'ma'ha'yu 大马哈鱼
'da'tan'tu'yu 大弹涂鱼
'da'xi'yang'shen'xian 大西洋神仙
'da'yan'diao 大眼鲷
'da'yan'jin'qiang'yu 大眼金枪鱼
'da'yuan'e'zhen'yu 大圆鄂针鱼
'dai'wen'tiao'ta 带纹条鳎
'dai'yu 带鱼
'dan'dai'fei'li 单带绯鲤
'dao'ji 刀鲚
'di'tu'yu 地图鱼
'dong'fang'hu'jian 东方狐鲣
'duan'qi'hong'niang'yu 短鳍红娘鱼
'duan'wei'da'yan'diao 短尾大眼鲷
'duan'wei'tu'wen'man 短尾突吻鳗
'duan'yong 短鯒
'dun'wen'huang'gai'die 钝吻黄盖鲽
'duo'lin'xi 多鳞鱚
'e'xing'duan'ti'man 鳄形短体鳗
'e'yong 鳄鯒
'er'chang'ci'diao 二长刺鲷
'er'chang'ji'diao 二长棘鲷
'er'dai'shuang'ju'yu 二带双锯鱼
'er'se'da'ying'zui'yu 二色大鹦嘴鱼
