'an'ji'gang'kou 安吉港口
'bei'chuan 北川
'bing'keng 冰坑
'cao'dang'shui'ku 草荡水库
'chang'chao'shui'ku 长潮水库
'chang'lin'gai 长林垓
'chang'xing 长兴
'da'he'kou'shui'ku 大河口水库
'da'jie'pai 大界牌
'da'qian'zha 大钱闸
'da'zao'wu 大造坞
'dai'xi 埭溪
'de'qing'da'qiao 德清大桥
'de'qing'zha 德清闸
'di'pu 递铺
'dong'ling 董岭
'dui'he'kou'shui'ku 对河口水库
'er'jie'ling'shui'ku 二界岭水库
'fang'xian 访贤
'feng'che'kou'shui'ku 风车口水库
'feng'cheng 丰城
'feng'huang'shui'ku 凤凰水库
'fu'shi'shui'ku 赋石水库
'fu'tang 浮塘
'fu'wu'shui'ku 福坞水库
'gang'kou 港口
'gao'feng'shui'ku 高峰水库
'ge'ming'shui'ku 革命水库
'gu'zhu'shui'ku 顾渚水库
'guan'men'chong'shui'ku 管门冲水库
'hang'chang'qiao 杭长桥
'hang'gai 杭垓
'he'mu'qiao 和睦桥
'he'ping'shui'ku 和平水库
'heng'jie'shui'ku 横界水库
'heng'tang'cun 横塘村
'hong'qi'shui'ku 红旗水库
'hu'zhou'chuan'zha'xia 湖州船闸下
'huai'hua'kan 槐花坎
'huan'lou'zha 幻娄闸
'hui'long'qiao 回龙桥
'jia'pu 夹浦
'jiu'mu'tian 九亩田
'lao'ling 劳岭
'lao'shi'kan'shui'ku 老石坎水库
'li'cun 李村
'li'shan'shui'ku 利山水库
'ling'hu 菱湖
'long'wang'dian 龙王殿
'lu'jia'zhuang'shui'ku 陆家庄水库
'luo'jia'fei'shui'ku 罗家费水库
'luo'she'xin'zha'shang 洛舍新闸上
'luo'she'zha 洛舍闸
'lv'shan 吕山
'ma'feng'an 马蜂庵
'mai'jia'wu'shui'ku 麦家坞水库
'mei'xi 梅溪
'mo'gan'shan 莫干山
'nan'lu'heng'ling 南路横岭
'nan'shan'shui'ku 南山水库
'nan'xi 南溪
'nan'xun 南浔
'nian'yu'kou'zha 鲇鱼口闸
'nian'yu'kou'zha'xia 鲇鱼口闸下
'pan'cun'shui'ku 潘村水库
'qian'keng'qiao 钱坑桥
'qing'long 青龙
'qing'shan'shui'ku 青山水库
'qing'shan'zha 青山闸
'qing'shan'zha'xia 青山闸下
'rui'jia'wu'shui'ku 芮家坞水库
'san'ba'shui'ku 三八水库
'san'li'qiao 三里桥
'shang'bao 上堡
'shang'gao'wu 上皋坞
'shang'lang 上朗
'shang'ru 尚儒
'shao'kang'shui'ku 稍康水库
'shen'you'wu'shui'ku 神游坞水库
'sheng'wu'shui'ku 盛坞水库
'shi'chong'shui'ku 石冲水库
'shi'ma'shui'ku 石马水库
'shi'shan'ling'shui'ku 石山岭水库
'shi'wu'ling'shui'ku 石坞岭水库
'shou'rong'shui'ku 受荣水库
'shuang'ju'tang'shui'ku 双举塘水库
'shuang'lin 双林
'shuang'she 双舍
'si'an'shui'ku 泗安水库
'su'zi'ling'shui'ku 宿子岭水库
'tang'she 唐舍
'tao'hua'jie'shui'ku 桃花界水库
'tao'niu'ling'shui'ku 逃牛岭水库
'tian'ping'qiao 天平桥
'tian'zi'gang'shui'ku 天子岗水库
'tong'keng 桐坑
'wu'feng'shui'ku 五丰水库
'wu'shen'men'zha 吴沈门闸
'wu'shen'men'zha'xia 吴沈门闸下
'wu'si'shui'ku 五四水库
'xi'mu 西亩
'xi'yang'shan'shui'ku 西羊山水库
'xian'long 仙龙
'xiang'xi'zha'wai'gang 湘溪闸外港
'xiang'yang'shui'ku 向阳水库
'xiang'yue'shui'ku 象跃水库
'xiao'mei'kou 小梅口
'xin'feng'qiao'wai'gang 新丰桥外港
'xin'shi 新市
'yang'jia'bu 杨家埠
'yin'keng 银坑
'you'che'shui'ku 油车水库
'yu'yue 禹越
'zhang'li 章里
'zhao'shan'shui'ku 照山水库
'zhao'wan'shui'ku 赵湾水库
'zhi'cun 芝村
'zhong'guan 钟管
'zhou'wu'shui'ku 周吴水库
'zhu'dao'gang 诸道岗
