'a'wei'ci 阿嵬茨
'a'wei'ci'de'yi'zhi 阿嵬茨的意志
'ai'da'bei'sa'liu'shi 艾达贝萨流士
'ai'ge 艾歌
'ai'li'ao'te 埃利奥特
'ai'li'ao'te'nai'te'lei'yi 埃利奥特奈特雷伊
'ai'li'si 艾丽丝
'ao'si'ka'bei'sa'liu'shi 奥斯卡贝萨流士
'ao'zi 奥兹
'ao'zi'bei'sa'liu'shi 奥兹贝萨流士
'ba'si'ka'bi'lu 巴司卡比鲁
'bu'lei'ke 布雷克
'fan'gu 梵谷
'fei'li'pu 菲利浦
'ge'lian'ba'si'ka'bi'lu 格连巴斯卡比鲁
'ji'er'ba'te 基尔巴特
'ji'er'ba'te'nai'te'lei'yi 基尔巴特奈特雷伊
'jie'ke 杰克
'jie'ke'bei'sa'liu'shi 杰克贝萨流士
'jing'ji'de'bi'zhong 静寂的壁钟
'la'si'wei'ji'xue'yuan 拉斯维基学院
'lei'mu 雷姆
'li'ao 里奥
'lian'suo 连锁
'ling'ti 灵体
'lu'fa'si'ba'er'ma 路法斯巴尔马
'luo'di 洛蒂
'nuo'yi'zi'zu'ba'er 诺伊兹祖巴尔
'pan'duo'la 潘朵拉
'pan'duo'la'zhi'xin 潘朵拉之心
'pu'ke 扑克
'qi'yue'zhe 契约者
'ran'xue'hei'tu 染血黑兔
'sha'bu'li'ye 沙布利耶
'si'da'gong'jue 四大公爵
'wang'yue'chun 望月淳
'wei'fa'qi'yue'zhe 违法契约者
'wen'sen'te 文森特
'wen'sen'te'nai'te'lei'yi 文森特奈特雷伊
'xia'luo 夏萝
'xia'luo'lan'zi'hua'si 夏萝兰兹华斯
'xiao'mian'mao 笑面猫
'xie'li'er'lan'zi'hua'si 谢莉尔兰兹华斯
'xie'li'lan'zi'hua'si 谢莉兰兹华斯
'xin'ke'lai'er'jia 辛克莱尔家
'zha'ke'xi'zi'bu'lei'ke 扎克席兹布雷克
