'an'ben'shi'li 岸本实理
'an'tian'jing'chun 安田靖春
'an'xi'jiao'lian 安西教练
'ban'cang'da'er'lang 板仓大二郎
'cai'zi 彩子
'chang'gu'chuan'yi'zhi 长谷川一志
'chao'qi'zhe'shi 潮崎哲士
'chi'mu'gang'xian 赤木刚宪
'chi'mu'qing'zi 赤木晴子
'chi'shang 池上
'cun'yu 村雨
'da'nan'xiong'er 大楠雄二
'fu'tian'ji'zhao 福田吉兆
'gao'gong'wang 高宫望
'gao'sha'yi'ma 高砂一马
'gao'ye'zhao'yi 高野昭一
'gong'cheng'liang'tian 宫城良田
'he'tian'mei'ji'nan 河田美纪男
'he'tian'ya'shi 河田雅史
'hua'xing'tou 花形透
'jiao'tian'wu 角田悟
'jue'tian'de'nan 崛田德男
'liu'chuan'feng 流川枫
'mu'mu'gong'yan 木暮公延
'mu'shen'yi 牧绅一
'nan'lie 南烈
'nei'teng'tie'ye 内藤铁也
'qing'tian'xin'chang 清田信长
'san'jing'shou 三井寿
'san'pu'tai'gao'zhong 三浦台高中
'sang'tian'deng'ji 桑田登纪
'sen'zhong'kuan 森重宽
'shen'jin'yi'cheng 深津一成
'shen'zong'yi'lang 神宗一郎
'shi'jing'jian'tai'lang 石井健太郎
'shi'niao'jing'ping 矢鸟京平
'shi'xiao'jing'ping 矢崤京平
'shui'hu'yang'ping 水户洋平
'song'ben'ren 松本稔
'teng'zhen'jian'si 藤真健司
'tian'gang'mao'yi 田冈茂一
'tu'wu'chun 土屋淳
'wu'teng'zheng 武藤正
'xian'dao'zhang 仙道彰
'xiang'tian'yan'yi 相田彦一
'yan'tian'san'qiu 岩田三秋
'ye'bian'jiang'guang 野边将广
'ye'jian'zhong'yi'lang 野间忠一郎
'yi'zhi'cang'cong 一之仓聪
'ying'mu'hua'dao 樱木花道
'yong'ye'man 永野满
'yu'zhu'chun 鱼住纯
'yu'zi'chai 御子柴
'yue'ye'hong'ming 越野宏明
'ze'bei'rong'zhi 泽北荣志
'ze'bei'rong'zhi 泽北荣治
'zhi'cao'zhi'zhi 植草智之
'zhu'xing'da 诸星大
'zuo'zuo'gang'zhi 佐佐冈智
