'ba'gua'kong'zhang 八卦空掌
'ba'gua'zhang 八卦掌
'ba'men'dun'jia 八门遁甲
'ba'qi'da'she'zhi'shu 八歧大蛇之术
'bian'shen'shu 变身术
'bing'dun'jiao'bai'jing 冰遁角白鲸
'chao'kong'que 朝孔雀
'ci'chu'fei'zhi'chu 此处非之处
'da'bao'zang 大爆葬
'da'yu'luo'xuan'wan 大玉螺旋丸
'di'bao'tian'xing 地爆天星
'duo'chong'ying'fen'shen'zhi'shu 多重影分身之术
'fen'shen'shu 分身术
'feng'bao'dan'zhi'shu 蜂爆弹之术
'feng'bao'fa'zhen 风暴法阵
'feng'dao'zhi'shu 蜂道之术
'feng'dun'cui'lan'lie'feng 风遁翠兰烈风
'feng'dun'da'lian'you'zhi'shu 风遁大镰铀之术
'feng'dun'da'tu'po 风遁大突破
'feng'dun'hua'san'wu 风遁花散舞
'feng'dun'lian'kong'dan 风遁练空弹
'feng'dun'wu'xian'sha'chen'da'tu'po 风遁无限沙尘大突破
'feng'dun'ya'hai 风遁压害
'feng'mo'ren'fa'yan'cha'luo'shu'fu 风魔忍法炎茶罗束缚
'feng'mo'ren'jian'zhan'ma'dao 封魔忍剑斩马刀
'feng'mo'shou'li'jian 风魔手里剑
'feng'qian'ben'zhi'shu 蜂千本之术
'feng'qie 风切
'feng'yin'shu'huan'long'jiu'feng'jin 封印术幻龙九封禁
'gen'zong'shu 跟踪术
'ha'ma'duan'dao'zhan 蛤蟆短刀斩
'ha'ma'shi'dao'shu 蛤蟆食道术
'ha'ma'ya'ta'zhi'shu 蛤蟆压塌之术
'ha'ma'you'yan'dan 蛤蟆油炎弹
'hao'long'huo'zhi'shu 豪龙火之术
'hei'an'xing'zhi'shu 黑暗行之术
'hou'gong'zhi'shu 后宫之术
'huan'chong'shu 唤虫术
'huan'shu'hu'li'xin'zhong'zhi'shu 幻术狐狸心中之术
'huan'shu'nie'pan'jing'she'zhi'shu 幻术涅槃精舍之术
'huan'shu'xia'cong'zhe'zhi'shu 幻术霞从者之术
'hui'tian 回天
'huo'dun'da'huo'qiu'zhi'shu 火遁大火球之术
'huo'dun'feng'xian'huo'zhi'shu 火遁凤仙火之术
'huo'dun'hao'huo'qiu'zhi'shu 火遁豪火球之术
'huo'dun'hui'ji'shao 火遁灰积烧
'huo'dun'huo'long'dun 火遁火龙遁
'huo'dun'huo'long'yan'dan 火遁火龙炎弹
'huo'dun'long'huo'zhi'shu 火遁龙火之术
'huo'dun'tou'ke'ku 火遁头刻苦
'jie'jie'men'hu'fu'shu'ba'men'bi'chang 结界门护符术八门闭场
'jin'fu'zhi'shu 金缚之术
'jing'dun'jie'jing'wu'jiao'lao 晶遁结晶五角牢
'ju'feng'shui'wo'zhi'shu 飓风水涡之术
'jue'dui'fang'yu 绝对防御
'kong'que'shuang'zi'jian'qian'mian'feng 孔雀双子剑千面风
'kong'que'xuan'feng 孔雀旋风
'kui'lei'shu 傀儡术
'lai'ying'qian'shou'sha 来迎千手杀
'lei'dun'bi'lei'zhen 雷遁避雷针
'lei'dun'de'zou 雷遁地走
'lei'dun'lei'fu 雷遁雷缚
'lei'dun'wei'an 雷遁伟暗
'lei'meng'lei'ren 雷梦雷人
'lei'qie 雷切
'lei'qiu 雷球
'lian'you'zhi'shu 镰鼬之术
'long'fen'shen'zhi'shu 胧分身之术
'long'yan'fu'ji 龙眼伏击
'luo'xuan'lian'tan 螺旋连弹
'luo'xuan'shou'li'jian 螺旋手里剑
'luo'xuan'wan 螺旋丸
'ming'ren'lian'tan 鸣人连弹
'mo'di'huan'wu'cao'qu 魔笛幻舞操曲
'mo'jing'bing'jing 魔晶冰晶
'mu'dun'shu'fu'yong'zang 木遁树缚永葬
'mu'ye'da'xuan'feng 木叶大旋风
'mu'ye'xuan'feng 木叶旋风
'nai'lao'jian'zhi'shu 奈烙见之术
'qi'lin 麒麟
'qian'nian'sha 千年杀
'qian'niao 千鸟
'qian'niao'liu 千鸟流
'qian'sha'shui'xiang 千杀水翔
'qian'ying'she'shou 潜影蛇手
'qing'ting'ren'fa'yong'chang'zhe 蜻蜓忍法咏唱者
'ren'fa'chuang'zao'zai'sheng 忍法创造在生
'ren'fa'feng'zhi'zhu 忍法风蜘蛛
'ren'fa'ha'ma'kou'fu'shu 忍法蛤蟆口缚术
'ren'fa'jia'luo'shou'li'jian 忍法甲罗手里剑
'ren'fa'xin'dan'shen'zhi'shu 忍法心弹身之术
'ren'fa'yan'xue'beng 忍法岩雪崩
'ren'fa'zhao'huan'hui'tu'zhuan'shen 忍法召唤秽土转身
'ren'fa'zhao'huan'tu'dun'zhui'ya'shu 忍法召唤土遁追牙术
'ren'fa'zhen'di'zang 忍法针地藏
'ren'fa'zhi'zhu'fu 忍法蜘蛛缚
'ren'feng'zhi'ren 忍风之刃
'ren'ju'tian'suo'ji 忍具天锁祭
'ren'shu'chao'shou'wei'hua 忍术超兽伪画
'ren'shu'feng'qun'shu 忍术蜂群术
