'a'si'ma 阿斯玛
'ban'zang 半藏
'bi'sheng 必胜
'da'lu'yi 达鲁伊
'di'yu 地狱
'du'huo 毒火
'e'gui 饿鬼
'feng'ying 风影
'feng'zhu 风主
'gao'lian'ji 高连击
'gen'xing 根性
'gui'jiao 鬼鲛
'hei'fei 黑飞
'huan'zhen 换阵
'huo'zhu 火主
'jie'jie 结界
'jun'ma'lv 君麻吕
'kong'zhi 控制
'lao'zi 老紫
'lei'zhu 雷主
'liu'wei 六尾
'ma'bi 麻痹
'ma'bu'yi 麻布衣
'ming'ren 鸣人
'po'bi'sheng 破必胜
'qi'la'bi 奇拉比
'qi'wei 七尾
'qiang'zhe 强者
'ren'jie 忍界
'ren'jie'da'zhan 忍界大战
'ren'ju 忍具
'ren'kao 忍考
'ren'zhan 忍战
'ren'zhu'li 人柱力
'ru'zhen 入阵
'san'chuan 三船
'shang'lu 上路
'sheng'cun 生存
'shi'lang 十郎
'shou'ju 手鞠
'shui'hu'wei 水护卫
'shui'ying 水影
'shui'zhu 水主
'si'wei 四尾
'tu'ying 土影
'tu'zhu 土主
'tuan'zang 团藏
'wei'shou 尾兽
'wo'ai'luo 我爱罗
'wu'wei 五尾
'xi'lan 吸蓝
'xia'lu 下路
'xian'jie 仙界
'xian'ming 仙鸣
'xu'you 须鼬
'xu'zuo 须佐
'yang'zhu 养猪
'yi'lu'ka 伊鲁卡
'yu'gao 羽高
'zhen'rong 阵容
'zhong'lu 中路
'zu'dui 组队
'zu'dui'fu'ben 组队副本
'zu'zhi 组织
'zu'zhi'ben 组织本
'zu'zhi'fu'ben 组织副本
'zu'zhi'zhan 组织战
'zuo'zhu 佐助
