'an'dian'niu'dian'han 按电钮点焊
'an'hu'han 氨弧焊
'an'quan'ji'shu'gui'fan 安全技术规范
'an'quan'xi'shu 安全系数
'an'xing'han 鞍形焊
'an'zhuang'han 安装焊
'an'zhuang'han'jie 安装焊接
'an'zhuang'ji'zhun'yuan 安装基准圆
'ao'cao'han 凹槽焊
'ao'han'feng 凹焊缝
'ao'jiao'han 凹角焊
'ao'jiao'han'feng 凹角焊缝
'ao'jiao'han'hou 凹角焊喉
'ao'keng 凹坑
'ao'mian'han 凹面焊
'ao'mian'han'feng 凹面焊缝
'ao'mian'tian'jiao'han 凹面填角焊
'ao'shi'ti 奥氏体
'ao'shi'ti 奥矢体
'ao'shi'ti'gang'lie'wen'shi'yan 奥氏体钢裂纹试验
'ao'shi'ti'han'tiao 奥氏体焊条
'ao'xing'han'feng 凹形焊缝
'ao'xing'jiao'han'feng 凹形角焊缝
'ba'guan'mo 拔管模
'ba'han'jie'jie'gou'yu'sheng'chan 八焊接结构与生产
'ba'te'er'han'dao'xia'lie'wen'shi'yan 巴特尔焊道下裂纹试验
'bai'dong'han 摆动焊
'bai'dong'han'dao 摆动焊道
'bai'ye'chuang'fen'li'qi 百叶窗分离器
'ban'bian'yu'wan 板边预弯
'ban'dian'ya'li 斑点压力
'ban'ji'dian'zha'han 板极电渣焊
'ban'ji'dui'han'shi'yan 板极堆焊试验
'ban'juan'han 板卷焊
'ban'qiu'xing'feng'tou 半球形封头
'ban'rong'hua'qu 半熔化区
'ban'shi'kong'qi'yu're'qi 板式空气预热器
'ban'tiao'ma'shi'ti 板条马氏体
'ban'yuan'zhu'shi'yan'fa 办圆柱试验法
'ban'yuan'zhu'shi'yan'fa 半圆柱试验法
'ban'zi'dong'dian'hu'han 半自动电弧焊
'ban'zi'dong'dian'hu'han'ji 半自动电弧焊机
'ban'zi'dong'han 半自动焊
'ban'zi'dong'han'jie 半自动焊接
'ban'zi'dong'han'jie'ji 半自动焊接机
'ban'zi'dong'hu'han 半自动弧焊
'ban'zi'dong'hu'han'ji 半自动弧焊机
'ban'zi'dong'jin'shu'dian'hu'han 半自动金属电弧焊
'ban'zi'dong'mai'hu'han 半自动埋弧焊
'bao'ban'han'jie 薄板焊接
'bao'ban'han'jie'lie'wen'shi'yan 薄板焊接裂纹试验
'bao'hong'su'du 爆轰速度
'bao'hu'ceng 保护层
'bao'hu'dian'hu'han 保护电弧焊
'bao'hu'qi'fen'qian'han 保护气氛钎焊
'bao'hu'qi'ti 保护气体
'bao'hu'qi'ti'liu'liang 保护气体流量
'bao'hu'shi'dian'hu'han 保护式电弧焊
'bao'liu'chen'dian 保留衬垫
'bao'liu'dian'ban 保留垫板
'bao'po'han'jie 爆破焊接
'bao'po'han'jie'chang 爆破焊接厂
'bao'qiang'guan'guo're'qi 包墙管过热器
'bao'tong'gang'si 包铜钢丝
'bao'xin'han'tiao'han'jie 包芯焊条焊接
'bao'xue 刨削
'bao'za'shi'duo'ceng'yuan'tong 包扎式多层圆筒
'bao'za'shi'yuan'tong 包扎式圆筒
'bao'zha'cheng'xing 爆炸成型
'bao'zha'dian'han 爆炸点焊
'bao'zha'guo'du 爆炸过渡
'bao'zha'han 爆炸焊
'bao'zha'han'can'shu 爆炸焊参数
'bao'zha'han'jie 爆炸焊接
'bao'zha'su'du 爆炸速度
'bao'zha'xian'han 爆炸线焊
'bao'zheng'xiao'lv 保证效率
'bei'fu'rong'jie 被覆熔接
'bei'mian'bao'xue 背面刨削
'bei'mian'han 背面焊
'bei'mian'han'feng 背面焊缝
'bei'mian'rong'jie 背面熔接
'bei'mian'yu'gao 背面余高
'bei'wan'shi'yan 背弯试验
'bi'jian'ju'li 臂间距离
'bi'shi'jia'ya'qi'han 闭式加压气焊
'bi'shi'rong'han 闭室熔焊
'bian'han 边焊
'bian'jie'xiao'ying 边界效应
'bian'su'song'si'fang'shi 变速送丝方式
'bian'su'song'si'ji'gou 变速送丝机构
'bian'xie'shi'hu'han'ji 便携式弧焊机
'bian'ya'yun'xing 变压运行
'bian'yuan'han 边缘焊
'bian'yuan'han'feng 边缘焊缝
'bian'yuan'han'jie 边缘焊接
'bian'yuan'jia'gong 边缘加工
'bian'yuan'jiao 边缘角
'bian'yuan'jiao'jiao'zhuang'jie'gou 边缘角角状结构
'bian'zhi'han'tiao 编织焊条
'biao'ding'wei'sheng'kong'qi'xu'yao'liang 标定卫生空气需要量
'biao'mian'cu'cao'hua'chu'li 表面粗糙化处理
'biao'mian'ge'ju 表面割炬
'biao'mian'han 表面焊
'biao'mian'han'feng 表面焊缝
'biao'mian'han'feng'jin'shu'de'xing'cheng 表面焊缝金属的形成
'biao'mian'han'jie 表面焊接
'biao'mian'jia'ying'dian'hu'han 表面加硬电弧焊
'biao'mian'lie'wen 表面裂纹
'biao'mian'qing'li 表面清理
'biao'mian'shi'jian'wen'qi 表面式减温器
'biao'mian'wan'qu'shi'yan 表面弯曲试验
'biao'mian'xiu'shi'nong'du 表面锈蚀浓度
'biao'pan'han'ding'ji 表盘焊钉机
'biao'zhun'han'jie'fu'hao 标准焊接符号
'biao'zhun'jia'qiang'jiao'han'feng 标准加强角焊缝
'bing'lian'han'si 并联焊丝
'bing'lian'yan'dao 并联烟道
'bing'lie'duan'xu'jiao'han'feng 并列断续角焊缝
'bing'lie'han'jie 并列焊接
'bing'lie'hu'han 并列弧焊
'bing'lie'jian'duan'jiao'han'feng 并列间断角焊缝
'bing'qi 并汽
'bing'tong 丙酮
'bing'wan'qi'qie'ge 丙烷气切割
'bo'cheng 波程
'bo'dao'ju'li 波道距离
'bo'feng'han 波峰焊
'bo'feng'qian'han 波峰钎焊
'bo'feng'qian'han'ji 波峰钎焊机
'bo'fu'gao'du'pan'fei'zhi 波幅高度判废值
'bo'jie 波节
'bo'lang'bian'xing 波浪变形
'bo'li'shui'wei'ji 玻璃水位计
'bo'li'zhuang'han'zha 玻璃状焊渣
'bo'li'zhuang'rong'zha 玻璃状熔渣
'bo'shu'ju'li 波束距离
'bo'wen'zhuang'tu'han 波纹状凸焊
'bo'xing'lu'dan 波形炉胆
'bo'zhuang'jie'he 波状结合
'bu'deng'jian'xi'qian'han 不等间隙钎焊
'bu'dui'chen'shuang 不对称双
'bu'dui'chen'shuang'xing'po'kou 不对称双形坡口
'bu'dui'chen'xing'po'kou 不对称形坡口
'bu'gui'ze'shun'xu 不规则顺序
'bu'he'ge'de'bu'mi'shi 不合格的不密实
'bu'ji'shui 补给水
'bu'jia'ya'han'jie 不加压焊接
'bu'jia'ya're'ji'han'feng 不加压热剂焊缝
'bu'jin'feng'han 步进缝焊
'bu'jin'han'feng 步进焊缝
'bu'jin'mai'chong'han 步进脉冲焊
'bu'jin'shi'feng'han 步进式缝焊
'bu'jin'shi'gun'dian'han 步进式滚点焊
'bu'jun'yun'xing 不均匀性
'bu'ke'han'jie'de 不可焊接的
'bu'ke'han'jie'de'gang 不可焊接的钢
'bu'ke'han'jie'xing 不可焊接性
'bu'kong'han'feng 补孔焊缝
'bu'lian'xu'xing 不连续性
'bu'lu 补炉
'bu'mi'shi 不密实
'bu'qiang'ban 补强板
'bu'qiang'de'dui'jie'han'feng 补强的对接焊缝
'bu'qiang'dian 补强垫
'bu'qiang'gu'han'feng 不强固焊缝
'bu'qiang'han'liao 补强焊料
'bu'qiang'jin'shu 补强金属
'bu'qiang'quan 补强圈
'bu'qiang'shi'dui'jie'han'feng 补强式对接焊缝
'bu'rong'hua'dian'ji 不熔化电极
'bu'rong'hua'ji'dian'hu'han 不熔化极电弧焊
'bu'rong'hua'ji'hu'han'ji 不熔化极弧焊机
'bu'tong'de'han'jie'jin'shu 不同的焊接金属
'bu'tong'jin'shu'de'han'jie 不同金属的焊接
'bu'xiu'dian'han'tiao 不锈电焊条
'bu'xiu'gang'dian'han'tiao 不锈钢电焊条
'bu'xiu'gang'han'jie 不锈钢焊接
'bu'xiu'gang'han'tiao 不锈钢焊条
'bu'xiu'gang'han'tiao'han'jie 不锈钢焊条焊接
'bu'yuan'du 不圆度
'bu'zhi'tu 布置图
'cai'liao'he'ge'zheng 材料合格证
'can'yu'kuo'san'qing 残余扩散氢
'can'yu'qing 残余氢
'can'yu'ying'li'ce'ding 残余应力测定
'cao'gang'zhang'quan 槽钢胀圈
'cao'han 槽焊
'cao'sai'han 槽塞焊
'cao'zuo'gong'yi'xing 操作工艺性
'ce'ban'tiao'tie'su'ti 侧板条铁素体
'ce'bian'da'jie'han 侧边搭接焊
'ce'da'han 侧搭焊
'ce'han 侧焊
'ce'han'feng 侧焊缝
'ce'jing'tan'tou 测井探头
'ce'liang'fang'fa 测量方法
'ce'liang'ji'zhun'dian 测量基准点
'ce'mian'da'jie'han 侧面搭接焊
'ce'mian'han'feng 侧面焊缝
'ce'mian'jiao'han 侧面角焊
'ce'mian'jiao'han'feng 侧面角焊缝
'ce'mian'tian'jiao'han 侧面填角焊
'ce'mian'tian'jiao'han'feng 侧面填角焊缝
'ce'mian'tie'jiao'han 侧面贴角焊
'ce'qing'shi'yan 测氢试验
'ce'wan'shi'yan 侧弯试验
'ce'wen'bi 测温笔
'ceng'jian'wen'du 层间温度
'ceng'zhuang'pian'xi 层状偏析
'ceng'zhuang'qian'liao 层状钎料
'ceng'zhuang'si'lie 层壮撕裂
'ceng'zhuang'si'lie 层状撕裂
'cha'ji'dian'han'fa'dian'ji 差激电焊发电机
'cha'xiao'shi'yan 插销试验
'chai'you'ji'qu'dong'zhi'liu'hu'han'ji 柴油机驱动直流弧焊机
'chan'bian'han'feng 铲边焊缝
'chan'pin'shuo'ming'shu 产品说明书
'chang'fang'ge'zhen'xian'bu'xi'shi'chen'shan 长方格贞咸布西式衬衫
'chang'han'jie'tou 厂焊接头
'chang'kong'han 长孔焊
'chang'tong'pi'xue 长筒皮靴
