'ao'er'liang'ji'chi 奥尔良鸡翅
'bai'tao'wu'long'cha 白桃乌龙茶
'bai'xiang'huo'long'cha 百香火龙茶
'bai'xiang'qing'ning 百香青柠
'bai'xue'mang'mang'qing'gua 白雪茫茫青瓜
'bo'lang'qu'shu'tiao 波浪曲薯条
'bu'ding'xiang'si'dou'nai'cha 布丁相思豆奶茶
'cao'mei'suan'nai 草莓酸奶
'dan'duo'duo'tu'si 蛋多多吐司
'dao'dan'chang'tu'si 捣蛋肠吐司
'fen'zhi'mi'tao 粉之蜜桃
'gao'shan'lv'cha 高山绿茶
'gui'hua'wu'long'cha 桂花乌龙茶
'hai'tai'rou'song'tu'si 海苔肉松吐司
'hai'tai'rou'song'tu'si 海苔肉松土司
'han'shao'niu'wu'hua'tu'si 韩烧牛五花吐司
'hei'jiao'niu'pai'tu'si 黑椒牛排吐司
'hei'jiao'niu'pai'tu'si'ke'jia'zhi'shi 黑椒牛排吐司可加芝士
'hu'po'zhen'zhu'nai'cha 琥珀珍珠奶茶
'hua'dan'fei'niu'dan'bing'tu'si 滑蛋肥牛蛋饼吐司
'hua'dan'fei'niu'dan'bing'tu'si'ke'jia'zhi'shi 滑蛋肥牛蛋饼吐司可加芝士
'hua'dan'fei'niu'tu'si 滑蛋肥牛吐司
'ji'chi 鸡翅
'ji'kuai 鸡块
'ji'mi'hua 鸡米花
'ji'pai 鸡排
'jin'ju'ning'meng 金桔柠檬
'li'zhi'wu'long'cha 荔枝乌龙茶
'ma'la'ji'pai 麻辣鸡排
'ma'la'wu'gu'ji'liu 麻辣无骨鸡柳
'mai'xiang'bo'bo 麦香啵啵
'man'bei'shui'guo'cha 满杯水果茶
'man'bei'shui'guo'mo'li'hua 满杯水果茉莉花
'man'bei'xi'you 满杯西柚
'mang'guo'suan'nai 芒果酸奶
'mei'gui'hong'cha 玫瑰红茶
'mei'shi'huo'tui'zhi'shi'tu'si 美式火腿芝士吐司
'mi'tao'wu'long'cha 蜜桃乌龙茶
'mian'mian'niu'you'guo'tu'si 绵绵牛油果吐司
'mo'li'lv'cha 茉莉绿茶
'mo'xiang'nai'lv 茉香奶绿
'ning'meng'cha'xi'lie 柠檬茶系列
'pu'shao'man'yu'tu'si 蒲烧鳗鱼吐司
'qie'zi 茄子
'rou'si'dan'bing'tu'si 肉丝蛋饼吐司
'rou'song'zhi'shi'dan'bing'tu'si 肉松芝士蛋饼吐司
'shao'xian'cao'nai'cha'da 烧仙草奶茶大
'shou'da'ning'meng'hong'cha 手打柠檬红茶
'shu'tiao 薯条
'si'ji'qing'cheng 四季倾城
'su'ge'lan'zha'dan 苏格兰炸弹
'su'ge'lan'zha'dan 苏格兰炸蛋
'suan'xiang'pei'gen'tu'si 蒜香培根吐司
'tai'yang'dan'fei'niu'tu'si 太阳蛋肥牛吐司
'tan'pei'wu'long'cha 炭培乌龙茶
'xian'guo'cha'xi'lie 鲜果茶系列
'xian'guo'nai'gai'cha 鲜果奶盖茶
'xiang'chun'kao'nai 香醇烤奶
'xiang'chun'nai'cha'xi'lie 香纯奶茶系列
'xiang'cui'tu'dou'tu'si 香脆土豆吐司
'xiang'jian'ji'pai'dan'bing'tu'si 香煎鸡排蛋饼吐司
'xiang'jian'ji'pai'dan'bing'tu'si'ke'jia'zhi'shi 香煎鸡排蛋饼吐司可加芝士
'xiang'jian'ji'pai'tu'si 香煎鸡排吐司
'xiang'jian'pei'gen'zhi'shi'tu'si 香煎培根芝士吐司
'xiang'jian'zhu'pai'dan'bing'tu'si'ke'jia'zhi'shi 香煎猪排蛋饼吐司可加芝士
'xiang'jian'zhu'pai'tu'si 香煎猪排吐司
'xiang'la'ji'mi'hua 香辣鸡米花
'xiang'la'qie'zi'bing 香辣茄子饼
'xiang'la'yang'cong'quan 香辣洋葱圈
'yang'cong'quan 洋葱圈
'yang'zhi'gan'lu'shao'xian'cao 杨枝甘露烧仙草
'ye'xiang'shuang'shu 椰香双薯
'yu'mi'hua'dan'tu'si 玉米滑蛋吐司
'yu'mi'hua'dan'tu'si'ke'jia'zhi'shi 玉米滑蛋吐司可加芝士
'zhi'shi'da'man'guan'tu'si 芝士大满贯吐司
'zhi'shi'mang'mang 芝士芒芒
'zhi'shi'xia'ren'dan'bing'tu'si 芝士虾仁蛋饼吐司
