'bang'jiao'dui'xiang 帮教对象
'bang'zhu'zu'zhi 帮助组织
'bao'li'fan'zui 暴力犯罪
'bao'wai'bang'jiao 保外帮教
'biao'mian'fan'zui 表面犯罪
'cha'bie'lian'xi'lun 差别联系论
'chong'tu'li'lun 冲突理论
'chu'fan'yu'ce 初犯预测
'ci'yao'dong'ji 次要动机
'dian'nao'fan'zui 电脑犯罪
'dian'shi'gan'ran 电视感染
'dong'ji'dou'zheng 动机斗争
'duan'que'lun 短缺论
'fa'ding'fan'zui 法定犯罪
'fan'fu'xing 反复型
'fan'hou'yu'ce 犯后预测
'fan'hou'yu'fang 犯后预防
'fan'qian'yu'fang 犯前预防
'fan'yi'chan'sheng 犯意产生
'fan'yi'jue'yi 犯意决意
'fan'zui'an'shu 犯罪暗数
'fan'zui'ce'liang 犯罪测量
'fan'zui'de'she'hui'dong'ji 犯罪的社会动机
'fan'zui'de'tian'ran'dong'ji 犯罪的天然动机
'fan'zui'dong'ji'de'e'xing'fa'zhan 犯罪动机的恶性发展
'fan'zui'dong'ji'de'liang'xing'zhuan'hua 犯罪动机的良性转化
'fan'zui'dong'tai 犯罪动态
'fan'zui'duo'yin'lun 犯罪多因论
'fan'zui'fang'shi 犯罪方式
'fan'zui'guan 犯罪观
'fan'zui'han'shu'lun 犯罪函数论
'fan'zui'hei'shu 犯罪黑数
'fan'zui'ji'shu 犯罪技术
'fan'zui'ji'yu 犯罪机遇
'fan'zui'jie'gou 犯罪结构
'fan'zui'lei'xing 犯罪类型
'fan'zui'lei'xing'xue 犯罪类型学
'fan'zui'nei'yin'lun 犯罪内因论
'fan'zui'qing'xiang 犯罪倾向
'fan'zui'ren'lei'xue 犯罪人类学
'fan'zui'she'hui'xue 犯罪社会学
'fan'zui'sheng'li'xue 犯罪生理学
'fan'zui'sheng'wu'xue 犯罪生物学
'fan'zui'sheng'wu'yuan'yin'lun 犯罪生物原因论
'fan'zui'tong'ji'xue 犯罪统计学
'fan'zui'wai'yin'lun 犯罪外因论
'fan'zui'xian'xiang 犯罪现象
'fan'zui'xin'li 犯罪心理
'fan'zui'xin'li'jie'gou 犯罪心理结构
'fan'zui'xue 犯罪学
'fan'zui'yan'shi'yuan'yin'lun 犯罪厌世原因论
'fan'zui'yi'chuan'yuan'yin'lun 犯罪遗传原因论
'fan'zui'yin'bi'shu'zi 犯罪隐蔽数字
'fan'zui'yu'ce 犯罪预测
'fan'zui'yu'fang 犯罪预防
'fan'zui'yu'fang'xue 犯罪预防学
'fan'zui'yuan'yin 犯罪原因
'fan'zui'zhong'zu'yuan'yin'lun 犯罪种族原因论
'fu'za'dong'ji 复杂动机
'gong'du'xue'xiao 工读学校
'gong'gong'jia'ting 公共家庭
'guan'zhi'fan'zui'tong'ji 官制犯罪统计
'hong'guan'yu'ce 宏观预测
'hong'guan'zong'he'zhi'li 宏观综合治理
'hou'fa'dong'ji 后发动机
'ji'ji'yu'fang 积极预防
'ji'qing'fan 激情犯
'jia'ting'fang'xian 家庭防线
'jia'ting'jie'gou 家庭结构
'jian'dan'dong'ji 简单动机
'jian'jin'xing 渐进型
'jian'xie'xing 间歇型
'jiao'yu'gan'hua'wan'jiu 教育感化挽救
'jiao'zheng'fan'zui'fu'li'ji'gou 矫正犯罪福利机构
'jie'he'li'lun 结合力论
'jing'shen'fen'xi'li'lun 精神分析理论
'lao'dong'jiao'yang 劳动教养
'lei'xing'mo'fang 类型模仿
'ni'zhuan'xing 逆转型
'nv'xing'fan'zui 女性犯罪
'ou'fa'fan 偶发犯
'qiang'hua'bao'hu'dui'xiang 强化保护对象
'qing'shao'nian'fan'zui 青少年犯罪
'que'xian'jia'ting 缺陷家庭
'qun'ti'xu'yao 群体需要
'ran'se'ti'yi'chang'shuo 染色体异常说
'se'qing'wen'xue 色情文学
'she'hui'fang'xian 社会防线
'she'hui'kan'hu'zhong'xin 社会看护中心
'she'hui'kong'zhi'ji'gou 社会控制机构
'she'hui'yu'fang'cuo'shi 社会预防措施
'shi'ji'fan'zui 实际犯罪
'tan'li'fan'zui 贪利犯罪
'tian'sheng'fan'zui'ren 天生犯罪人
'tie'biao'qian'li'lun 贴标签理论
'tu'fa'dong'ji 突发动机
'wei'guan'yu'ce 微观预测
'wei'guan'zong'he'zhi'li 微观综合治理
'wei'she'hui'huan'jing 微社会环境
'wen'hua'chong'tu'li'lun 文化冲突理论
'xi'guan'fan 习惯犯
'xiao'ji'yu'fang 消极预防
'xue'xiao'fang'xian 学校防线
'yi'jiu'dong'ji 已久动机
'yuan'shi'dong'ji 原始动机
'zai'fan'yu'ce 再犯预测
'zai'fan'zui'lv 再犯罪率
'zao'qi'yu'ce 早期预测
'zheng'an'ze'ren'zhi 政安责任制
'zhi'an'bao'wei'wei'yuan'hui 治安保卫委员会
'zhi'an'lian'fang 治安联防
'zhi'biao'yu'zhi'ben'xiang'jie'he 治标与治本相结合
'zhi'neng'fan'zui 智能犯罪
'zhu'yao'dong'ji 主要动机
'zi'bao'fan'zui'tong'ji 自报犯罪统计
'zong'he'zhi'li 综合治理
'zong'he'zhi'li'cuo'shi 综合治理措施
'zong'he'zhi'li'dui'xiang 综合治理对象
'zong'he'zhi'li'fang'fa 综合治理方法
'zong'he'zhi'li'she'hui'hua 综合治理社会化
'zong'he'zhi'li'shou'duan 综合治理手段
'zong'he'zhi'li'xin'xi 综合治理信息
'zong'xiang'fen'xi'heng'xiang'fen'xi 纵向分析横向分析
