'ba'zi'rou 把子肉
'bai'yang'ti 白羊蹄
'bang'gu 棒骨
'bao'you'yang'yao 包油羊腰
'cheng'shu'da'chang 成熟大肠
'cheng'shu'da'chang'tou 成熟大肠头
'cheng'shu'zhu'tou'rou 成熟猪头肉
'chun'gan'cheng'shu'zhu'tou'rou 纯干成熟猪头肉
'chun'gan'dai'jin'qian'ti 纯干带筋前蹄
'chun'gan'shu'zhu'du 纯干熟猪肚
'chun'gan'yang'rou'juan 纯干羊肉卷
'chun'gan'yi'ji'cheng'shu'da'chang 纯干一级成熟大肠
'cui'gu'pian 脆骨片
'cui'pai 脆排
'da'bai'yang'lian'rou 大白羊脸肉
'da'hao'yang'bao 大号羊宝
'da'pai'pian 大排片
'da'yang'pai 大羊排
'dai'er'mu'zhu'tou 带耳母猪头
'dai'jin'qian'ti 带筋前蹄
'dai'pai'yang'bo'gu 带排羊脖骨
'dai'pi'hou'shang'rou 带皮后上肉
'dai'pi'qian'shang'rou 带皮前上肉
'dai'pi'yang'rou 带皮羊肉
'dai'pi'yang'tou'jin 带皮羊头斤
'dai'you'yang'kun'chang 带油羊捆肠
'du'bao'yang'rou 肚包羊肉
'duo'rou'yang'bang'gu 多肉羊棒骨
'fa'guo'zhu'jing'gu 法国猪颈骨
'fei'zhu'qu'jing'qian'pai 肥猪去颈前排
'gao'yang'dao'pian'gu 羔羊刀片骨
'gao'yang'pai 羔羊排
'guan'jie'gu 关节骨
'guo'chan'da'cun'pai 国产大寸排
'guo'chan'dai'pi'da'wu'hua 国产带皮大五花
'guo'chan'dai'pi'xiao'zhou'zi 国产带皮小肘子
'guo'chan'hao'rou 国产号肉
'guo'chan'ji'long'gu 国产级龙骨
'guo'chan'jing'lei'pai 国产精肋排
'guo'chan'jing'sui'rou 国产精碎肉
'guo'chan'lei'pai'tiao 国产肋排条
'guo'chan'man'rou'hou'bang'gu 国产满肉后棒骨
'guo'chan'man'rou'qian'tui'gu 国产满肉前腿骨
'guo'chan'mao'lei'pai 国产毛肋排
'guo'chan'mei'hua'rou 国产梅花肉
'guo'chan'qu'pi'da'wu'hua 国产去皮大五花
'guo'chan'yi'ji'dai'jin'qian'ti 国产一级带筋前蹄
'guo'chan'zhu'gan 国产猪肝
'guo'chan'zhu'jiao'quan 国产猪脚圈
'hao'jing'rou 号精肉
'hei'yang'mao'du 黑羊毛肚
'hou'zhou'zi 后肘子
'hu'xin'rou 护心肉
'hua'yang'ti 花羊蹄
'ji'gan'jin'qian'ti 级干筋前蹄
'ji'zhu'er 级猪耳
'jia'fei'yang'xie'zi 加肥羊蝎子
'jiang'xiang'yang'lian'pi 酱香羊脸皮
'jin'kou'da'cun'pai 进口大寸排
'jin'kou'dai'pi'xiao'zhou'zi 进口带皮小肘子
'jin'luo'qu'pi'wu'hua 金锣去皮五花
'jing'lei'pai 精肋排
'jing'pin'dai'pi'wu'hua'rou'tiao 精品带皮五花肉条
'jing'pin'quan'ti'kuai 精品全蹄块
'jing'pin'shu'yang'za 精品熟羊杂
'jing'pin'yang'rou'juan 精品羊肉卷
'jing'rou'si 精肉丝
'kao'quan'yang 烤全羊
'kou'tiao 口条
'ku'chang 苦肠
'kun'zhou 捆肘
'lei'pai'tiao 肋排条
'long'gu 龙骨
'long'gu'kuai 龙骨块
'man'rou'shan'zi'gu 满肉扇子骨
'man'rou'tui'gu'kuai 满肉腿骨块
'man'rou'yang'bo'gu 满肉羊勃骨
'mao'du'da'bian'jiao 毛肚大边角
'mao'du'da'ye'pian 毛肚大叶片
'mei'cai'kou'rou 梅菜扣肉
