'bei'xing'shi 贝形饰
'bi'se 鼻塞
'bing'xing'qi 柄型器
'cai'shi'yu'shen 彩石羽神
'chang'tiao'xing'shi 长条形饰
'chi'hu 螭虎
'chun'shui'yu 春水玉
'dan'wu'ren 单舞人
'fei'leng'huang 扉棱璜
'gong'xing'shi 拱形饰
'guan'yin 观音
'long'feng'he'ti 龙凤合体
'long'hu'he'ti 龙虎合体
'niao'shou 鸟兽
'qi'lin 麒麟
'qiu'shan'yu 秋山玉
'ren'mian'wen'yu'shi 人面纹玉饰
'ren'mian'xing'yu'shi 人面形玉饰
'ren'shou 人首
'san'leng'xing'shi 三棱形饰
'shu'duan'bian'yu'ren 梳短辫玉人
'shuang'wu'ren 双舞人
'xing'yu'long 型玉龙
'ya'shou 鸭首
'yao'pei'kuan'bing'yu'ren 腰佩宽柄玉人
'yu'ban'zhi 玉扳指
'yu'bei 玉杯
'yu'ben 玉锛
'yu'bi 玉匕
'yu'bi 玉璧
'yu'bi'hu 玉壁虎
'yu'bi'xie 玉辟邪
'yu'bing 玉柄
'yu'bo'ju 玉博具
'yu'can 玉蚕
'yu'chan 玉蝉
'yu'chan 玉铲
'yu'chong'ya 玉冲牙
'yu'chu 玉锄
'yu'chuan'shi 玉串饰
'yu'cong 玉琮
'yu'dai'ban 玉带板
'yu'dai'gou 玉带钩
'yu'dai'kou 玉带扣
'yu'dao 玉刀
'yu'e 玉鹅
'yu'er'shao 玉耳勺
'yu'fang'lun 玉纺轮
'yu'feng 玉凤
'yu'feng'pei 玉凤佩
'yu'fu 玉斧
'yu'fu'mian 玉覆面
'yu'fu'shou 玉辅首
'yu'ge 玉戈
'yu'gou 玉狗
'yu'gu 玉箍
'yu'guan 玉管
'yu'guan'yin'shi 玉观音饰
'yu'gui 玉圭
'yu'gui 玉簋
'yu'gui 玉龟
'yu'hai'luo 玉海螺
'yu'han 玉琀
'yu'he 玉盒
'yu'he 玉鹤
'yu'hu 玉虎
'yu'hua'ban'shi 玉花瓣饰
'yu'huan 玉环
'yu'huan'shou'tong'xue'dao 玉环首铜削刀
'yu'huang 玉璜
'yu'huang 玉蝗
'yu'ji 玉笄
'yu'jian'bi 玉剑珌
'yu'jian'ge 玉剑格
'yu'jian'shou 玉剑首
'yu'jian'zhi 玉剑璏
'yu'jin'gou 玉襟钩
'yu'jue 玉玦
'yu'le 玉勒
'yu'long 玉龙
'yu'long'feng'pei 玉龙凤佩
'yu'long'pei 玉龙佩
'yu'long'shi 玉龙饰
'yu'lu 玉鹿
'yu'lu'ci 玉鸬鹚
'yu'ma 玉马
'yu'mao 玉瑁
'yu'mao 玉矛
'yu'ming'mu 玉瞑目
'yu'niao 玉鸟
'yu'niu 玉牛
'yu'niu'shou 玉牛首
'yu'pai 玉牌
'yu'pan 玉盘
'yu'pei'shi 玉佩饰
'yu'qi 玉戚
'yu'qiu'long 玉虬龙
'yu'que 玉雀
'yu'ren 玉人
'yu'sai 玉塞
'yu'shen'ren'shou'mian'shi 玉神人兽面饰
'yu'shi 玉饰
'yu'shou 玉兽
'yu'shou'mian 玉兽面
'yu'shu 玉梳
'yu'tang'lang 玉螳螂
'yu'tu 玉兔
'yu'wei 玉觽
'yu'wo 玉握
'yu'xi 玉犀
'yu'xi'yi 玉蜥蜴
'yu'xiang 玉象
'yu'xiang'long 玉香笼
'yu'xiang'shi 玉项饰
'yu'xiao 玉鸮
'yu'xie 玉韘
'yu'xiong 玉熊
'yu'xuan'ji 玉璇玑
'yu'ya 玉鸭
'yu'ya'zhang 玉牙璋
'yu'yan 玉燕
'yu'yin 玉印
'yu'yin'yang'ren 玉阴阳人
'yu'ying 玉鹰
'yu'ying'wu 玉鹦鹉
'yu'yu 玉鱼
'yu'yuan 玉瑗
'yu'yuan'yang 玉鸳鸯
'yu'yue 玉钺
'yu'zan 玉簪
'yu'zan'mao'shi 玉簪帽饰
'yu'zao 玉凿
'yu'zhi 玉卮
'yu'zhu 玉猪
'yu'zhu 玉珠
'yu'zhu'jie'zhuang'shi 玉竹节状饰
'yu'zhu'long 玉猪龙
'yu'zhui'shi 玉坠饰
'yu'zhuo 玉镯
'yu'zu 玉镞
'yun'wen'qi 云纹器
