'a'fu'da'er 阿夫达尔
'a'ye'luo 阿耶罗
'ai'er'fei'lan 埃尔菲兰
'ai'ke'ti'ke 埃克提可
'ai'wen 艾雯
'ai'yan 艾言
'ai'zhi'ge 爱之歌
'an'a'na 安阿娜
'an'he 暗核
'an'neng 暗能
'an'zhi'tian'men 闇至天门
'an'zi 暗子
'bai'se'jiao'yi 白色教义
'bei'ci 杯瓷
'bo'er 泊尔
'bu'ming'jue 不明觉
'can'hui 残喙
'chang'an 长安
'chu'jin 刍津
'ci'pian 磁片
'ci'xie 刺蝎
'da'dian'cang 大殿仓
'da'ni'ya 达妮雅
'dai'de'lun 戴德伦
'de'er'fei 德尔菲
'deng'ta'jiao'nang 灯塔胶囊
'duo'leng'ci'ti 多棱磁体
'duo'li'ya 多莉亚
'duo'luo'bo'ti 堕罗波提
'e'gan'ju'yuan'bei 鹅肝焗元贝
'fa'er'ta'ni 法尔塔尼
'fei'cui'sha'mo 翡翠沙漠
'fei'tai 啡肽
'fen'lie'su 分裂素
'feng'lin'lu'dong'rou 风林鹿冻肉
'fu'shi'ding 浮世町
'fu'si'tei 芙丝忒
'fu'xue 抚雪
'ge'lou 阁楼
'gu'chun'kuai 固醇块
'gu'chun'li 固醇粒
'gu'chun'pian 固醇片
'gu'juan'yi'ben 古卷译本
'gu'yu'shi 古语石
'guo'si'sha'zhong 裹丝沙螽
'he'de'la 赫德拉
'hong'long'mai 红龙脉
'hu'xiao'rou 狐鸮肉
'hua'wan 花丸
'huan'xing'lv'she 环行旅舍
'huang'you'mian'bao 黄油面包
'hui'lin'bing 晦鳞病
'ji'di'le 吉蒂勒
'ji'le 极乐
'ji'sa'jiao 吉萨角
'jia'li'yan 迦璃炎
'jia'xi'ya 加希雅
'jin'wu'ling 禁巫令
'jing'lian'sui'shi 精炼燧石
'jiu'ying 九荧
'ju'feng'mo'ni'wo'lun 飓风模拟涡轮
'jun'yuan 菌原
'ka'men'lu'yin 卡门录音
'kai'en'si'jiao'hui 凯恩斯教会
'kao'san'jun 烤三菌
'ke'ke 可可
'ke'lai'ti'ka 克莱提卡
'ke'li'meng'ting 柯莉蒙汀
'ke'si'mo'er 可斯莫尔
'lai'zi'shen'yuan 来自深渊
'lang'tuo'wei'ya 朗托维亚
'li'la 莉拉
'li'xiang'cheng 理想城
'lian'cheng'shi'ba 连城十八
'lu'xi'ni 露希尼
'luo'she 罗阇
'luo'si'ta 罗斯塔
'luo'wen 洛温
'ma'ai'er 马埃尔
'ma'du 马渡
'man'ze'lan 蔓泽兰
'mao'tan 毛毯
'mi'di'er 米狄尔
'mi'fu'sha 米芙莎
'mi'hua 迷花
'miu'tuo'wan 缪托湾
'mo'bi'wu'si'hao 莫比乌斯号
'mo'dai'shen'zi 末代神子
'mo'ke'ji'hui 默克集会
'na'ta'li 娜塔莉
'na'ya'lan 纳娅兰
'nai'nai 奈奈
'nai'you'xun'ji 奶油熏鸡
'nuo'ya 诺亚
'pa'rui'dai'er 帕瑞黛儿
'pa'si'tei 帕斯忒
'pian'ke 片刻
'pu'li'wang'si'ji'shi 普利王斯集市
'qi'yuan'tun'yu 栖渊豚鱼
'qi'yue'ban 七月半
'qing'xu 情绪
'quan'ming'ji 犬名集
'quan'ya'shi'jian 犬牙事件
'rou'ti 柔荑
'sai'er'wa'gong'niu'rou 塞尔瓦公牛肉
'sai'er'wa'jun 塞尔瓦郡
'sai'er'wa'pai 塞尔瓦派
'sai'la'yi'nuo 塞拉依诺
'sai'li'na 赛丽娜
'san'jie'mei'dao'yu 三姐妹岛屿
'san'shen'bei 三神碑
'san'yi'fei'lun 三翼飞轮
'se'xi 瑟西
'shan'zhi 山栀
'shi'jin'shu'fan 什锦蔬饭
'shi'ru 湿茹
'shou'wo'shi'xiao'feng'shan 手握式小风扇
'shou'wu'zu 兽巫族
'shuang'leng'ci'kuai 双棱磁块
'shuang'sheng'yi'tai'shui 双生异态水
'song'rong 松茸
'suan'ni'xiang'qie 蒜泥香茄
'sui'shi'jing'ti 燧石晶体
'sui'shi'kuang'wu 燧石矿物
'ta'li'xiang 塔利巷
'ta'ni'la 塔妮拉
'tang'lv'jian'guan 唐律剑馆
'tian'pin'zi'zhu'quan 甜品自助券
'tu'dou'dan'gao 土豆蛋糕
'wan'yan'zu 万言族
'wei'ke'kang'ni 维克康妮
'wei'sheng 尾生
'wei'si'pa'xin 薇斯帕辛
'wei'te'ni 威特尼
'wo'qi'shi'yu 我妻时雨
'wu'tuo'er'cheng 乌托尔城
'wu'wen 无问
'wu'yu'e'e'gan 无羽鹅鹅干
'xi'er'wei'ya 西尔维娅
'xi'ling 西陵
'xi'yin 稀因
'xiang'ji 相机
'xiao'wo 小蜗
'xiao'ya'ling 小哑铃
'xin'xi'gong'xiang'zhuang'zhi 信息共享装置
'xu'yu 须臾
'xue'guang 雪光
'yan'chang'hui'men'piao 演唱会门票
'yan'shan'ba'xiao 盐山八蛸
'yan'xun'hu'xiao'hou'pian 烟熏狐鸮厚片
'yao'guang 鳐光
'ye'gang'wang'jue'niu'pai 夜岗王爵牛排
'yi'du'chuan 一渡川
'yi'pian 翼片
'yi'tai'shui 异态水
'yi'tai'shui'ji'cheng'wu 异态水集成物
'yi'xun'huan 易寻欢
'yin'xin 引薪
'yin'xu 因序
'yin'xu'gan'rao'ji 因序干扰基
'yin'yue'zhen'zhu 银月珍珠
