'bai'yun'shi 白云石
'ban'li 搬离
'ban'yi 搬移
'bao'hu'qi'ti 保护气体
'bao'hu'qi'ti'leng'que'de'chu'kou'chun'ban 保护气体冷却的出口唇板
'bao'wen'zhuan 保温砖
'bo'li'dai'qi'tiao'dian 玻璃带起跳点
'bo'li'shui 玻璃水
'ce'bi'shi'mo'chen 侧壁石墨衬
'chai'chu 拆除
'chang'shi 长石
'chi'bi 池壁
'chi'di 池底
'chou'li 抽力
'chu'kou'chun'ban 出口唇板
'chu'kou'duan 出口端
'chu'kou'heng'liang 出口横梁
'chun'jian 纯碱
'ci'ji'dian'lan 次级电缆
'cuo'feng'zhuan 错缝砖
'da'xuan 大碹
'dian'huo 点火
'dian'ji'ce'cha'shi 电极侧插式
'dian'ji'di'cha'shi 电极底插式
'dian'jie'xian'pai 电接线排
'dian'lan 电缆
'dian'rong'yao 电熔窑
'dian'shi'jian'kong'xi'tong 电视监控系统
'diao'gan 吊杆
'diao'xuan 吊碹
'duo'kong'gui'zhuan 多孔硅砖
'fan'xuan 反碹
'fang'bo'li'shui 放玻璃水
'fang'bo'li'shui'chi 放玻璃水池
'fang'bo'li'shui'kong 放玻璃水孔
'fang'xi 放锡
'fang'xia'jie'liu'zha'ban 放下截流闸板
'feng'guan 风管
'feng'guan'bao'jing 风管报警
'feng'ji 风机
'feng'leng 风冷
'feng'wo'zhuang'zhuan 蜂窝状砖
'fu'fa'bo'li'dai 浮法玻璃带
'fu'fa'bo'li'yao 浮法玻璃窑
'fu'zhu'kong'zhi'pan 辅助控制盘
'gang'jie'gou 钢结构
'gao'gang'yu'zhuan 锆刚玉砖
'gao'jia'leng'que'qi 高架冷却器
'ge'li'fa 隔离伐
'ge'mei'zhuan 铬镁砖
'ge'zi'ti 格子体
'ge'zi'zhuan 格子砖
'gua'gou'zhuan 挂钩砖
'guan'bi'xi'cao 关闭锡槽
'gui'zao'tu'bao'wen'zhuan 硅藻土保温砖
'gui'zhuan 硅砖
'heng'yan'yao 横焰窑
'hou'du 厚度
'hou'tui'huo'qu 后退火区
'huan're'qi'shi'dan'yuan'yao 换热器式单元窑
'hui'liu'dai 汇流带
'hun'he'liao 混合料
'huo'yan 火焰
'jia're'yuan'jian 加热元件
'jian'cha 检查
'jiang'la'bian'qi'zhi'yu'ban'mian'shang 将拉边器置于板面上
'jiao'ban'qi 搅拌器
'jin'shu'zhi 金属制
'kao'yao 烤窑
'kong'zhi'fa 控制伐
'la'bian'ji'xi'tong 拉边机系统
'la'bian'qi 拉边器
'leng'xiu 冷修
'liao'cang 料仓
'liao'dou 料斗
'liu'dao 流道
'liu'dao'kong'zhi'zha'ban 流道控制闸板
'liu'dao'shang'bu'ping'xuan 流道上部平碹
'lu'tiao'xuan 炉条碹
'lu'yao 炉腰
'lu'yao'chi'qiang 炉腰池墙
'lu'yao'shan'qiang 炉腰山墙
'luo'shuan 螺栓
'ma'ge'zi'zhuan 码格子砖
'ma'ti'xing'yan'yao 马蹄型焰窑
'mang'xiao 芒硝
'mei'fen 煤粉
'mei'zhuan 镁砖
'mi'feng'dang'kan 密封挡坎
'nai'huo'zhuan 耐火砖
'nian'tu'da'zhuan 粘土大砖
'nian'tu'zhuan 粘土砖
'pai'xi 排锡
'pai'xi'zha'kou 排锡渣口
'pei'he'liao 配合料
'pei'he'liao'fang 配合料房
'pen'qiang 喷枪
'ping'xuan 平碹
'qi'liu'qiang'leng'qu 气流强冷区
'qi'ti'ran'liao'dian'shi'ping'yao 气体燃料电视屏窑
'qian'lian'qiang 前脸墙
'qian'lian'qiang'li'zhu 前脸墙立柱
'qian'lian'qiang'ping'tai 前脸墙平台
'qian'wang'jing 潜望镜
'quan'yang 全氧
'rong'yao'he'xi'cao 熔窑和锡槽
'rong'yao'jie'gou 熔窑结构
'ruan'guan 软管
