'bai'yu 白玉
'bai'yun'shi 白云石
'bei'ke 贝壳
'bi'xi 碧玺
'bian'shi 变石
'bian'shi'mao'yan 变石猫眼
'bo'li 玻璃
'bo'li'yun'shi 玻璃陨石
'cha'luo'shi 查罗石
'chang'shi 长石
'chen'sha 辰砂
'chi'tie'kuang 赤铁矿
'cui'liu'shi 翠榴石
'da'li'shi 大理石
'dai'mao 玳瑁
'dan'shui'yang'zhi'zhen'zhu 淡水养殖珍珠
'dan'shui'zhen'zhu 淡水珍珠
'di'kai'shi 地开石
'dong'ling'shi 东陵石
'du'shan'yu 独山玉
'fang'na'shi 方钠石
'fang'zhu'shi 方柱石
'fei'cui 翡翠
'fu'rong'shi 芙蓉石
'ga'jia'liu'shi 钆镓榴石
'gai'ge'liu'shi 钙铬榴石
'gai'lv'liu'shi 钙铝榴石
'gai'tie'liu'shi 钙铁榴石
'gan'lan'shi 橄榄石
'gao'ling'shi 高岭石
'gao'shi 锆石
'gui'hua'mu 硅化木
'gui'jia 龟甲
'gui'kong'que'shi 硅孔雀石
'gui'peng'gai'shi 硅硼钙石
'gui'shan'hu 贵珊瑚
'hai'lan'bao'shi 海蓝宝石
'hai'shui'yang'zhi'zhen'zhu 海水养殖珍珠
'hai'shui'zhen'zhu 海水珍珠
'he'cheng'bian'shi 合成变石
'he'cheng'hong'bao'shi 合成红宝石
'he'cheng'huang'jing 合成黄晶
'he'cheng'jian'jing'shi 合成尖晶石
'he'cheng'jin'hong'shi 合成金红石
'he'cheng'jin'lv'bao'shi 合成金绿宝石
'he'cheng'lan'bao'shi 合成蓝宝石
'he'cheng'li'fang'yang'hua'gao 合成立方氧化锆
'he'cheng'lv'shui'jing 合成绿水晶
'he'cheng'lv'song'shi 合成绿松石
'he'cheng'lv'zhu'shi 合成绿柱石
'he'cheng'shui'jing 合成水晶
'he'cheng'tan'gui'shi 合成碳硅石
'he'cheng'yan'jing 合成烟晶
'he'cheng'zi'jing 合成紫晶
'he'cheng'zu'mu'lv 合成祖母绿
'he'cheng'zuan'shi 合成钻石
'he'mei 褐煤
'he'tian'yu 和田玉
'hei'liu'shi 黑榴石
'hei'ou'bo 黑欧泊
'hei'yao'yan 黑曜岩
'hong'bao'shi 红宝石
'hu'jing'shi 虎睛石
'hu'po 琥珀
'hua'shi 滑石
'huang'jing 黄晶
'hui'shi 辉石
'huo'ou'bo 火欧泊
'huo'shan'bo'li 火山玻璃
'ji'xue'shi 鸡血石
'jian'jing'shi 尖晶石
'jin'lv'bao'shi 金绿宝石
'jin'qing'shi 堇青石
'jing'fen'yu 京粉玉
'kong'que'shi 孔雀石
'la'chang'shi 拉长石
'lan'bao'shi 蓝宝石
'lan'tian'yu 蓝田玉
'li'hui'shi 锂辉石
'lin'hui'shi 磷灰石
'ling'meng'kuang 菱锰矿
'ling'xin'kuang 菱锌矿
'lv'lian'shi 绿帘石
'lv'shui'jing 绿水晶
'lv'song'shi 绿松石
'lv'zhu'shi 绿柱石
'ma'nao 玛瑙
'mao'yan 猫眼
'mei'jing 煤精
'mei'lv'liu'shi 镁铝榴石
'meng'lv'liu'shi 锰铝榴石
'mu'bian'shi 木变石
'na'chang'shi'yu 钠长石玉
'ou'bo 欧泊
'pu'tao'shi 葡萄石
'pu'tong'hui'shi 普通辉石
'qiang'gui'peng'gai'shi 羟硅硼钙石
'qiang'wei'hui'shi 蔷薇辉石
'qing'bai'yu 青白玉
'qing'jin'shi 青金石
'qing'tian'shi 青田石
'qing'yu 青玉
'ren'zao'ga'jia'liu'shi 人造钆镓榴石
'ren'zao'tai'suan'si 人造钛酸锶
'ren'zao'yi'lv'liu'shi 人造钇铝榴石
'ri'guang'shi 日光石
'ruan'yu 软玉
'shan'hu 珊瑚
'shan'shi'yu 闪石玉
'she'wen'shi 蛇纹石
'shi'liu'shi 石榴石
'shi'ying 石英
'shi'ying'yan 石英岩
'shou'shan'shi 寿山石
'shui'gai'lv'liu'shi 水钙铝榴石
'shui'jing 水晶
'su'liao 塑料
'tai'suan'si 钛酸锶
'tan'sang'shi 坦桑石
'tian'he'shi 天河石
'tian'huang 田黄
'tian'ran'bo'li 天然玻璃
'tian'ran'dan'shui'zhen'zhu 天然淡水珍珠
'tian'ran'hai'shui'zhen'zhu 天然海水珍珠
'tian'ran'zhen'zhu 天然珍珠
'tie'lv'liu'shi 铁铝榴石
'tou'hui'shi 透辉石
'tuo'pa'shi 托帕石
'wan'huo'hui'shi 顽火辉石
'xiang'ya 象牙
'xie'shi 榍石
'xiu'yu 岫玉
'yan'jing 烟晶
'yang'qi'shi 阳起石
'yang'zhi'zhen'zhu 养殖珍珠
'ye'la'shi 叶蜡石
'yi'lv'liu'shi 钇铝榴石
'ying'shi 萤石
'ying'yan'shi 鹰眼石
'you'lian'shi 黝帘石
'yu'sui 玉髓
'yue'guang'shi 月光石
'zhen'zhu 珍珠
'zhen'zhu'tao'tu 珍珠陶土
'zhu'jing'shi 柱晶石
'zi'jing 紫晶
'zu'mu'lv 祖母绿
'zuan'shi 钻石
