'an'huan'ke 安环科
'an'qi 氨气
'an'qi'fa 氨气阀
'an'quan'jian'kang'ke 安全健康科
'an'quan'sheng'chan 安全生产
'ba'dao'ban 八倒班
'ba'shi'he'jin 巴氏合金
'ba'zha 耙渣
'bai'ban 白班
'bai'dun'zhe 百吨蔗
'bai'dun'zhe'hao'biao'mei 百吨蔗耗标煤
'bai'sha'tang 白砂糖
'bai'sha'tang'chan'lv 白砂糖产率
'bai'sha'tang'dai 白砂糖袋
'bai'tang'shu'song'ji 白糖输送机
'bai'tang'shu'song'ji'gong 白糖输送机工
'ban'bao 班报
'ban'bao'biao 班报表
'ban'fa'dian'liang 班发电量
'ban'kuang 板框
'ban'kuang'lv'you 板框滤油
'ban'kuang'lv'you'ji 板框滤油机
'ban'kuang'ya'lv 板框压滤
'ban'kuang'ya'lv'ji 板框压滤机
'ban'mai'dian'liang 班卖电量
'ban'rong'tang'liang 班溶糖量
'ban'shi'jia're'qi 板式加热器
'ban'shi'ya'lv'ji 板式压滤机
'ban'xiang'cao'zuo 半箱操作
'ban'yong'dian'liang 班用电量
'ban'zha'zhe'liang 班榨蔗量
'bang'gan'zhe 绑甘蔗
'bang'zhe 绑蔗
'bao'bian'hao 报编号
'bao'cang 爆仓
'bao'cang'shu 爆仓数
'bao'chi'liao'wei 保持料位
'bao'chong 饱充
'bao'chong'gong 饱充工
'bao'chong'guan 饱充罐
'bao'chong'hui'liu'beng 饱充回流泵
'bao'chong'tuo'se 饱充脱色
'bei'dong'lun 被动轮
'bei'ya 背压
'ben'ri'an'quan'sheng'chan 本日安全生产
'ben'zha'ji 本榨季
'beng'bu'ji 泵不及
'beng'bu'shang 泵不上
'beng'pu 泵浦
'beng'qun 泵群
'beng'zhou 泵轴
'bian'dao 边刀
'bing'hao'lu 并好炉
'bing'lu 并炉
'bing'tang 丙糖
'bing'tang 冰糖
'bing'tang'fen'mi'ji 丙糖分蜜机
'bing'tang'gao 丙糖膏
'bing'tang'gao'shi'chun'du 丙糖膏视纯度
'bing'tang'gong 丙糖工
'bing'tang'hu 丙糖糊
'bing'tang'ji 丙糖机
'bing'tang'ji'gong 丙糖机工
'bing'wang 并网
'bing'zhong 丙种
'bing'zhong'gong 丙种工
'bo'mei'du 波美度
'bu'dui'liu 不对流
'bu'gou'qi 不够汽
'bu'gou'qi'yong 不够汽用
'bu'he'ge'yuan'tang 不合格原糖
'bu'jian'tang 不见糖
'bu'rong'wu 不溶物
'bu'xiu 补休
'bu'zhi'qi 捕汁器
'cai'ge'yang 采个样
'cai'yang 采样
'cai'yang'dian 采样点
'cao'zuo'gong 操作工
'ce'gai 侧盖
'cha'ding 查定
'chai'you'ji'gong 柴油机工
'chan'che 铲车
'chan'tang 产糖
'chan'tang'liang 产糖量
'chan'tang'lv 产糖率
'che'jian 车间
'che'shu 扯梳
'chen'dian'chi 沉淀池
'chen'dian'chi'fan'di 沉淀池反底
'chen'dian'chi'gong 沉淀池工
'chen'dian'chi'ni'ceng 沉淀池泥层
'chen'hua'cang 陈化仓
'chen'hua'cang'bai'sha'tang 陈化仓白砂糖
'chen'hua'cang'bai'sha'tang'liang 陈化仓白砂糖量
'chen'hui'chi 沉灰池
'chen'hui'chi'hui'zha 沉灰池灰渣
'chen'jiang 沉降
'chen'jiang'qi 沉降器
'chen'jiang'shi'yan 沉降试验
'chen'zha'chi 沉渣池
'cheng'pin'chu'yun 成品储运
'cheng'pin'chu'yun'ke 成品储运科
'cheng'pin'tang 成品糖
'cheng'qing 澄清
'cheng'qing'beng'gong 澄清泵工
'cheng'qing'gong'duan 澄清工段
'cheng'qing'qu'shai 澄清曲筛
'cheng'qing'zhi 澄清汁
'cheng'tang 成糖
'cheng'tang'gong'duan 成糖工段
'cheng'tang'lv'dai 成糖滤袋
'cheng'zhe'tai 称蔗台
'cheng'zhong 称重
'cheng'zhong'chuan'gan'qi 称重传感器
'chi'sha'tang 赤砂糖
'chong'guan 冲罐
'chong'jia're'qi 冲加热器
'chong'zeng 冲甑
'chong'zeng'gong 冲甑工
'chong'zheng'fa'guan 冲蒸发罐
'chou'chu'lv 抽出率
'chou'chu'lv'di 抽出率低
'chou'chu'lv'gao 抽出率高
'chou'er'xiao 抽二效
'chou'feng'guan 抽风管
'chou'mi 抽蜜
'chou'mi'cha'ding 抽蜜查定
'chou'san'xiao 抽三效
'chou'yi'xiao 抽一效
'chou'zhen'kong 抽真空
'chou'zhi'qi 抽汁汽
'chou'zhong 抽种
'chou'zhong'fa 抽种阀
'chu'chen'qi 除尘器
'chu'hun'zhi 初混汁
'chu'hun'zhi'chun'du'cha 初混汁纯度差
'chu'pi 除皮
'chu'sui 除髓
'chu'sui'dai 除髓带
'chu'sui'ji 除髓机
'chu'ya'zhi 初压汁
'chu'ya'zhi'chui'du 初压汁锤度
'chu'ya'zhi'chun'du 初压汁纯度
'chu'ya'zhi'shi'chun'du 初压汁视纯度
'chu'yun'ke 储运科
'chu'zha 出渣
'chu'zha'qing'hui'ji 除渣清灰剂
