'dian'li'dian'zi'ji'shu'ji'qi'ying'yong 电力电子技术及其应用
'dian'li'jing'ji'fen'xi 电力经济分析
'dian'li'qi'ye'xin'xi'hua'yu'jue'ce'zhi'chi 电力企业信息化与决策支持
'dian'li'shi'chang 电力市场
'dian'li'xi'tong'an'quan'fang'yu'yu'hui'fu'kong'zhi 电力系统安全防御与恢复控制
'dian'li'xi'tong'diao'du'zi'dong'hua 电力系统调度自动化
'dian'li'xi'tong'fen'xi'yu'fang'zhen 电力系统分析与仿真
'dian'li'xi'tong'fen'xi'yun'xing'yu'kong'zhi 电力系统分析运行与控制
'dian'li'xi'tong'gu'zhang'fen'xi'yu'zhen'duan 电力系统故障分析与诊断
'dian'li'xi'tong'gui'hua'yu'ke'kao'xing 电力系统规划与可靠性
'dian'li'xi'tong'gui'hua'yun'xing'fen'xi 电力系统规划运行分析
'dian'li'xi'tong'ji'dian'bao'hu 电力系统继电保护
'dian'li'xi'tong'yun'xing'yu'kong'zhi 电力系统运行与控制
'dian'li'xi'tong'zi'dong'hua'ji'shu 电力系统自动化技术
'dian'neng'zhi'liang'fen'xi'yu'jian'ce 电能质量分析与监测
'dian'qi'she'bei'zhuang'tai'jian'ce'yu'gu'zhang'zhen'duan 电气设备状态检测与故障诊断
'dian'zhan'kong'zhi'yu'jian'ce'ji'shu 电站控制与检测技术
'dong'bei'dian'li'da'xue 东北电力大学
'hua'bei'dian'li'da'xue 华北电力大学
'ji'zhi'liu'shu'dian 及直流输电
'shang'hai'dian'li'xue'yuan 上海电力学院
'she'zhi'fang'xiang 设置方向
'zong'he'zi'dong'hua'yu'ji'dian'bao'hu 综合自动化与继电保护
