'a'li'ba'ba 阿里巴巴
'bao'qian'bu'neng'zhi'ding'kuai'di 抱歉不能指定快递
'ben'dian'mo'ren'kuai'di 本店默认快递
'ben'dian'zan'bu'zhi'chi'zhi'ding'kuai'di 本店暂不支持指定快递
'bu'yi'jia 不议价
'cang'ku'yi'fa'chu 仓库已发出
'cui'cu'kuai'di'jin'kuai'pai'song 催促快递尽快派送
'dang'qian'he'zuo'de'kuai'di'zhi'you 当前合作的快递只有
'di'zhi'mei'cuo'ba 地址没错吧
'fei'yong'yi'jing'gai'hao'le 费用已经改好了
'gei'ge'wu'xing'hao'ping 给个五星好评
'hao'de 好的
'hui'cong'wang 慧聪网
'huo'song'dao'na'li'ne 货送到哪里呢
'jin'kuai'gei'ni'fa'chu 尽快给你发出
'jing'dong 京东
'kuai'di'bao'cang 快递爆仓
'ma'fan'nin'zai'kan'xia'he'dui'xia'di'zhi 麻烦您再看下核对下地址
'ma'fan'ping'jia'xia'wo'de'fu'wu 麻烦评价下我的服务
'ma'fan'qin'fa'xia'zhao'pian 麻烦亲发下照片
'mo'ren'kuai'di 默认快递
'mo'shi 模式
'neng'pai'de'dou'shi'you'huo'de'ne 能拍的都是有货的呢
'nin'hao'you'shen'me'ke'yi'bang'ni 您好有什么可以帮你
'pai'xia'jin'tian'jiu'fa'huo'de'ne 拍下今天就发货的呢
'qi'ye'dui'qi'ye 企业对企业
'qin'jiu'deng'le 亲久等了
'qin'shi'na'li'de'ne 亲是哪里的呢
'qin'xia'dan'ba 亲下单吧
'qing'nai'xin'deng'dai'yi'duan'shi'jian 请耐心等待一段时间
'ru'xu'zhi'ding'kuai'di'qing'ti'qian'gao'zhi'huo'bei'zhu 如需指定快递请提前告知或备注
'shao'deng 稍等
'sheng'yi'bao 生意宝
'tao'bao'wang 淘宝网
'ti'jiao'yi'xia'ne 提交一下呢
'tian'mao 天猫
'wang'sheng'ke'ji 网盛科技
'wo'men'fa 我们发
'wo'men'zhe'bian'shen'he 我们这边审核
'wo'men'zhe'jiu'gei'ni'bu 我们这就给你补
'wo'men'zhe'jiu'gei'ni'tui 我们这就给你退
'wo'qu'cha'yi'xia 我去查一下
'wo'zhe'jiu'gei'ni'zhuan 我这就给你转
'wu'liu'du'zhu 物流堵住
'xia'xue'feng'dao'song'bu'chu'qu 下雪封道送不出去
'xie'xie 谢谢
'yi'fan 已返
'yi'kou'jia 一口价
'yi'tui'kuan 已退款
'you'fei 邮费
'you'fei'yi'gai 邮费已改
'you'huo'de'ne 有货的呢
'zai'de'qin 在的亲
'zhen'de'bu'neng'zai'pian'yi'le 真的不能再便宜了
'zheng'zai'lian'xi'kuai'di 正在联系快递
'zhi'fu'bao'fa'xia 支付宝发下
