'a'lun'fang'cha 阿伦方差
'a'mu'ke'tie 阿姆可铁
'ai'bo'si 埃伯斯
'an'bi'li'suo'xiao 按比例缩小
'an'dian'liu 暗电流
'an'dian'ping 暗电平
'an'fang'dian 暗放电
'an'gui 安规
'an'kong'qi'ran'liao'dian'chi 氨空气燃料电池
'an'niu 按钮
'an'niu'kai'guan 按钮开关
'an'pei 安培
'an'pei'biao 安培表
'an'quan'di'yi 安全第一
'an'quan'tong'xin 安全通信
'an'quan'xing 安全性
'an'quan'yao'kong 安全遥控
'an'quan'zhi'ling 安全指令
'an'shang 暗伤
'an'shi'jue 暗视觉
'an'xu'fen'pei 按需分配
'an'ye 暗夜
'an'ying 暗影
'ao'er'fu'de'tian'xian'zhen 奥尔福德天线阵
'ao'luo'guan 奥罗管
'ao'mi'jia'duan'tong'bu 奥米伽段同步
'ao'mi'jia'tian'bo'xiu'zheng'biao 奥米伽天波修正表
'ba'chu'li 拔出力
'ba'mu'tian'xian 八木天线
'ba'te'wo'si'lv'bo'qi 巴特沃思滤波器
'bai'chi'xian'shi 白炽显示
'bai'ping'heng 白平衡
'ban'bian'cha'tou 板边插头
'ban'dao'ti 半导体
'ban'dao'ti'bo'li 半导体玻璃
'ban'dao'ti'chang'xiao'jing'ti'guan 半导体场效晶体管
'ban'dao'ti'ji'guang'fang'da'qi 半导体激光放大器
'ban'dao'ti'ji'guang'qi 半导体激光器
'ban'dao'ti'min'gan'qi 半导体敏感器
'ban'dao'ti'tai'yang'dian'chi 半导体太阳电池
'ban'dao'ti'tan'ce'qi 半导体探测器
'ban'dao'ti'tao'ci 半导体陶瓷
'ban'dao'ti'wen'cha'zhi'leng'dian'dui 半导体温差制冷电堆
'ban'dian'xiao'ying 斑点效应
'ban'ding'zhi'ji'cheng'dian'lu 半定制集成电路
'ban'gong'jiao'xie'zhen'qiang 半共焦谐振腔
'ban'gong'lv'dian 半功率点
'ban'gong'xin'xie'zhen'qiang 半共心谐振腔
'ban'jie'wang'luo 半节网络
'ban'shuang'gong 半双工
'ban'sui'mo'xing 伴随模型
'ban'sui'xin'yuan 伴随信源
'ban'tou'ming'guang'yin'ji 半透明光阴极
'ban'wu'xian'xie'xian'bi'jin 半无限斜线逼近
'ban'yong'ci'cai'liao 半永磁材料
'ban'you'yuan'zhi'dao 半有源制导
'ban'zhuang'lian'jie'qi 板装连接器
'bao'ceng'dian'zu 薄层电阻
'bao'ceng'mo'xiao'chu'qi 包层模消除器
'bao'fei 暴沸
'bao'guan'qi 保管期
'bao'guang 曝光
'bao'he'can'liang 饱和参量
'bao'he'dian'kang'qi 饱和电抗器
'bao'hu'fang'dian'guan 保护放电管
'bao'hu'huan 保护环
'bao'hu'qi'jian 保护器件
'bao'huo 保活
'bao'jiao'huan'wang 包交换网
'bao'li'shi'ju'jiao 暴力式聚焦
'bao'luo 包络
'bao'luo'jian'bo 包络检波
'bao'mi'dian'hua'tong'xin'xi'tong 保密电话通信系统
'bao'mi'liang 保密量
'bao'mi'rong'liang 保密容量
'bao'mi'ti'zhi 保密体制
'bao'mi'tong'xin 保密通信
'bao'mi'xi'tong 保密系统
'bao'mi'xue 保密学
'bao'mi'zhi'ling 保密指令
'bao'teng 爆腾
'bao'wen 报文
'bao'wen'jiao'huan 报文交换
'bao'wen'yin'ji 保温阴极
'bao'xian'qi 保险期
'bao'zhen'du 保真度
'bei'chang'bei'fan'she'tai'yang'dian'chi 背场背反射太阳电池
'bei'chang'shi'ci 钡长石瓷
'bei'chang'tai'yang'dian'chi 背场太阳电池
'bei'dong'suo'mo 被动锁模
'bei'dong'xian'shi 被动显示
'bei'fan'she'tai'yang'dian'chi 背反射太阳电池
'bei'fu'li'qi'tian'xian 贝弗里奇天线
'bei'jing'fu'she 背景辐射
'bei'jing'qi'fu 背景起伏
'bei'li'si'fen'bu 贝里斯分布
'bei'pin 倍频
'bei'pin'cheng 倍频程
'bei'pin'lian 倍频链
'bei'pin'qi 倍频器
'bei'she'tian'xian 背射天线
'bei'xiang'can'kao'mai'chong 北向参考脉冲
'bei'zeng'ji 倍增极
'bei'zeng'xi'tong 倍增系统
'ben'di'jian'ce'wang 本地监测网
'ben'di'wang 本地网
'ben'di'wei'bo'fen'pei'xi'tong 本地微波分配系统
'ben'di'zhen'dang'qi 本地振荡器
'ben'ji'zhen'dang'qi 本机振荡器
'ben'yuan'ma 本原码
'ben'zheng'ban'dao'ti 本征半导体
'ben'zheng'dian'zhi'fa'guang 本征电致发光
'ben'zheng'xi'za'gong'yi 本征吸杂工艺
'ben'zheng'zai'liu'zi 本征载流子
'ben'zhi'shi'xiao 本质失效
'beng'gong'zuo'ye 泵工作液
'beng'pu 泵浦
'beng'pu'su'lv 泵浦速率
'beng'pu'su'lv'fen'bu 泵浦速率分布
'beng'pu'xiao'lv 泵浦效率
'beng'yue'er'ji'guan 崩越二极管
'bi'dian'rong 比电容
'bi'fu'dan'mai'chong 比幅单脉冲
'bi'gong'lv 比功率
'bi'gua'dian'shi 壁挂电视
'bi'guan'zhen'kong'kuo'san 闭管真空扩散
'bi'hua'xian'shi 笔划显示
'bi'huan 闭环
'bi'huan'kong'zhi 闭环控制
'bi'huan'pin'lv'xiang'ying 闭环频率响应
'bi'jin 逼近
'bi'li'shi'xuan'zhuan'bian'ya'qi 比例式旋转变压器
'bi'li'zhi'ling 比例指令
'bi'lv'jian'pin'qi 比率鉴频器
'bi'neng'liang 比能量
'bi'rong'liang 比容量
'bi'sun'hao'yin'shu 比损耗因数
'bi'xiang'dan'mai'chong 比相单脉冲
'bi'xiang'ding'wei 比相定位
'bi'xiao'ying 壁效应
'bi'xing'bo'shu'tian'xian 笔形波束天线
'bi'zhen'du 逼真度
'bi'zhi'ji 比值计
'bian'ban 边瓣
'bian'chang'ma 变长码
'bian'dai 边带
'bian'huan 变换
'bian'huan'qi 变换器
'bian'huan'zeng'yi 变换增益
'bian'jie'ceng 边界层
'bian'ju'zhen 变距阵
'bian'li'xin'yuan 遍历信源
'bian'ma 编码
'bian'ma'ding'li 编码定理
'bian'ma'fa'she'ji 编码发射机
'bian'pin 变频
'bian'pin'qi 变频器
'bian'pin'zhen'dong'shi'yan 变频振动试验
'bian'ping'dian'lan 扁平电缆
'bian'ping'feng'zhuang 扁平封装
'bian'ping'yin'ji'she'xian'guan 扁平阴极射线管
'bian'rong'er'ji'guan 变容二极管
'bian'rong'zhen'kong'beng 变容真空泵
'bian'shi 辨识
'bian'sou'suo'bian'gen'zong 边搜索边跟踪
'bian'tu 边图
'bian'xiang'guan 变象管
'bian'xing'dian'chi 扁形电池
'bian'ya'bi 变压比
'bian'ya'qi 变压器
'bian'ya'qi'ou'he'fang'da'qi 变压器耦合放大器
'bian'yi'ma'qi 编译码器
'bian'yuan'cha'zuo'lian'jie'qi 边缘插座连接器
'bian'yuan'xiao'ying 边缘效应
'bian'zhuang'tian'xian 鞭状天线
'biao'cheng'dian'rong 标称电容
'biao'cheng'dian'ya 标称电压
'biao'cheng'dian'zu'zhi 标称电阻值
'biao'cheng'rong'liang 标称容量
'biao'ding 标定
'biao'ge'xian'shi 表格显示
'biao'guan'ci'dao'lv 表观磁导率
'biao'guan'pin'zhi'yin'shu 表观品质因数
'biao'jue'xi'tong 表决系统
