'da'xiao'bian'zheng'chang 大小便正常
'dai'wan'shan'xiang'guan'jian'cha'hou'jin'yi'bu'zhen'zhi 待完善相关检查后进一步诊治
'gan'gong'neng'shi'zhuan'an'mei'pian'gao 肝功能示转氨酶偏高
'gan'gong'shi'di'dan'bai'xue'zheng 肝功示低蛋白血症
'huan'zhe'su'ke'sou'ke'tan'hao'zhuan 患者诉咳嗽咳痰好转
'huan'zhe'su'tou'yun'shao'hao'zhuan 患者诉头晕稍好转
'huan'zhe'su'xiong'men'jiao'qian'hao'zhuan 患者诉胸闷较前好转
'jin'ri'cha'fang 今日查房
'jing'shen'ji'wei'na'ke 精神及胃纳可
'sheng'hua'shi'di'jia'xue'zheng 生化示低钾血症
'sheng'hua'shi'di'na'xue'zheng 生化示低钠血症
'ti'zhong'wu'ming'xian'gai'bian 体重无明显改变
'wan'shan'jian'cha'ping'gu'ba'qi'guan'sun'hai'qing'kuang 完善检查评估靶器官损害情况
'wu'e'xin'ji'ou'tu 无恶心及呕吐
'wu'fu'tong'ji'fu'xie 无腹痛及腹泻
'wu'hun'mi'ji'chou'chu 无昏迷及抽搐
'wu'ke'sou'ji'ke'tan 无咳嗽及咳痰
'wu'niao'pin'ji'niao'tong 无尿频及尿痛
'wu'wei'han'ji'fa're 无畏寒及发热
'wu'xiong'men'ji'xiong'tong 无胸闷及胸痛
'xue'chang'gui'shi'qing'du'pin'xue 血常规示轻度贫血
'xue'niao'suan'shi'he'bing'gao'niao'suan'xue'zheng 血尿酸示合并高尿酸血症
'xue'zhi'ti'shi'he'bing'gao'zhi'xue'zheng 血脂提示合并高脂血症
'yi'ju'bing'shi'zheng'zhuang'ji'fu'zhu'jian'cha 依据病史症状及辅助检查
'zhong'liu'zhi'biao'sheng'gao'bing'shi 肿瘤指标升高病史
'zhu'ren'yi'shi'cha'fang'hou'fen'xi 主任医师查房后分析
'zhu'yi'jian'cha'jie'guo'hui'bao 注意检查结果回报
'zhu'yi'mi'qie'guan'cha'bing'qing'bian'hua 注意密切观察病情变化
'zhu'yi'wan'shan'xiang'guan'jian'cha 注意完善相关检查
'zhu'zhi'yi'shi'cha'fang'hu'fen'xi 主治医师查房胡分析
