'a'ji 阿棘
'ai'mo'he 艾摩诃
'an'xiang'qi'ying 暗巷漆影
'ang'yang'dou'zhi 昂扬斗志
'bai'niao'zi 白鸟梓
'bai'tuo'kun'jing 摆脱困境
'bai'ye 白夜
'bai'zhe'bu'nao 百折不挠
'bao'feng'zhou'yu 暴风骤雨
'bao'fu 豹富
'bao'he'shi'jiu'yuan 饱和式救援
'bao'ran 爆燃
'bei'luo 北洛
'bi'ge'ni'ya 比戈尼娅
'bi'you 庇佑
'bing'shuang'gong'ming 冰霜共鸣
'bu'qi'er'yu 不期而遇
'can'zhao 残照
'cang'feng 藏锋
'cen'ying 岑缨
'chang'tai 常态
'chang'yao 长谣
'chang'zhu 常驻
'chen'jin'wu'tai 沉浸舞台
'chen'zhong'da'ji 沉重打击
'cheng'gong'yan'hu 成功掩护
'cheng'ren'zhi'wei 乘人之危
'cheng'sheng'zhui'ji 乘胜追击
'cheng'shi'xiao'yin 城市嚣音
'cheng'zhang 成长
'chi're'sheng'ming 炽热生命
'chong'neng'hui'fu 充能回复
'chu'yu'ni'er'quan'ran 出淤泥而全染
'chuan'dao 传导
'chuan'xi'zhi'ji 喘息之机
'cui'yuan'zhi 崔远之
'da'cheng'yi'pian 打成一片
'da'di'dang'qian 大敌当前
'da'li'chu'qi'ji 大力出奇迹
'da'yin'yu'shi 大隐于市
'dai'hao'bai'cao 代号百草
'dan'dian'tu'po 单点突破
'deng'dai'shi'ji 等待时机
'di'yan 狄砚
'dian'ci'feng'bao 电磁风暴
'dian'jie 电解
'ding'xiang 定向
'dong'jie 冻结
'dong'jie'jing'tong 冻结精通
'dong'jie'yan'chang 冻结延长
'duan'lian'zhi'liao 锻炼治疗
'dui'kong'te'gong 对空特攻
'e'meng 噩梦
'e'tu'zhi'hua 恶土之花
'fan'hua'shen'ying 繁花蜃影
'fan'ke'wei'zhu 反客为主
'fan'xing'ji'yi 繁星记忆
'feng'dui 风队
'feng'li'jia'ju 风力加剧
'feng'wu'meng 凤无梦
'feng'xian 奉献
'feng'zhi'bi'you 风之庇佑
'fu'bei'zhong'sheng 福被众生
'fu'chou'zhe'zhi'nu 复仇者之怒
'fu'li'fa'fang 福利发放
'fu'qu 芙蕖
'fu'shu'gong'zhen 复数共振
'fu'xiao 拂晓
'ge'dang'fan'ji 格挡反击
'ge'dang'zhuan'gong 格挡专攻
'guan'zhong'yi'ying 馆中遗影
'gui'dang 归档
'hai'lin'jie'dao 海临街道
'hai'lin'ren'de'hao'qi'xin 海临人的好奇心
'hao'cang 昊苍
'he'jiu'yi 赫九逸
'he'xin'chong'neng 核心充能
'he'xin'zhong'ya 核心重压
'hu'dun'ci'fu 护盾赐福
'hu'dun'gong'ming 护盾共鸣
'hu'dun'guan'zhu 护盾灌注
'hua'wei'qian'he 化为千鹤
'hua'xian'wei'yi 化险为夷
'huang'jin'jing'shen 黄金精神
'huang'yan'zhi'xia 谎言之下
'hui'guang'fan'zhao 回光返照
'hui'lang'man'xun 回廊漫巡
'hui'shou'li'yong 回收利用
'hun'he'da'ji 混合打击
'hun'luan'yan'chen 混乱烟尘
'huo'lei 火雷
'huo'ran 霍冉
'ji'duo'bu'ya'shen 技多不压身
'ji'na 吉娜
'ji'shi'yuan'zhu 及时援助
'ji'xie'te'gong 机械特攻
'ji'yi'lao'hen 记忆烙痕
'ji'zhong'huo'li 集中火力
'jian'ding'yi'zhi 坚定意志
'jian'ru'jia'jing 渐入佳境
'jian'shi'hu'dun 坚实护盾
'jian'yi'bu'qu 坚毅不屈
'jian'ying'wai'pi 坚硬外皮
'jie'gao'ri 截稿日
'jie'shi'qing'chen 街市清晨
'jin'gang'bu'huai 金刚不坏
'jing'ji'zhi'zhi 荆棘之志
'jing'li 晶粒
'jing'zhun'kong'fen 精准控分
'jiu'cheng'ye'mu 旧城夜幕
'jiu'xiang 旧巷
'jiu'you'wu'duo 旧友无多
'ju'ji 狙击
'ju'li'ba'kong 距离把控
'jue'chu'feng'sheng 绝处逢生
'jue'di'fan'ji 绝地反击
'ka'luo'lin 卡洛琳
'kang'du'ling'yu 抗毒领域
'ke'ji'guang'hui 科技光辉
'kuai'bu'liu'xing 快步流星
'lan'lan 岚岚
'lang'lang'qian'kun 朗朗乾坤
'lao'ban 老板
'lao'hen 烙痕
'lei'ting'wan'jun 雷霆万钧
'li'liang'pen'yong 力量喷涌
'li'ren 利刃
'li'ti'ya 莉提亚
'lian'ji'ci'fu 连击赐福
'lian'ji'jing'tong 连击精通
'liang'hua'di'yu 量化抵御
'lie'yan'bao'ji 烈焰暴击
'ling'gan'ji'huo 灵感激活
'liu'guang'jing'ye 流光竞夜
'liu'xing'zhui'chu 流星坠处
'liu'xiong 刘兄
