'bei'dao 背倒
'bei'dao'jian'guang 背倒见光
'bei'qie 背切
'bei'tiao 背条
'bei'zhan 背粘
'bian'dai'zhan'jie 边带粘接
'dan'bian 单边
'hu'xing'ding'hou 弧形定厚
'hu'xing'luo'tang 弧形落樘
'ji'zuo'jia'gong 基坐加工
'jia'hou'fa'shi'bian 加厚法式边
'jia'hou'xian'tiao'bian 加厚线条边
'jia'hou'xiao'xie'bian 加厚小斜边
'jia'hou'xie'bian 加厚斜边
'kai'kong'bu'mo 开孔不磨
'kai'kong'mo'bian 开孔磨边
'la'cao 拉槽
'la'cao'jian'guang 拉槽见光
'la'fang'hua'cao 拉防滑槽
'la'man'cao 拉满槽
'la'shui'di'cao 拉水滴槽
'mo'bian 磨边
'mo'er'duo 磨耳朵
'peng'yang'jiao 碰阳角
'peng'yin'jiao 碰阴角
'peng'zhan 碰粘
'qie'hu 切弧
'shui'dao'qie'hu 水刀切弧
'tai'xia'pen'jia'gong 台下盆加工
'xian'tiao'bian 线条边
'xie'bian 斜边
'zhan'bei'tiao 粘背条
'zheng'wa'zheng'zhan'luo'tang 整挖整粘落樘
'zhi'diao 直吊
'zhi'pao 直抛
'zhi'pao'guang 直抛光
'zhi'pao'jian'guang 直抛见光
'zhuan'jiao'zu'he 转角组合
'zu'he'xian'tiao 组合线条
