'an'song'qiu'bo 暗送秋波
'ang'shou'kuo'bu 昂首阔步
'ang'shou'ting'xiong 昂首挺胸
'ba'shan'she'shui 跋山涉水
'bai'gan'jiao'ji 百感交集
'bai'he'liang'chi 白鹤晾翅
'bao'tiao'ru'lei 暴跳如雷
'bao'tou'shu'cuan 抱头鼠窜
'bao'tou'tong'ku 抱头痛哭
'bei'bu'zi'sheng 悲不自胜
'bei'tong'yu'jue 悲痛欲绝
'bei'xi'jiao'ji 悲喜交集
'ben'shou'ben'jiao 笨手笨脚
'ben'zou'xiang'gao 奔走相告
'bu'gang'ta'dou 步罡踏斗
'bu'huang'bu'mang 不慌不忙
'cha'ke'da'hun 插科打诨
'cha'ke'shi'qi 插科使砌
'cha'yan'guan'se 察言观色
'chang'xu'duan'tan 长吁短叹
'cheng'mu'jie'she 瞠目结舌
'chui'tou'sang'qi 垂头丧气
'chui'xiong'dun'zu 捶胸顿足
'cu'xi'tan'xin 促膝谈心
'cuo'ke'da'hong 撮科打哄
'da'bu'liu'xing 大步流星
'da'jing'shi'se 大惊失色
'da'kuai'duo'yi 大快朵颐
'da'xi'guo'wang 大喜过望
'da'yao'da'bai 大摇大摆
'dan'zhan'xin'jing 胆战心惊
'dao'li'zhi'zhi 蹈厉之志
'dao'ting'tu'shuo 道听途说
'de'yi'wang'xing 得意忘形
'dian'guang'shi'huo 电光石火
'dian'tou'ha'yao 点头哈腰
'diao'bing'qian'jiang 调兵遣将
'die'die'bu'xiu 喋喋不休
'dong'ben'xi'cuan 东奔西窜
'dong'dao'xi'wai 东倒西歪
'dong'ru'tuo'tu 动如脱兔
'dong'zhang'xi'wang 东张西望
'dui'da'ru'liu 对答如流
'e'hu'pu'shi 饿虎扑食
'e'hu'pu'yang 饿虎扑羊
'e'hu'qin'yang 饿虎擒羊
'fa'fen'tu'qiang 发奋图强
'fa'ke'da'hun 发科打诨
'fa'yang'chuo'li 发扬踔厉
'fa'yang'dao'li 发扬蹈厉
'fan'shan'yue'ling 翻山越岭
'fei'qin'wang'shi 废寝忘食
'fei'yan'zou'bi 飞檐走壁
'fen'fen'bu'ping 愤愤不平
'feng'chi'dian'che 风驰电掣
'fu'lao'xie'you 扶老携幼
'fu'yu'wan'kang 负隅顽抗
'gan'jing'li'luo 干净利落
'gan'kai'wan'duan 感慨万端
'gao'tan'kuo'lun 高谈阔论
'gua'mu'xiang'kan 刮目相看
'gui'gui'sui'sui 鬼鬼祟祟
'hao'tao'da'ku 号啕大哭
'hao'yan'zhuang'yu 豪言壮语
'heng'chong'zhi'zhuang 横冲直撞
'heng'xing'ba'dao 横行霸道
'hou'yan'wu'chi 厚颜无耻
'hu'shi'dan'dan 虎视眈眈
'hua'yan'qiao'yu 花言巧语
'huan'hu'que'yue 欢呼雀跃
'huan'tian'xi'di 欢天喜地
'huang'huang'zhang'zhang 慌慌张张
