'a'bo'er'nong'chang 阿伯尔农场
'a'la'ke'ni'an'sha'zhe 阿拉克尼暗杀者
'a'la'ke'ni'bu'huo'zhe 阿拉克尼捕获者
'a'la'ke'ni'kuang'bao'zhe 阿拉克尼狂暴者
'a'la'ke'ni'shou'hu'zhe 阿拉克尼守护者
'a'la'ke'ni'xun'cha'zhe 阿拉克尼巡查者
'ai'ao'li'si 艾奥莉斯
'ai'er'bo'ge 艾尔博格
'ai'er'ma'na 艾尔玛娜
'ai'ren'dao'fu'shou 矮人刀斧手
'ai'ren'shan'zei 矮人山贼
'ai'ze'lin'hu 艾泽琳湖
'an'hei'she'ren 暗黑蛇人
'an'hong'zhi'yue'zhao'ya'lie'ren 暗红之月爪牙猎人
'an'hong'zhi'yue'zhao'ya'xun'cha'zhe 暗红之月爪牙巡查者
'an'jing'ling 暗精灵
'an'te'la'ke'si'nong'chang 安特拉克斯农场
'bai'jing'ling 白精灵
'bao'ji'lv 暴击率
'bei'er'ka 贝尔卡
'bi'yan'hu'li 碧眼狐狸
'bian'zhong'a'la'ke'ni'jing'bei'bing 变种阿拉克尼警备兵
'bo'ta'na'nong'chang 伯塔纳农场
'bu'ge'la'er 布格拉尔
'bu'lu'nei'en'du'kou 布鲁内恩渡口
'bu'si'dou'shi 不死斗士
'bu'si'zhan'shi 不死战士
'can'fu'shou'ren'dou'shi 残斧兽人斗士
'can'fu'shou'ren'zhan'shi 残斧兽人战士
'can'fu'shou'ren'zhou'shu'shi 残斧兽人咒术师
'cang'ku 仓库
'chang'wei'ba'hui'shu 长尾巴灰鼠
'chao'xue 巢穴
'chuan'song 传送
'ci'bao'mao'xian'jia 雌豹冒险家
'ci'bao'zhan'shi 雌豹战士
'ci'bao'zhui'zong'zhe 雌豹追踪者
'ci'ke 刺客
'da'chan'chu 大蟾蜍
'da'hui'xiong 大灰熊
'da'jiao'shan'yang 大角山羊
'da'shu'di'bo'ling 大树地搏灵
'dao'zei'hou 盗贼猴
'di'kang'li 抵抗力
'di'xia'cheng 地下城
'dou'shi 斗士
'du'jiao'ye'ji 毒角野鸡
'du'wang'zhi'zhu 毒网蜘蛛
'du'wu'jiang'shi 毒雾僵尸
'du'you'chong 毒幼虫
'duan'mao'hei'bao 短毛黑豹
'duan'wei'ba'hei'bao 短尾巴黑豹
'dun'ya'chai'lang 钝牙豺狼
'duo'la'ma 多拉玛
'duo'la'nuo 多拉诺
