'bei'di'fang'xing'ling 北帝方行令
'bi'yong'du'shu'ren 必用读书人
'bie'ren'huai'bao'jian 别人怀宝剑
'cai'gao'ya'jun'ying 才高压俊英
'chang'an'you'ye'zi 长安游冶子
'chi'yang'hua'long'yu 池养化龙鱼
'chun'dao'qing'ming'hao 春到清明好
'chun'feng'pin'dong'chu 春风频动处
'chun'fu'dou'bing'hui 春附斗柄回
'chun'shui'man'si'ze 春水满泗泽
'chun'you'fang'cao'di 春游芳草地
'da'bi'yin'shi'ju 大比因时举
'da'er'xiang'tian'xia 达而相天下
'dai'kan'shi'wu'liu 待看十五六
'dao'yuan'ying'xian'ke 道院迎仙客
'deng'huo'ye'pian'chang 灯火夜偏长
'deng'tai'guan'qi'xiang 登台观气象
'di'shi'xiao'chun'feng 底事笑春风
'di'shi'yu'fen'fen 底事雨纷纷
'dong'fang'hua'zhu'ye 洞房花烛夜
'dong'ling'xiu'gu'song 冬岭秀孤松
'dong'tian'geng'chou'jin 冬天更筹尽
'dong'yin'bai'xue'shi 冬吟白雪诗
'du'juan'hua'fa'chu 杜鹃花发处
'duan'di'shi'nan'er 端的是男儿
'duo'kai'fu'gui'jia 多开富贵家
'feng'ge'huang'hun'ye 风阁黄昏夜
'feng'hua'xue'yue'tian 风花雪月天
'feng'yun'jin'ji'hui 风云今际会
'fu'wo'bu'ying'zhou 附我步瀛洲
'gong'dian'zhao'rao'song 宫殿召绕耸
'gu'you'qian'wen'yi 古有千文义
'guo'jiang'qian'chi'lang 过江千尺浪
'han'xuan'yi'ye'ge 寒暄一夜隔
'he'chu'di'he'xiang 何处递荷香
'he'ru'jiao'yi'jing 何如教一经
'hua'kai'bai'xue'xiang 花开白雪香
'huang'du'de'yi'hui 皇都得意回
'huang'hua'xiao'zhu'chen 黄花笑逐臣
'ji'di'bi'zheng'xian 及第必争先
'jiang'xiang'ben'wu'zhong 将相本无种
'jiao'qing'nai'sui'han 交情耐岁寒
'jie'luo'san'qiu'ye 解落三秋叶
'jie'qu'jing'wu'hua 街衢竞物华
'jin'bang'gua'ming'shi 金榜挂名时
'jin'min'te'song'liang 金民特送凉
'jin'shi'du'shu'ren 尽是读书人
'jin'yi'gui'gu'li 锦衣归故里
'jin'zhao'zai'ju'shang 今朝再举觞
'jiu'han'feng'gan'yu 久旱逢甘雨
'jiu'ri'long'shan'yin 九日龙山饮
'ju'he'he'tai'ku 菊荷何太苦
'ju'ke'wu'jun'zi 居可无君子
'jun'en'ci'zhuang'tou 君恩赐状头
'jun'kan'wei'zai'xiang 君看为宰相
'kai'xuan'nei'wan'liang 开轩内晚凉
'kang'kai'zhang'fu'zhi 慷慨丈夫志
'ke'bin'liang'nian'cui 客鬓两年催
'ke'gan'ru'jin'shi 柯干如金石
'lei'shi'gui'fei'zhuang 泪湿贵妃妆
'lin'xuan'yi'shang'hou 临轩一赏后
'ling'han'du'zi'kai 凌寒独自开
'liu'se'jin'yi'lv 柳色浸衣绿
'man'chao'zhu'zi'gui 满朝朱紫贵
'ming'ti'xian'gui'ji 名题仙桂籍
'mo'dao'ru'guan'wu 莫道儒冠误
'mu'deng'tian'zi'tang 暮登天子堂
'nan'er'dang'zi'qiang 男儿当自强
'neng'kai'er'yue'hua 能开二月花
'nian'ji'sui'ran'xiao 年纪虽然小
'nian'nian'dang'ci'jie 年年当此节
'nian'nian'er'san'yue 年年二三月
'nian'xiao'chu'deng'di 年小初登第
'nong'gong'xin'zhu'tu 农工新筑土
'ping'di'yi'sheng'lei 平地一声雷
'ping'sheng'shui'jie'you 平生谁结友
'ping'sheng'zhi'qi'gao 平生志气高
'qian'gu'di'wang'jia 千古帝王家
'qiang'jiao'yi'zhi'mei 墙角一枝梅
'qing'bo'wan'qian'hua 轻薄万千花
'qing'fang'shui'shi'lv 清芳谁是侣
'qing'guo'zi'rong'bie 倾国姿容别
'qing'tian'jin'xiu'wen 晴天锦绣纹
'qiong'ze'shan'qi'shen 穷则善其身
'qiu'yin'huang'hua'jiu 秋饮黄花酒
'qiu'yue'yang'ming'hui 秋月扬明辉
'ren'zai'yan'yang'zhong 人在艳阳中
'ri'ri'bao'ping'an 日日报平安
'ri'ri'zui'chun'feng 日日醉春风
'ri'yue'guang'tian'de 日月光天德
