'ai'guo'wang 矮国王
'an'xiang'de'xin 安详的心
'an'zhu'he'chu 安住何处
'ba'feng'chui'bu'dong 八风吹不动
'ba'feng'chui'bu'dong'yi'pi'guo'jiang'lai 八风吹不动一屁过江来
'ba'men'guan'hao 把门关好
'ba'shou'fang'xia'lai 把手放下来
'ba'zhe'song'jing 八折诵经
'bai'ju'yi'wen'chan 白居易问禅
'bai'nian'yi'meng 百年一梦
'bai'wei'ju'zu 百味具足
'bai'yin'chan'shi 白隐禅师
'bai'zhang'ye'hu 百丈野狐
'bai'zhang'ye'ya'zi 百丈野鸭子
'ban'ken'ban'bu'ken 半肯半不肯
'bao'shu 抱树
'bei'chai'zou'jiang'hu 背柴走江湖
'bei'shui'chan'ji 杯水禅机
'ben'kong'fei'you 本空非有
'bi'da 比大
'bian'yu'bu'bian 变与不变
'bing'qi'si'xin 摒弃私心
'bu'bian'ying'wan'bian 不变应万变
'bu'ceng'kong'guo 不曾空过
'bu'de'jian 不得见
'bu'dong'xin 不动心
'bu'fu'zai'hua 不复再画
'bu'ke'zhi'zhuo 不可执著
'bu'ken'cheng'dan 不肯承担
'bu'ken'fang'xia 不肯放下
'bu'kui'wei'shi'zhe 不愧为侍者
'bu'liu'ping'chang'xin 不留平常心
'bu'neng'dai'ti 不能代替
'bu'que'yan'jiang 不缺盐酱
'bu'ru'guo'ti 不辱国体
'bu'ru'xiao'chou 不如小丑
'bu'shi'chuan'sheng'tong 不是传声筒
'bu'shi'fa'shen 不识法身
'bu'tong'jing'jie 不同境界
'bu'xiang'ge'ren 不像个人
'bu'xin'shi'zhen'di 不信是真谛
'bu'xu'wei'shi 不许为师
'bu'yao'fu'shi 不要拂拭
'bu'zai'bie'chu 不在别处
'bu'zhao'xiang 不着相
'bu'zhi'dao 不知道
'can'chan'fa'qi 参禅法器
'can'que'de'gui 残缺的鬼
'cao'mu'cheng'fo 草木成佛
'cha'bei'de'si'qi 茶杯的死期
'cha'bei'yu'cha'hu 茶杯与茶壶
'cha'dao 茶道
'cha'xin'chan'yi 茶心禅意
'chan'de'xin'yao 禅的心要
'chan'fei'suo'zhi 禅非所知
'chan'fu 缠缚
'chan'hui'huan'lai'fu'qi'he 忏悔换来夫妻和
'chan'men'wen'da 禅门问答
'chan'ru'lai'ru'qu 禅如来如去
'chan'wei 禅味
'chan'xiang'shen'me 禅像什么
'chan'xin'yu'jing'yu 禅心与经语
'chan'xu'zi'wu 禅需自悟
'chan'yu'niu 禅与牛
'chan'yu'sheng'huo 禅与生活
'chan'zhe'de'zhu'fu 禅者的祝福
'chao'yue'sheng'si 超越生死
'cheng'gong'jiu'shi'zhan'sheng'zi'ji 成功就是战胜自己
'cheng'shi'wu'qi 诚实无欺
'cheng'shou'xin'wu 承受信物
'chi'cha'qu 吃茶去
'chu'cao'zhan'she 锄草斩蛇
'chu'qu 出去
'chu'que'xin'tou'huo 除却心头火
'chu'shi'mi'jue 处事秘诀
'chu'wu'ni'er'bu'ran 出污泥而不染
'chu'zu'da'mo 初祖达摩
'chuan'yi'chi'fan 穿衣吃饭
'ci'bei 慈悲
'cong'xin'liu'chu 从心流出
'cun'cai'yu'xin'tu 存财于信徒
'cun'si'bu'gua 寸丝不挂
'da'dian'yu'han'yu 大颠与韩愈
'da'ji'da'yong 大机大用
'da'ku'wang'sheng'yu'da'xiao'wang'sheng 大哭往生与大笑往生
'da'po'wan 打破碗
'da'qian'wei'chuang 大千为床
'da'shi'jiang'jing 大士讲经
'da'wu'wei 大无畏
'da'xiao'bu'er 大小不二
'da'xiao'fen'tong 大小粪桶
'da'xiao'xie'jian'zhi'duo'shao 大小邪见知多少
'da'zuo'fei'chan 打坐非禅
'dai'ke'zhi'dao 待客之道
'dan'xia'shao'fo 丹霞烧佛
'dao'di'you'mei'you'yin'guo'bao'ying 到底有没有因果报应
'dao'le'long'tan 到了龙潭
'dao'zai'he'chu 道在何处
'dao'zai'ping'chang'ri'yong'zhong 道在平常日用中
'de'shan'chan'shi'yi'shi 德山禅师轶事
'deng'xian'ji'sui'xu'kong'gu 等闲击碎虚空骨
'deng'xin'jiang'can 灯芯将残
'deng'yin'feng'can'shi'tou'chan'shi'gong'an 邓隐峰参石头禅师公案
'di'shui'he'shang 滴水和尚
'di'shui'kai'wu 滴水开悟
'di'yu 地狱
'di'yu'yu'ji'le 地狱与极乐
'dong'ran'ming'bai 洞然明白
'dong'shan'liang'jia 洞山良价
'duo'jian'yi'xie 多捡一些
'duo'shao'zhong 多少重
'e'nian'e'guo 恶念恶果
'fa'shi 发誓
'fa'yan'wen'yi 法眼文益
'fan'fu'yu'lao'shi 凡夫与老师
'fan'qian 饭钱
'fan'sheng'liang'wang 凡圣两忘
'fan'zhu'wei'bin 反主为宾
'fang'bian'shi'jiao 方便示教
'fang'qi'hen'nan 放弃很难
'fang'wai'zhi'jiao 方外之交
'fang'xia 放下
'fang'xia'shen'me 放下什么
'fang'zhu'tian'tang 放逐天堂
'fei'lai'fo 飞来佛
'fei'yue'sheng'si 飞越生死
'fei'zhi'yi'dui 废纸一堆
'feng'de'gu'shi 风的故事
'feng'dong'fan'dong'xin'dong 风动幡动心动
'fo'chan'de'gu'shi 佛禅的故事
'fo'fa'wu'duo'zi 佛法无多子
'fo'fa'wu'er'ban 佛法无二般
'fo'jin'zai'he'chu 佛今在何处
'fo'qian'yi'zhi'lian 佛前一支莲
'fo'yin'chan'shi 佛印禅师
'fo'zu'lun'mei 佛祖论美
'fu'chen'shuo'fa 拂尘说法
'fu'chou 复仇
'fu'cong 服从
'fu'gui'miao'fang 伏鬼妙方
'fu'gui'miao'jue 伏鬼妙诀
'fu'sheng'meng'zhong 浮生梦中
'gan'en'fu'mu 感恩父母
'gao'yu'yuan 高与远
'ge'er'jiu'zhi 割耳救雉
'ge'ren'cheng'dan 个人承担
'gen'yuan'hui 根源会
'gong'ji'yu'chong'er 公鸡与虫儿
'gong'kai'de'ai 公开地爱
'gou'zi'fo'xing 狗子佛性
'gu'jian'han'quan 古涧寒泉
'gu'jing'wei'mo 古镜未磨
'gui'niao'mi'chao 归鸟迷巢
'guo'jia'zhan'shi 国家战士
'guo'shi'shi'bao 国师是宝
'hao'hua'bu'ze'chu 好花不择处
'hao'shi'bu'ru'wu 好事不如无
'hao'shi'bu'ru'wu'shi 好事不如无事
'he'fa'shi'ren 何法示人
'he'shang'yu'chan'shi 和尚与禅师
'he'shang'yu'da'shi 和尚与大师
'he'wu'yong'yuan'bu'bian 何物永远不变
'he'ze'shen'hui 荷泽神会
'hu'tou'zhang'jiao 虎头长角
'hu'zei'du'zei 护贼度贼
'hua'bing'chong'ji 画饼充饥
'hua'meng'ren'sheng 话梦人生
'hua'ren'shuo'fa 化人说法
'hua'yuan 化缘
'hua'yuan'du'zhong 化缘度众
'huo'cong'kou'chu 祸从口出
'huo'de'kuai'le 活得快乐
'huo'shui'long 活水龙
'ji'cheng'mi'fu 继承密付
'ji'lai'chi'fan'kun'lai'ji'mian 饥来吃饭困来即眠
'ji'xing 畸形
'jian'dan'shi'chong'fu'zuo 简单事重复做
'jian'feng'xiang'zhu 箭锋相拄
'jian'li'zi 捡栗子
'jian'nan'yi'wang 艰难一忘
'jian'yu'bu'jian 见与不见
'jiang'jun'de'chan'hui 将军的忏悔
'jiang'shou'fang'kai 将手放开
'jiang'xi'jing'an'gu'cha'chuan'qi 江西靖安古刹传奇
'jie'pi 洁癖
'jie'zhu'yu'ni 借住与你
'jie'zi'na'xu'mi 芥子纳须弥
'jin'bo'bu'shi 金箔布施
'jin'ru'shen'shan 进入深山
'jin'tian'bu'fang'bian 今天不方便
'jin'tian'mei'ren'lai 今天没人来
'jing'hui'yi'ru 净秽一如
'jing'zhong'ru'fo 敬钟如佛
'jiu'shi'zhe'yang'ma 就是这样吗
'jue'wu'de'nuo'yan 觉悟的诺言
'kai'he'chan'ji 开阖禅机
'kan'tou'luo'di 砍头落地
'ken'ding'zi'ji 肯定自己
'kong'bei'xin'tai 空杯心态
'kong'se'ben'lai'tong 空色本来同
