'an'shi'ye'ju'guang'jing 暗视野聚光镜
'ba'tong'dao'ru'dong'beng'tou 八通道蠕动泵头
'bai'jiu'fen'xi'se'pu'yi 白酒分析色谱仪
'bi'se'fa'duo'can'shu'shui'zhi'fen'xi'yi 比色法多参数水质分析仪
'bi'zhong'ce'ding'zhuang'zhi 比重测定装置
'bian'bei'zhuang'zhi 变倍装置
'bian'xie'shi'dian'dao'lv'yi 便携式电导率仪
'bian'xie'shi'fen'xi'tian'ping 便携式分析天平
'bian'xie'shi'shu'zi'ce'yang'yi 便携式数字测氧仪
'bian'xie'shi'tian'ping 便携式天平
'bo'li'xian'wei'lv'mo 玻璃纤维滤膜
'cai'guan'ce'li'ji 彩管测力计
'can'bi'dian'ji 参比电极
'ce'liang'dian'ji 测量电极
'ce'liang'yi 测量仪
'cha'dong're'fen'xi'yi 差动热分析仪
'chang'gui'jian'cha'xian'wei'jing 常规检查显微镜
'chang'wen'zong'he're'fen'xi'yi 常温综合热分析仪
'chao'chun'shui'chun'shui'chan'pin 超纯水纯水产品
'chao'di'wen'bao'cun'xiang 超低温保存箱
'chao'ji'heng'wen'cao 超级恒温槽
'chao'jing'gong'zuo'tai 超净工作台
'chao'su'leng'dong'li'xin'ji 超速冷冻离心机
'chao'su'tai'shi'leng'dong'li'xin'ji 超速台式冷冻离心机
'chu'mo'dian'zi'kai'guan 触摸电子开关
'ci'li'heng'wen'ding'shi'jiao'ban'qi 磁力恒温定时搅拌器
'ci'li'heng'wen'jiao'ban'qi 磁力恒温搅拌器
'cong'ming'gou 聪明狗
'da'cheng'liang'dian'zi'jing'mi'tian'ping 大称量电子精密天平
'da'yin'ji 打印机
'dan'dao'beng'tou 单道泵头
'dan'dao'ru'dong'beng'tou 单道蠕动泵头
'dan'lin'jian'ce'qi 氮磷检测器
'dao'zhi'xian'wei'jing 倒置显微镜
'di'su'da'rong'liang'duo'guan'li'xin'ji 低速大容量多管离心机
'di'su'duo'guan'jia'zi'dong'ping'heng'li'xin'ji 低速多管架自动平衡离心机
'di'su'leng'dong'da'rong'liang'li'xin'ji 低速冷冻大容量离心机
