'bao'ye 鲍野
'chang'xin'hou 长信侯
'cheng'qiao 成蟜
'dan'ding'men 丹顶门
'di'li're'ba 迪丽热巴
'dou'yi 都奕
'du'zhen'yao'wang 毒针妖王
'gai'lan 盖兰
'gai'nie 盖聂
'gong'sun'li 公孙丽
'gong'sun'yu 公孙羽
'han'shen 韩申
'hu'luo'jian'fa 鹄落剑法
'huang'qian 黄骞
'jian'chi 剑痴
'jiao'jiao'ru'ming'yue 皎皎如明月
'jing'ke 荆轲
'jing'liang'ren 景良人
'lao'ai 嫪毐
'li'er 丽儿
'li'ji 丽姬
'li'ji'chuan 丽姬传
'li'si 李斯
'li'tai 李泰
'lin'jian'dong 林鉴东
'liu'chang 刘畅
'lu'gou'jian 鲁勾践
'lv'bu'wei 吕不韦
'meng'wu 蒙武
'meng'yu'li 蒙玉立
'ni'cong'lai'jiu'bu'shi'wo'de'wang 你从来就不是我的王
'pu'yang 濮阳
'qiang'qin 强秦
'qin'shi'ming'yue'zhi'li'ji'chuan 秦时明月之丽姬传
'qin'shi'you'li'ren 秦时有丽人
'qing'jun'ce 清君侧
'qiu'yi'nong 邱意浓
'tian'guang 田光
'wang'ting 王汀
'xiang'guo 相国
'ying'zheng 嬴政
'yong'cheng 雍城
'zhang'bin'bin 张彬彬
'zhang'xuan 张璇
'zheng'er 政儿
'zhuo'zhuo'ru'wo'xin 灼灼入我心
