'an'ci'xia'zai 按次下载
'an'quan'zheng'shu 安全证书
'an'ri'bi'dui 按日比对
'ban'li'fang'shi 办理方式
'ban'qian'hui 班前会
'bao'da 包打
'bao'di'tao'can 保底套餐
'bao'di'xiao'fei 保底消费
'bao'hao'fei 保号费
'bao'liu'qi 保留期
'bao'mi'tian'shi 保密天使
'bao'nian'song 包年送
'bao'yue'zu'lin 包月租赁
'bei'jiao'mian'fei 被叫免费
'bei'ka 备卡
'bei'ka'ji'huo 备卡激活
'ben'di'ka 本地卡
'ben'di'lai'hua 本地来话
'ben'di'lian'jie 本地连接
'ben'di'zhu'jiao 本地主叫
'bian'jie'bo'hao 便捷拨号
'bian'jie'fu'wu 便捷服务
'bian'sheng'tong'hua 变声通话
'biao'zhun'dan'xiang 标准单向
'bing'cun'zhuang'tai 并存状态
'bo'ce 拨测
'bo'hao'gui'ze 拨号规则
'bu'zai'fu'wu'qu 不在服务区
'cai'bi 彩币
'cai'bi'shang'cheng 彩币商城
'cai'hua 彩话
'cai'ling'fu'zhi 彩铃复制
'cai'xin'chao'shi 彩信超市
'cai'xin'hui'zhi 彩信回执
'cai'xin'tong 财信通
'cai'xin'zhao'pian'chong'yin 彩信照片冲印
'cai'xin'zhe'kou'quan 彩信折扣券
'cai'xin'zhen'cang 彩信珍藏
'cai'xin'zhi'shang'xuan'tao'can 彩信指上炫套餐
'cai'zhen 彩振
'chai'wang 拆网
'chan'pin'tui'ding 产品退订
'chang'hua'bao 长话包
'chang'hua'bao'yue 长话包月
'chang'hua'chang'liao'quan'tian'ban 长话常聊全天版
'chang'hua'chang'liao'xian'shi'ban 长话常聊闲时版
'chang'hua'chang'liao'xiang'qing'ban 长话常聊乡情版
'chang'hua'sui'yi'liao 长话随意聊
'chang'hua'wang 长话王
'chang'liao 畅聊
'chang'shi'hua 长市话
'chang'tai'ying'xiao 常态营销
'chang'ting'ka 畅听卡
'chang'tu'fei'lv 长途费率
'chang'tu'tong 长途通
'chang'tu'yi'fei'zhi 长途一费制
'chang'tu'you'hui'chan'pin 长途优惠产品
'chang'xiang 畅享
'chao'zhi'yu'yin'bao 超值语音包
'che'wu'tong 车务通
'cheng'kong'gong'neng 程控功能
'chong'hua'fei 充话费
'chong'zhi'hui'bao'jiang 充值回报奖
'chong'zhi'ji'lu 充值记录
'chong'zhi'mi'ma 重置密码
'chong'zhi'song 充值送
'chong'zhi'you'hui 充值优惠
'chong'zhi'you'jing'xi 充值有惊喜
'chong'zhi'you'li 充值有礼
'chu'zhang'fan'chong 出帐返充
'chu'zhang'jian'mian 出帐减免
'ci'yue'sheng'xiao 次月生效
'cun'cun'tong 村村通
'cun'hua'fei 存话费
'da'zhong'ka 大众卡
'dai'ji'ka 贷记卡
'dai'shou'fei 代收费
'dai'xiao'dian 代销店
'dai'xiao'dian 代销点
'dan'xiang'sheng'ji 单向升级
'dan'xiang'tao'can 单向套餐
'dan'xiang'wang 单向王
'dang'yue'sheng'xiao 当月生效
'dao'qi'ti'xing 到期提醒
'deng'e'fan'chong 等额返充
'di'duan'ji 低端机
'dian'hua'chong'zhi'ye'wu 电话充值业务
'dian'hua'jing'li 电话经理
'dian'xin'fu'wu'gui'fan 电信服务规范
'dian'xin'tiao'li 电信条例
'dian'ying'quan 电影券
'dian'zi'chong'zhi'quan 电子充值券
'dian'zi'hua'zi'zhu'fu'wu 电子化自助服务
'ding'wei'tong 定位通
'ding'xiang'guo'ji'chang'tu'you'hui'bao 定向国际长途优惠包
'dong'gan'chang'hua'bao 动感长话包
'dong'gan'di'dai 动感地带
'dong'gan'shang'meng 动感商盟
'dong'gan'wang'liao 动感网聊
'dong'gan'ying'ju'yuan 动感影聚院
'duan'cai'xin'dian'bo 短彩信点播
'duan'hao'duan'xin 短号短信
'duan'xin'bao 短信包
'duan'xin'bao'cun'shi'xiao 短信保存时效
'duan'xin'da'ti 短信答题
'duan'xin'dian'ge 短信点歌
'duan'xin'hui'zhi 短信回执
'duan'xin'men'hu 短信门户
'duan'xin'tao'can 短信套餐
'duan'xin'zhang'dan 短信帐单
'duan'xin'zhen'cang 短信珍藏
'dui'huan'zi'ge 兑换资格
'er'ci'zhuan'yi 二次转移
'er'wei'ma 二维码
'fei'chang'jia'qi 非常假期
'fei'xin'le'yuan 飞信乐园
'fen'qu'ka 分区卡
'fen'qu'you'hui 分区优惠
'fu'fei'jia'zhang 付费家长
'fu'fei'zhang'hu 付费帐户
'fu'hao'ma 副号码
'fu'jian'xing'ye'yin'hang 福建兴业银行
'fu'wu'ju'cuo 服务举措
'fu'wu'mi'ma 服务密码
'gai'hao'yu'yin'tong'zhi 改号语音通知
'gai'jin'cuo'shi 改进措施
'gai'tao'can 改套餐
'gao'er'fu'qiu'quan 高尔夫球券
'gao'qiu'bao'dian 高球宝典
'ge'ren'ji'yin'he 个人集音盒
'ge'xing'hua'bei'jing'yin 个性化背景音
'ge'xing'hua'yin'se 个性化音色
'gong'neng'fei 功能费
'gong'shu 拱墅
'gou'tong'ka 沟通卡
'gu'hua'ban 固话版
'guan'ai'tong 关爱通
'guan'ji'hu'zhuan 关机呼转
'guan'li'ting'ji 管理停机
'gui'bin'ting 贵宾厅
'gui'bin'zhen'shi 贵宾诊室
'gui'shu'di 归属地
'guo'ji'cai'xin 国际彩信
'guo'ji'chang'tu 国际长途
'guo'ji'duan'xin 国际短信
'guo'ji'hai'shi'wei'xing 国际海事卫星
'guo'ji'ji'gang'ao'tai'man'you 国际及港澳台漫游
'guo'ji'lai'fang 国际来访
'guo'ji'man'you 国际漫游
'guo'ji'zhi'bo 国际直拨
'guo'jia'you'zheng'ju 国家邮政局
'guo'nei'chang'tu'fei 国内长途费
'guo'nei'chang'you 国内畅游
'guo'nei'chang'you'ji'hua 国内畅游计划
'guo'nei'dian'hua 国内电话
'guo'nei'man'you 国内漫游
'guo'shui'duan'xin 国税短信
'hai'shu 海曙
'hang'xin'tong 航信通
'hang'ye'duan'xin 行业短信
'hang'zhou'shang'ye'yin'hang 杭州商业银行
'hao'bu'guan'jia 号簿管家
