'bao'ji'ban'zi 暴击板子
'chang'fan'tiao 长反跳
'chang'tiao'dao 长跳刀
'da'bao'he'hui'dun 大饱和回盾
'da'dian'chi 大电池
'da'dun'kuo 大盾扩
'da'hui'dian 大回电
'da'hui'dian 大毁电
'da'hui'dun 大回盾
'da'ji'dian'qi 大继电器
'da'jia'li'tui'zi 大加力推子
'da'qun'hui'dian 大群毁电
'da'qun'tou'dian 大群投电
'da'qun'tou'dun 大群投盾
'da'tou'dian 大投电
'da'tou'dun 大投盾
'da'tui'zi 大推子
'da'zhu'dian 大注电
'da'zi'hui'dun 大自回盾
'dan'tou'dian'kang 单投电抗
'dan'tou'dong'kang 单投动抗
'dan'tou're'kang 单投热抗
'dian'ba'pi 电扒皮
'dian'di'lei 电地雷
'dian'miao'dun'kang 电秒盾抗
'dian'nai'pian 电奶片
'dong'ba'pi 动扒皮
'dong'di'lei 动地雷
'dong'miao'dun'kang 动秒盾抗
'duan'fan'tiao 短反跳
'duan'tiao'dao 短跳刀
'dun'nai'pian 盾奶片
'gu'hui'he 骨灰盒
'hu'la'quan 呼啦圈
'huo'chao'ban'zi 火超板子
'jian'su 减速
'jing'du'ban'zi 精度板子
'qun'bao'ji 群暴击
'qun'dian'ba'pi 群电扒皮
'qun'dong'ba'pi 群动扒皮
'qun'huo'chao 群火超
'qun'jing'du 群精度
'qun're'ba'pi 群热扒皮
'qun'she'cheng 群射程
'qun'tou'dian'kang 群投电抗
'qun'tou'dong'kang 群投动抗
'qun'tou're'kang 群投热抗
'qun'tou'su 群投诉
're'ba'pi 热扒皮
're'di'lei 热地雷
're'miao'dun'kang 热秒盾抗
'she'cheng'ban'zi 射程板子
'tou'dian'kang 投电抗
'tou'dong'kang 投动抗
'tou're'kang 投热抗
'tou'su 投诉
'xiao'bao'he'hui'dun 小饱和回盾
'xiao'dian'chi 小电池
'xiao'dun'kuo 小盾扩
'xiao'hui'dian 小回电
'xiao'hui'dian 小毁电
'xiao'hui'dun 小回盾
'xiao'ji'dian'qi 小继电器
'xiao'jia'li'tui'zi 小加力推子
'xiao'qun'hui'dian 小群毁电
'xiao'qun'tou'dian 小群投电
'xiao'qun'tou'dun 小群投盾
'xiao'tou'dian 小投电
'xiao'tou'dun 小投盾
'xiao'zhu'dian 小注电
'xiao'zi'hui'dun 小自回盾
'zhong'bao'he'hui'dun 中饱和回盾
'zhong'dian'chi 中电池
'zhong'dun'kuo 中盾扩
'zhong'hui'dian 中回电
'zhong'hui'dian 中毁电
'zhong'hui'dun 中回盾
'zhong'ji'dian'qi 中继电器
'zhong'jia'li'tui'zi 中加力推子
'zhong'qun'hui'dian 中群毁电
'zhong'qun'tou'dian 中群投电
'zhong'qun'tou'dun 中群投盾
'zhong'tiao'dao 中跳刀
'zhong'tou'dian 中投电
'zhong'tou'dun 中投盾
'zhong'tui'zi 中推子
'zhong'zhu'dian 中注电
'zhong'zi'hui'dun 中自回盾
'zi'shi'ying'ba'pi 自适应扒皮
