'a'duo'na'er 阿多纳尔
'a'duo'na'er'fu'yi'er 阿多纳尔福伊尔
'a'er'huo'fu'de 阿尔霍弗德
'a'er'meng'de 阿尔蒙德
'a'er'si'tong 阿尔斯通
'a'er'suo'dun 阿尔索顿
'a'fa'la'luo 阿法拉罗
'a'ke'qiu'guan 阿科球馆
'a'lai'ke'si'ya'ke'te 阿莱克斯雅克特
'a'lan'an'de'sen 阿兰安德森
'a'lan'duo'ta'ke'er 阿兰多塔克尔
'a'lan'xiang'de'sen 阿兰享德森
'a'lan'xiu'si'dun 阿兰休斯顿
'a'lang'zuo'mo'ning 阿朗佐莫宁
'a'lao'yue 阿劳约
'a'li'na'si 阿里纳斯
'a'li'zha 阿里扎
'a'long'a'fa'la'luo 阿隆阿法拉罗
'a'long'bu'lu'ke'si 阿隆布鲁克斯
'a'long'ge'lei 阿隆格雷
'a'long'mai'ji 阿龙麦基
'a'long'wei'lian'mu'si 阿隆威廉姆斯
'a'long'wei'lian'mu'si 阿龙威廉姆斯
'a'lun 阿伦
'a'lun'ai'fo'sen 阿伦艾佛森
'a'lun'ai'fu'sen 阿伦艾弗森
'a'luo'yue 阿罗约
'a'ma'er'si'ta'de'mai'er 阿马尔斯塔德迈尔
'a'ma'lei 阿马雷
'a'ma'lei 阿玛雷
'a'ma'lei'si'ta'de'mai'er 阿马雷斯塔德迈尔
'a'ma'lei'si'ta'de'mai'er 阿玛雷斯塔德迈尔
'a'mi'er'yue'han'xun 阿米尔约翰逊
'a'mo'er 阿莫尔
'a'si'suo'fu'te 阿斯索夫特
'a'tai 阿泰
'a'tai'si'te 阿泰斯特
'a'te'jin'si 阿特金斯
'a'wei'li'nuo'kong'jun'dui 阿韦利诺空军队
'a'wei'si'te'rui 阿维斯特瑞
'a'xi'lao 阿西劳
'a'zu'bu'ke 阿祖布克
'a'zuo'ma'shen 阿佐马什
'ai'da'li'an 艾达里安
'ai'da'li'an'ge'li'fen 艾达里安格里芬
'ai'de'hua'zi 爱德华兹
'ai'di'ba'si'dun 艾迪巴斯顿
'ai'di'ge'li'fen 埃迪格里芬
'ai'di'hao'si 埃迪豪斯
'ai'di'ji'er 埃迪吉尔
'ai'di'ku'li 埃迪库里
'ai'di'qiong'si 埃迪琼斯
'ai'du'a'duo 埃杜阿多
'ai'du'a'duo'na'hu'la 埃杜阿多纳胡拉
'ai'er'dun'bu'lan'de 埃尔顿布兰德
'ai'er'dun'bu'lang 埃尔顿布朗
'ai'er'ha'ling'dun 艾尔哈灵顿
'ai'er'huo'fu'de 艾尔霍福德
'ai'er'jie'fu'xun 艾尔杰弗逊
'ai'er'jin'bei'le 埃尔金贝勒
'ai'er'men'luo 埃尔门罗
'ai'er'sen 埃尔森
'ai'er'suo'dun 艾尔索顿
'ai'er'wen'hai'ye'si 埃尔文海耶斯
'ai'er'wo'te'sen 艾尔沃特森
'ai'fo'sen 艾佛森
'ai'fu'sen 艾弗森
'ai'la'niu'bei 艾拉纽贝
'ai'li'ke'dan'pi'er 埃里克丹皮尔
'ai'li'ke'ge'deng 埃里克戈登
'ai'li'ke'pi'ya'kao'si'ji 埃里克皮亚考斯基
'ai'li'ke'wei'lian'mu'si 埃里克威廉姆斯
'ai'li'si 埃利斯
'ai'lun'lei 艾伦雷
'ai'mei'ka'ao'ka'fu 埃梅卡奥卡福
'ai'mi'ka 埃米卡
'ai'mi'ka'ao'ka'fu 埃米卡奥卡福
'ai'mi'wu'du'ka 艾米乌度卡
'ai'sha'ni'ya'ka'le'fu 爱沙尼亚卡勒夫
'ai'si'ji'mo 爱斯基摩
'ai'si'ji'mo'ren'dui 爱斯基摩人队
'ai'wen'si 埃文斯
'ai'wen'yue'han'xun 埃文约翰逊
'an'de'li'si 安德里斯
'an'de'li'si'bi'de'lin'si 安德里斯比德林斯
'an'de'li'ya'ba'ge'na'ni 安德里亚巴格纳尼
'an'de'li'you'si'ke'wei'ji'si 安德里尤斯克维基斯
'an'de'lie'ba'lei'te 安德烈巴雷特
'an'de'lie'ba'ni'ya'ni 安德烈巴尼亚尼
'an'de'lie'bu'lang 安德烈布朗
'an'de'lie'ji'li'lian'ke 安德烈基里连科
'an'de'lie'mi'le 安德烈米勒
'an'de'lie'yi'ge'da'la 安德烈伊戈达拉
'an'de'lie'yi'ge'da'la 安德烈伊格达拉
